Date,Open,High,Low,Close,Volume
2014-01-06,1935,1945,1895,1915,236200
2014-01-07,1910,1920,1880,1880,310200
2014-01-08,2000,2170,1985,2165,2433600
2014-01-09,2150,2210,2110,2135,1486800
2014-01-10,2110,2120,2070,2110,624200
2014-01-14,2060,2060,2025,2030,446200
2014-01-15,2070,2130,2065,2125,441800
2014-01-16,2165,2175,2115,2130,470800
2014-01-17,2110,2160,2105,2145,290800
2014-01-20,2135,2135,2100,2105,235400
2014-01-21,2125,2125,2090,2095,192000
2014-01-22,2095,2145,2085,2135,297400
2014-01-23,2125,2230,2125,2180,717400
2014-01-24,2150,2175,2115,2130,769800
2014-01-27,2065,2105,2055,2080,399800
2014-01-28,2105,2120,2080,2090,170200
2014-01-29,2125,2165,2110,2160,235800
2014-01-30,2165,2165,2090,2120,328400
2014-01-31,2120,2130,2065,2080,256200
2014-02-03,2000,2010,1940,1980,472800
2014-02-04,1900,1915,1845,1845,321400
2014-02-05,1955,2030,1900,1965,823600
2014-02-06,1965,2000,1955,1965,434200
2014-02-07,2005,2015,1980,1995,163600
2014-02-10,2025,2040,2005,2040,114800
2014-02-12,2040,2065,2025,2035,163400
2014-02-13,2025,2050,1970,1975,243600
2014-02-14,1975,2025,1940,1965,302600
2014-02-17,1960,2025,1940,2020,223400
2014-02-18,2035,2095,2020,2085,296600
2014-02-19,2045,2075,2040,2060,162800
2014-02-20,2050,2075,1980,2010,301200
2014-02-21,2015,2100,2010,2095,240600
2014-02-24,2105,2140,2060,2100,299600
2014-02-25,2135,2140,2115,2130,195000
2014-02-26,2090,2135,2090,2105,139200
2014-02-27,2100,2160,2100,2130,261800
2014-02-28,2140,2170,2125,2150,324800
2014-03-03,2085,2115,2060,2105,197200
2014-03-04,2065,2110,2065,2100,149200
2014-03-05,2130,2155,2130,2150,202600
2014-03-06,2155,2175,2115,2165,226600
2014-03-07,2185,2215,2170,2210,333600
2014-03-10,2210,2225,2185,2220,246200
2014-03-11,2225,2270,2195,2225,484600
2014-03-12,2195,2215,2175,2185,208200
2014-03-13,2165,2235,2165,2215,198600
2014-03-14,2135,2170,2095,2105,611000
2014-03-17,2120,2145,2080,2100,149200
2014-03-18,2135,2155,2120,2135,111600
2014-03-19,2135,2165,2100,2135,149800
2014-03-20,2160,2195,2125,2145,263600
2014-03-24,2150,2250,2150,2235,308600
2014-03-25,2225,2270,2205,2205,549800
2014-03-26,2240,2270,2230,2245,318200
2014-03-27,2200,2265,2185,2260,263200
2014-03-28,2245,2275,2220,2270,240000
2014-03-31,2285,2300,2245,2285,230200
2014-04-01,2285,2325,2280,2315,448000
2014-04-02,2325,2335,2310,2310,208400
2014-04-03,2295,2320,2280,2305,267000
2014-04-04,2280,2305,2265,2270,223200
2014-04-07,2230,2240,2205,2215,163600
2014-04-08,2175,2190,2130,2170,268800
2014-04-09,2150,2155,2110,2115,223200
2014-04-10,2150,2155,2100,2110,189800
2014-04-11,2070,2090,2045,2065,403400
2014-04-14,2050,2075,2045,2055,175200
2014-04-15,2080,2130,2080,2120,177600
2014-04-16,2140,2170,2125,2170,184600
2014-04-17,2165,2170,2135,2155,123200
2014-04-18,2160,2175,2150,2175,111400
2014-04-21,2175,2195,2170,2170,88400
2014-04-22,2175,2180,2145,2145,106800
2014-04-23,2150,2165,2140,2165,104600
2014-04-24,2165,2175,2140,2155,150200
2014-04-25,2155,2170,2125,2145,161800
2014-04-28,2095,2120,2085,2105,186600
2014-04-30,2145,2145,2100,2115,110000
2014-05-01,2125,2190,2125,2180,135800
2014-05-02,2180,2180,2140,2145,73600
2014-05-07,2115,2115,2075,2100,231600
2014-05-08,2095,2120,2090,2110,96200
2014-05-09,2105,2125,2095,2115,162400
2014-05-12,2155,2170,2120,2135,168600
2014-05-13,2095,2100,2020,2070,362200
2014-05-14,2040,2090,2040,2080,197400
2014-05-15,2075,2080,2025,2030,346400
2014-05-16,1985,2005,1970,2000,228400
2014-05-19,2000,2000,1940,1950,225000
2014-05-20,1950,1970,1935,1950,190600
2014-05-21,1940,1970,1920,1970,164200
2014-05-22,1985,2005,1955,1995,176400
2014-05-23,2015,2020,2000,2010,106400
2014-05-26,2020,2025,1990,2005,119000
2014-05-27,2005,2030,2000,2015,127000
2014-05-28,2025,2040,2015,2030,123400
2014-05-29,2050,2090,2050,2065,214400
2014-05-30,2065,2065,2030,2030,140400
2014-06-02,2030,2075,2030,2075,140800
2014-06-03,2095,2105,2085,2085,165200
2014-06-04,2085,2095,2075,2095,99200
2014-06-05,2100,2100,2080,2085,132000
2014-06-06,2080,2120,2080,2110,209800
2014-06-09,2150,2155,2130,2140,126400
2014-06-10,2125,2135,2085,2090,136800
2014-06-11,2075,2100,2065,2090,140200
2014-06-12,2065,2090,2040,2050,197000
2014-06-13,2030,2100,2030,2100,355000
2014-06-16,2105,2105,2050,2065,141200
2014-06-17,2075,2090,2065,2085,112800
2014-06-18,2085,2115,2065,2110,132400
2014-06-19,2130,2145,2115,2145,237400
2014-06-20,2180,2180,2095,2100,554000
2014-06-23,2090,2125,2085,2100,214200
2014-06-24,2105,2135,2080,2130,192000
2014-06-25,2140,2175,2130,2150,294600
2014-06-26,2175,2175,2145,2145,160000
2014-06-27,2140,2140,2085,2095,153000
2014-06-30,2075,2115,2075,2115,138000
2014-07-01,2110,2150,2110,2135,181600
2014-07-02,2145,2160,2135,2140,132400
2014-07-03,2155,2160,2140,2150,140200
2014-07-04,2160,2185,2155,2175,150000
2014-07-07,2190,2190,2155,2165,161000
2014-07-08,2150,2185,2140,2180,177200
2014-07-09,2150,2190,2135,2145,174200
2014-07-10,2135,2145,2105,2110,127800
2014-07-11,2105,2125,2085,2120,172000
2014-07-14,2135,2145,2110,2140,88200
2014-07-15,2160,2165,2095,2155,115600
2014-07-16,2150,2160,2130,2130,87800
2014-07-17,2120,2145,2110,2140,163200
2014-07-18,2105,2110,2085,2100,110800
2014-07-22,2105,2140,2100,2130,113600
2014-07-23,2130,2170,2120,2150,176400
2014-07-24,2170,2190,2155,2175,222000
2014-07-25,2205,2220,2175,2215,187600
2014-07-28,2195,2240,2195,2230,214000
2014-07-29,2240,2240,2220,2230,137800
2014-07-30,2220,2275,2220,2260,203200
2014-07-31,2245,2260,2210,2220,238000
2014-08-01,2240,2240,2155,2160,196400
2014-08-04,2150,2160,2130,2145,173800
2014-08-05,2140,2145,2095,2095,164800
2014-08-06,2095,2115,2080,2090,208400
2014-08-07,2075,2075,2025,2050,241400
2014-08-08,2015,2030,1980,1985,277000
2014-08-11,2050,2060,2015,2060,172800
2014-08-12,2050,2070,2040,2045,97400
2014-08-13,2030,2075,2030,2070,121600
2014-08-14,2075,2085,2065,2075,75200
2014-08-15,2060,2070,2045,2065,109400
2014-08-18,2050,2060,2025,2040,154800
2014-08-19,2075,2080,2055,2060,112800
2014-08-20,2070,2080,2045,2050,76000
2014-08-21,2060,2070,2050,2065,81200
