pair,grp,px,range_pips,range_pct,sp3,spall,comm_pips,cost3_pips,ratio3,ratio_all,max_cost_pips,ratio_spread_only,first_h1
USDJPY,majors,151.98250000000002,95.85000000000008,0.6306647146875467,0.6000000000000227,0.7000000000005002,1.0638775,1.6638775000000228,57.60640431762481,54.34050834027471,1.198125000000001,159.7499999999941,2003-05-04
XAUUSD,metals,3022.05,3927.95000000001,1.2997634056352507,52.000000000043656,39.000000000010004,21.15435,73.15435000004365,53.69400452601473,65.29785460235804,49.09937500000012,75.53749999993677,2003-05-05
EURUSD,majors,1.11283,54.6000000000002,0.4906409784064071,0.2999999999997449,0.5000000000010552,0.7789809999999999,1.0789809999997448,50.603300706882806,42.69023542957648,0.6825000000000024,182.00000000015544,2003-05-04
AUDJPY,jpy,98.63,73.79999999999995,0.7482510392375541,0.7999999999995566,1.3999999999995794,0.6904099999999999,1.4904099999995566,49.51657597575292,35.30407910410628,0.9224999999999993,92.25000000005107,2003-11-30
EURJPY,jpy,166.9105,96.45000000000152,0.5778545987220787,1.0000000000019327,1.2000000000000455,1.1683735,2.1683735000019326,44.480344368677976,40.724150983786835,1.205625000000019,96.44999999981512,2003-08-03
GBPUSD,majors,1.31332,70.30000000000092,0.5352846221789123,0.8000000000008001,1.100000000000545,0.9193239999999999,1.7193240000008,40.888163022192565,34.813630700165966,0.8787500000000115,87.87499999991326,2003-05-04
NZDJPY,jpy,90.174,66.00000000000108,0.7319182913034918,1.0000000000005116,2.000000000001023,0.631218,1.6312180000005116,40.46056382407525,25.08344044468205,0.8250000000000135,65.99999999996732,2006-01-02
GBPJPY,jpy,197.254,118.6000000000007,0.6012552343678744,1.9000000000005457,2.200000000001978,1.3807779999999998,3.2807780000005455,36.14996199071714,33.12129375234522,1.4825000000000088,62.42105263156139,2003-08-03
CADJPY,jpy,109.712,69.40000000000026,0.6325652617762894,1.2000000000000455,1.5000000000000568,0.7679839999999999,1.9679840000000455,35.26451434564441,30.59986313836364,0.8675000000000033,57.83333333333136,2004-10-25
AUDUSD,majors,0.6583,46.19999999999957,0.701807686465131,0.9999999999998899,1.2000000000000899,0.46080999999999994,1.4608099999998898,31.6262895243071,27.817751579047016,0.5774999999999947,46.200000000004664,2003-08-03
USDCHF,majors,0.845665,47.15000000000025,0.5575493842124275,0.900000000000345,1.2999999999996348,0.5919654999999999,1.491965500000345,31.602607432939532,24.92117324550017,0.5893750000000031,52.38888888886908,2003-05-04
CHFJPY,jpy,175.336,102.89999999999964,0.5868732034493751,2.199999999999136,2.000000000001023,1.227352,3.4273519999991353,30.02317824373615,31.883723870209085,1.2862499999999955,46.77272727274548,2003-08-03
NZDUSD,majors,0.5921,43.499999999999645,0.7346731970950794,1.0999999999994348,1.4999999999998348,0.4144699999999999,1.5144699999994344,28.72291956923273,22.721693210133044,0.5437499999999956,39.54545454547455,2003-08-03
XAGUSD,metals,32.6325,84.99999999999979,2.604765188079362,3.0000000000001137,3.399999999999892,0.22842749999999995,3.2284275000001137,26.328607348313316,23.426126055984945,1.0624999999999973,28.333333333332188,2003-05-04
USDCAD,majors,1.377075,53.750000000000185,0.3903200624512113,1.2000000000012,1.40000000000029,0.9639524999999999,2.1639525000012,24.838807691005407,22.73734349568936,0.6718750000000022,44.79166666662203,2003-08-03
EURAUD,eur,1.6556199999999999,87.45000000000114,0.5282009156690615,2.4000000000001798,2.3999999999979593,1.1589339999999997,3.5589340000001792,24.5719645264556,24.57196452647093,1.0931250000000141,36.43749999999775,2005-10-07
EURCAD,eur,1.55538,64.79999999999819,0.4166184469390001,1.900000000001345,2.4000000000001798,1.088766,2.9887660000013447,21.68118882507665,18.57390263491299,0.8099999999999774,34.10526315786964,2004-10-25
EURCHF,eur,0.937275,35.1499999999999,0.37502333893467665,0.9999999999998899,1.4999999999987246,0.6560924999999999,1.6560924999998896,21.224659854447893,16.30264007690797,0.4393749999999988,35.15000000000377,2003-08-03
GBPCHF,eur,1.10064,53.19999999999991,0.4833551388283172,1.80000000000069,2.80000000000058,0.7704479999999999,2.57044800000069,20.69678126147101,14.900090968973998,0.6649999999999989,29.555555555544178,2003-08-04
GBPAUD,eur,1.94028,100.99999999999997,0.5205434267219163,3.6999999999998145,3.699999999997594,1.3581959999999997,5.058195999999814,19.967593189351238,19.967593189360006,1.2624999999999997,27.29729729729866,2006-01-02
EURGBP,eur,0.85718,27.7000000000005,0.32315266338459253,0.7999999999996898,0.9999999999998899,0.600026,1.40002599999969,19.78534684356336,17.312218676448012,0.3462500000000062,34.625000000014055,2003-08-03
USDSGD,other,1.30558,44.0000000000007,0.3370149665282917,1.40000000000029,2.4000000000001798,0.9139059999999999,2.31390600000029,19.015465623925603,13.277383245028169,0.5500000000000088,31.428571428565423,2004-11-16
AUDCAD,other,0.90773,47.699999999999406,0.5254866535203134,1.9000000000002348,2.4999999999997247,0.635411,2.535411000000235,18.813517808353357,15.213316531709431,0.5962499999999926,25.105263157891322,2006-01-02
USDCNH,other,7.16957,159.3999999999962,0.22232853574202668,3.699999999993153,4.20000000000087,5.018698999999999,8.718698999993151,18.282544219053943,17.29094311463919,1.9924999999999526,43.08108108115978,2012-06-26
AUDNZD,other,1.1024,41.95000000000059,0.3805333817126324,2.000000000002,2.5999999999992696,0.7716799999999998,2.7716800000019997,15.135224845570315,12.441868741994996,0.5243750000000075,20.97499999997932,2006-12-12
USDHKD,other,7.810655,39.800000000003166,0.05095603377694082,2.6000000000081513,3.00000000000189,5.467458499999999,8.06745850000815,4.93340002926113,4.70034780802224,0.4975000000000396,15.307692307645533,2007-03-13
