ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
1F2.SI,0.465,0.465,2026-09-24,0.465,+0.00,一致,ok,
5VS.SI,0.615,0.615,2026-09-24,0.62,+0.00,一致,ok,
5WA.SI,0.049,0.049,2026-09-24,0.048,+0.00,一致,ok,
42C.SI,0.565,0.565,2026-09-24,0.575,+0.00,一致,ok,
558.SI,2.65,2.65,2026-09-24,2.69,+0.00,一致,ok,
A31.SI,0.19,0.19,2026-09-24,0.191,+0.00,一致,ok,
AGS.SI,2.81,2.81,2026-09-24,2.79,+0.00,一致,ok,
AWX.SI,9.96,9.96,2026-09-24,9.89,+0.00,一致,ok,
BS6.SI,5.18,5.18,2026-09-24,5.21,+0.00,一致,ok,
D05.SI,77.69,77.69,2026-09-24,77.46,+0.00,一致,ok,
DM0.SI,0.5,0.5,2026-09-24,0.5,+0.00,一致,ok,
EB5.SI,4.44,4.44,2026-09-24,4.54,+0.00,一致,ok,
H78.SI,8.74,,,,,無合約,no_contract,
O39.SI,31.65,31.65,2026-09-24,31.69,+0.00,一致,ok,
P52.SI,1.68,1.68,2026-09-24,1.69,+0.00,一致,ok,
P8Z.SI,2.1,2.1,2026-09-24,2.16,+0.00,一致,ok,
PCT.SI,3.13,3.13,2026-09-24,3.12,+0.00,一致,ok,
QZG.SI,0.179,0.179,2026-09-24,0.175,+0.00,一致,ok,
RE4.SI,0.555,0.555,2026-09-24,0.56,+0.00,一致,ok,
S61.SI,3.7,3.7,2026-09-24,3.7,+0.00,一致,ok,
U11.SI,42.84,42.84,2026-09-24,42.61,+0.00,一致,ok,
