ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
ALD.AX,44.07,44.03,2026-09-24,44.83,+0.09,一致,ok,
ALK.AX,1.995,1.992,2026-09-24,1.945,+0.15,一致,ok,
ALR.AX,0.047,0.047,2026-09-24,0.046,+0.00,一致,ok,
AMI.AX,0.515,0.517,2026-09-24,0.505,-0.39,一致,ok,
AMP.AX,2.62,2.6,2026-09-24,2.63,+0.77,一致,ok,
AVH.AX,3.18,3.18,2026-09-24,3.1,+0.00,一致,ok,
BCI.AX,0.595,0.6,2026-09-24,0.59,-0.83,一致,ok,
BCM.AX,0.069,0.066,2026-09-24,0.065,+4.55,不一致,ok,
BHP.AX,62.07,61.89,2026-09-24,60.48,+0.29,一致,ok,
BNZ.AX,5.31,5.38,2026-09-24,5.2,-1.30,不一致,ok,
BVS.AX,3.14,3.13,2026-09-24,3.11,+0.32,一致,ok,
CBE.AX,0.395,0.393,2026-09-24,0.385,+0.51,一致,ok,
CCL.AX,6.07,6.05,2026-09-24,6.02,+0.33,一致,ok,
CDA.AX,53.1,53.37,2026-09-24,52.92,-0.51,一致,ok,
CGF.AX,10.34,10.32,2026-09-24,10.4,+0.19,一致,ok,
CGS.AX,3.3,3.28,2026-09-24,3.3,+0.61,一致,ok,
CNB.AX,0.945,0.94,2026-09-24,0.92,+0.53,一致,ok,
CUP.AX,1.46,1.445,2026-09-24,1.41,+1.04,不一致,ok,
CXO.AX,0.42,0.417,2026-09-24,0.41,+0.72,一致,ok,
DBI.AX,5.47,5.47,2026-09-24,5.39,+0.00,一致,ok,
DDR.AX,15.3,15.35,2026-09-24,15.17,-0.33,一致,ok,
EQR.AX,0.475,0.477,2026-09-24,0.47,-0.42,一致,ok,
FPR.AX,4.66,4.65,2026-09-24,4.63,+0.22,一致,ok,
GNG.AX,7.7,7.69,2026-09-24,7.7,+0.13,一致,ok,
IAA.AX,205.1,205.13,2026-09-24,205.13,-0.01,一致,ok,
IKO.AX,265.7,265.73,2026-09-24,265.74,-0.01,一致,ok,
KRR.AX,0.083,0.083,2026-09-24,0.082,+0.00,一致,ok,
LSF.AX,4.84,4.84,2026-09-24,4.83,+0.00,一致,ok,
LYL.AX,22.95,22.94,2026-09-24,22.65,+0.04,一致,ok,
MAH.AX,1.085,1.085,2026-09-24,1.085,+0.00,一致,ok,
MGH.AX,6.43,6.425,2026-09-24,6.55,+0.08,一致,ok,
MI6.AX,0.945,0.95,2026-09-24,0.94,-0.53,一致,ok,
MLX.AX,2.13,2.12,2026-09-24,2.1,+0.47,一致,ok,
MM1.AX,1.28,1.28,2026-09-24,1.255,+0.00,一致,ok,
MND.AX,31.73,31.65,2026-09-24,31.22,+0.25,一致,ok,
MSV.AX,0.545,0.545,2026-09-24,0.545,+0.00,一致,ok,
MYE.AX,0.775,0.76,2026-09-24,0.77,+1.97,不一致,ok,
NHC.AX,5.85,5.86,2026-09-24,5.87,-0.17,一致,ok,
NWH.AX,8.12,8.09,2026-09-24,7.97,+0.37,一致,ok,
OZR.AX,18.25,18.1,2026-09-24,17.87,+0.83,一致,ok,
PYC.AX,2.84,2.85,2026-09-24,2.78,-0.35,一致,ok,
RHC.AX,55.41,55.4,2026-09-24,55.15,+0.02,一致,ok,
S32.AX,4.91,4.91,2026-09-24,4.93,+0.00,一致,ok,
SFR.AX,22.77,22.88,2026-09-24,22.13,-0.48,一致,ok,
SHA.AX,7.16,7.105,2026-09-24,7.28,+0.77,一致,ok,
SHN.AX,0.038,0.038,2026-09-24,0.036,+0.00,一致,ok,
SKS.AX,10.24,10.3,2026-09-24,10.13,-0.58,一致,ok,
SLS.AX,2.64,2.63,2026-09-24,2.61,+0.38,一致,ok,
SMR.AX,2.7,2.69,2026-09-24,2.67,+0.37,一致,ok,
SNX.AX,0.11,0.11,2026-09-24,0.115,+0.00,一致,ok,
SPL.AX,0.815,0.807,2026-09-24,0.82,+0.99,一致,ok,
SRG.AX,4.02,4.03,2026-09-24,3.95,-0.25,一致,ok,
SRL.AX,21.65,21.56,2026-09-24,21.94,+0.42,一致,ok,
SRZ.AX,0.39,0.39,2026-09-24,0.39,+0.00,一致,ok,
STO.AX,8.4,8.38,2026-09-24,8.48,+0.24,一致,ok,
SXE.AX,4.91,4.915,2026-09-24,4.88,-0.10,一致,ok,
