ticker,ours,theirs,source,diff_pct,status
1303.TW,227.5,227.5,證交所每日收盤行情（上市）,+0.00,一致
1326.TW,65.4,65.4,證交所每日收盤行情（上市）,+0.00,一致
1560.TW,955.0,955.0,證交所每日收盤行情（上市）,+0.00,一致
1709.TW,48.3,48.3,證交所每日收盤行情（上市）,+0.00,一致
1727.TW,116.5,116.5,證交所每日收盤行情（上市）,+0.00,一致
2059.TW,12390.0,12390.0,證交所每日收盤行情（上市）,+0.00,一致
2302.TW,45.75,45.75,證交所每日收盤行情（上市）,+0.00,一致
2303.TW,160.0,160.0,證交所每日收盤行情（上市）,+0.00,一致
2305.TW,63.6,63.6,證交所每日收盤行情（上市）,+0.00,一致
2344.TW,172.5,172.5,證交所每日收盤行情（上市）,+0.00,一致
2351.TW,226.0,226.0,證交所每日收盤行情（上市）,+0.00,一致
2360.TW,2325.0,2325.0,證交所每日收盤行情（上市）,+0.00,一致
2399.TW,47.1,47.1,證交所每日收盤行情（上市）,+0.00,一致
2408.TW,515.0,515.0,證交所每日收盤行情（上市）,+0.00,一致
2409.TW,34.7,34.7,證交所每日收盤行情（上市）,+0.00,一致
2426.TW,97.8,97.8,證交所每日收盤行情（上市）,+0.00,一致
2451.TW,284.5,284.5,證交所每日收盤行情（上市）,+0.00,一致
2454.TW,5185.0,5185.0,證交所每日收盤行情（上市）,+0.00,一致
2455.TW,552.0,552.0,證交所每日收盤行情（上市）,+0.00,一致
2464.TW,195.0,195.0,證交所每日收盤行情（上市）,+0.00,一致
2481.TW,173.0,173.0,證交所每日收盤行情（上市）,+0.00,一致
2484.TW,72.9,72.9,證交所每日收盤行情（上市）,+0.00,一致
2855.TW,57.7,57.7,證交所每日收盤行情（上市）,+0.00,一致
2883.TW,39.35,39.35,證交所每日收盤行情（上市）,+0.00,一致
2887.TW,42.95,42.95,證交所每日收盤行情（上市）,+0.00,一致
3006.TW,274.0,274.0,證交所每日收盤行情（上市）,+0.00,一致
3008.TW,6190.0,6190.0,證交所每日收盤行情（上市）,+0.00,一致
3016.TW,145.5,145.5,證交所每日收盤行情（上市）,+0.00,一致
3017.TW,3470.0,3470.0,證交所每日收盤行情（上市）,+0.00,一致
3026.TW,768.0,768.0,證交所每日收盤行情（上市）,+0.00,一致
3037.TW,1160.0,1160.0,證交所每日收盤行情（上市）,+0.00,一致
