ticker,ours,theirs,source,diff_pct,status
278A.T,19740.0,19740.0,Yahoo 即時重抓（同來源）,+0.00,一致
319A.T,19300.0,19300.0,Yahoo 即時重抓（同來源）,+0.00,一致
1515.T,3485.0,3485.0,Yahoo 即時重抓（同來源）,+0.00,一致
1518.T,2296.0,2296.0,Yahoo 即時重抓（同來源）,+0.00,一致
2175.T,2673.0,2673.0,Yahoo 即時重抓（同來源）,+0.00,一致
2354.T,1352.0,1352.0,Yahoo 即時重抓（同來源）,+0.00,一致
2492.T,713.0,713.0,Yahoo 即時重抓（同來源）,+0.00,一致
2737.T,36850.0,36850.0,Yahoo 即時重抓（同來源）,+0.00,一致
2782.T,4735.0,4735.0,Yahoo 即時重抓（同來源）,+0.00,一致
2805.T,7930.0,7930.0,Yahoo 即時重抓（同來源）,+0.00,一致
2874.T,2164.0,2164.0,Yahoo 即時重抓（同來源）,+0.00,一致
2914.T,6886.0,6886.0,Yahoo 即時重抓（同來源）,+0.00,一致
2962.T,2231.0,2231.0,Yahoo 即時重抓（同來源）,+0.00,一致
3036.T,3380.0,3380.0,Yahoo 即時重抓（同來源）,+0.00,一致
3105.T,2436.0,2435.5,Yahoo 即時重抓（同來源）,+0.02,一致
3132.T,4088.0,4088.0,Yahoo 即時重抓（同來源）,+0.00,一致
3156.T,5890.0,5890.0,Yahoo 即時重抓（同來源）,+0.00,一致
3907.T,2070.0,2070.0,Yahoo 即時重抓（同來源）,+0.00,一致
3941.T,1538.0,1538.0,Yahoo 即時重抓（同來源）,+0.00,一致
4021.T,8257.0,8257.0,Yahoo 即時重抓（同來源）,+0.00,一致
4092.T,5760.0,5760.0,Yahoo 即時重抓（同來源）,+0.00,一致
4203.T,7786.0,7786.0,Yahoo 即時重抓（同來源）,+0.00,一致
4461.T,13090.0,13090.0,Yahoo 即時重抓（同來源）,+0.00,一致
4471.T,6380.0,6380.0,Yahoo 即時重抓（同來源）,+0.00,一致
4588.T,6770.0,6770.0,Yahoo 即時重抓（同來源）,+0.00,一致
4634.T,5150.0,5150.0,Yahoo 即時重抓（同來源）,+0.00,一致
4968.T,2280.0,2280.0,Yahoo 即時重抓（同來源）,+0.00,一致
5076.T,2908.0,2908.5,Yahoo 即時重抓（同來源）,-0.02,一致
5186.T,6860.0,6860.0,Yahoo 即時重抓（同來源）,+0.00,一致
5208.T,2668.0,2668.0,Yahoo 即時重抓（同來源）,+0.00,一致
5243.T,3135.0,3135.0,Yahoo 即時重抓（同來源）,+0.00,一致
5301.T,2128.0,2127.5,Yahoo 即時重抓（同來源）,+0.02,一致
