ticker,name,close,ret252,rs,above_200ma_pct,in40
000500.KS,,3.185e+05,8.91,99.57,1.45,1
001450.KS,,4.755e+04,0.7197,73,0.345,1
001820.KS,,1.469e+05,3.554,97.14,0.9659,1
002990.KS,,1.301e+04,2.378,94.43,0.8412,1
005930.KS,,2.855e+05,3.043,95.86,0.2853,1
006360.KS,,3.46e+04,0.8405,76.29,0.2511,1
007340.KS,,4.79e+04,0.9728,80.29,0.3117,1
010950.KS,,1.556e+05,1.629,89.43,0.3567,1
011560.KQ,,2.43e+04,1.022,81,0.2346,1
028050.KS,,4.935e+04,0.8215,76,0.208,1
029460.KS,,4.335e+04,0.9057,78.43,0.348,1
031980.KQ,,1.632e+05,3.374,96.71,0.5885,1
032580.KQ,,7020,4.87,98.29,1.411,1
036930.KQ,,2.095e+05,6.483,99.14,0.8068,1
055550.KS,,1.093e+05,0.7269,73.43,0.1526,1
064290.KQ,,5.48e+04,2.895,95.57,0.9971,1
067290.KQ,,3140,1.185,83.71,0.5317,1
078930.KS,,1.107e+05,1.512,88,0.4426,1
079650.KQ,,6240,2.793,95.43,1.285,1
086790.KS,,1.331e+05,0.66,71.14,0.1513,1
088350.KS,,5640,0.7407,73.57,0.2339,1
089860.KS,,4.965e+04,0.7444,73.86,0.4463,1
098120.KQ,,5.8e+04,2.248,93.86,1.038,1
119850.KQ,,5.61e+04,0.7897,75.29,0.586,1
122640.KQ,,3.2e+04,0.7621,74.43,0.2899,1
131290.KQ,,2.89e+05,6.291,98.86,0.7982,1
144960.KQ,,1.279e+04,1.484,87.57,0.7096,1
159010.KQ,,2.98e+04,7.383,99.29,1.474,1
161890.KS,,1.47e+05,0.9004,78,0.6261,1
219130.KQ,,8.08e+04,3.275,96.29,0.6898,1
222800.KQ,,1.495e+05,4.284,97.71,0.7536,1
241710.KQ,,1.273e+05,0.9487,79.14,0.4726,1
252990.KQ,,1.793e+04,2.608,95,0.5656,1
317400.KS,,9780,1.811,91.71,0.8119,1
417840.KQ,,1.708e+04,3.044,96,0.7001,1
446540.KQ,,1.09e+04,1.795,91.29,0.9217,1
