ticker,name,close,ret252,rs,above_200ma_pct,in40
ALS.TO,,68.17,1.155,90.5,0.2983,1
AMD.TO,,110.9,2.789,98.25,0.6967,1
ARE.TO,,53.4,1.342,93,0.2665,0
ARG.TO,,8.73,3.065,99,0.4771,1
AYA.TO,,39.72,1.5,94.75,0.4922,0
BDGI.TO,,91.19,0.5454,74.25,0.1572,1
BDI.TO,,19.06,0.5477,74.75,0.1108,1
BDT.TO,,81.78,1.939,96.5,0.6564,0
BNS.TO,,130.1,0.5163,73,0.1917,0
BTE.TO,,6.44,0.9722,88,0.1274,0
CAS.TO,,17.72,0.8886,86.25,0.4107,1
CEU.TO,,18.55,1.171,91,0.1172,0
CG.TO,,31.87,1.457,94,0.2872,0
CGG.TO,,40.8,0.7638,82.75,0.2887,0
CGY.TO,,85.49,0.7127,81,0.1572,1
CJ.TO,,11.97,0.6756,79.5,0.1388,1
CNQ.TO,,67.12,0.6055,77.25,0.1381,1
CURA.TO,,16.8,0.5642,75.25,0.3695,1
CVE.TO,,43.77,0.9164,87.25,0.2566,0
DPM.TO,,63.28,1.084,90,0.2554,1
DSV.TO,,12.36,1.635,95.25,0.2914,1
ERO.TO,,51.46,1.204,91.5,0.2563,0
FF.TO,,0.84,1.847,96,0.3816,1
FM.TO,,45.17,0.673,79.25,0.1681,1
FTT.TO,,105,0.7569,82.5,0.1485,1
GGD.TO,,4.35,0.7126,80.75,0.3359,0
GMIN.TO,,51.26,1.024,89,0.1179,0
GWO.TO,,92.82,0.7872,83.75,0.2337,0
HBM.TO,,37.79,0.9782,88.25,0.1308,1
HOU.TO,,25.33,1.483,94.5,0.4274,0
HUT.TO,,144.5,1.897,96.25,0.3304,1
IPO.TO,,16.62,0.4658,70.25,0.08623,0
JOY.TO,,5.29,0.6955,80.25,0.1199,0
KEL.TO,,10.53,0.5372,74,0.1636,0
KNT.TO,,29.26,0.8414,85,0.1486,1
LGD.TO,,2.18,2.633,98,0.5644,0
MATR.TO,,21.22,0.91,87,0.7701,1
MAU.TO,,19.93,2.047,96.75,0.3308,0
MTL.TO,,26.57,1.002,88.75,0.3187,0
MX.TO,,83.55,0.5853,76.25,0.1342,1
NRGU.TO,,66.25,1.274,92.75,0.2296,0
NUAG.TO,,9.21,1.685,95.5,0.4176,0
OBE.TO,,15.81,0.8535,85.75,0.2099,0
OM.TO,,1.77,2.933,98.75,0.2623,0
ORE.TO,,3.23,1.41,93.5,0.3676,1
POW.TO,,93.05,0.6435,78,0.1883,1
PXT.TO,,26.88,0.5312,73.5,0.1527,1
RUS.TO,,83.2,1.132,90.25,0.4708,1
SEA.TO,,44.04,0.6904,80,0.09124,1
SGY.TO,,11.41,0.749,82.25,0.2832,1
SKE.TO,,44.4,0.786,83.5,0.08016,1
SOIL.TO,,6.75,1.5,95,0.3378,0
SSRM.TO,,51.15,0.6243,77.75,0.2773,1
SU.TO,,95.76,0.7236,81.5,0.1788,0
SXGC.TO,,12.73,0.9057,86.5,0.2646,1
TIH.TO,,225.4,0.4933,71.5,0.1157,0
TKO.TO,,12.73,1.462,94.25,0.2646,1
TNZ.TO,,67.28,2.177,97.25,0.329,1
TOT.TO,,36.3,1.694,95.75,0.6274,1
TSAT.TO,,66.24,0.9477,87.5,0.172,0
TWM.TO,,24.84,3.14,99.25,0.8995,1
VET.TO,,16.48,0.6631,79,0.09651,1
VLE.TO,,15.04,1.164,90.75,0.2942,1
WCP.TO,,18.26,0.7794,83.25,0.2469,1
WDO.TO,,35.6,0.8578,86,0.3361,1
WJX.TO,,33.94,0.5027,71.75,0.1404,0
WTE.TO,,42,0.7194,81.25,0.1943,1
XBM.TO,,36.62,0.5728,75.5,0.05255,0
XCHP.TO,,138.5,1.179,91.25,0.2907,1
XEG.TO,,28.21,0.5911,76.75,0.1421,1
