ticker,name,close,ret252,rs,above_200ma_pct,in40
ADANIPORTS.NS,,1807,0.2567,75.39,0.1152,1
AEGISLOG.NS,,1404,0.7838,91.49,0.5449,1
AHCL.NS,,29.68,1.118,96.44,1.076,0
ANDHRSUGAR.NS,,95.2,0.2593,75.54,0.1601,0
ANGELONE.NS,,300,0.3603,80.8,0.04988,1
ANTELOPUS.NS,,1161,1.062,95.51,0.6815,0
APARINDS.NS,,1.788e+04,1.058,95.36,0.4448,1
APOLLO.NS,,404.6,0.2192,73.37,0.2787,0
APOLLOHOSP.NS,,9069,0.1748,70.59,0.135,0
ARFIN.NS,,91.42,1.033,95.2,0.09453,0
ARTEMISMED.NS,,341.9,0.4157,83.44,0.2803,1
ASKAUTOLTD.NS,,651.2,0.2704,76.47,0.3474,1
ATHERENERG.NS,,1499,1.535,98.3,0.5137,1
AZAD.NS,,2713,0.6598,90.09,0.343,1
BALAMINES.NS,,2271,0.5433,87.46,0.4068,0
BBOX.NS,,809.9,0.6161,89.16,0.1651,0
BELRISE.NS,,249.8,0.626,89.32,0.2033,1
BHAGYANGR.NS,,444.6,3.853,99.85,0.6522,1
BHEL.NS,,423.1,0.7716,91.18,0.2307,0
BLUESTONE.NS,,855.5,0.4045,82.35,0.4902,0
BLUSPRING.NS,,132.6,0.543,87.31,0.5922,1
BODALCHEM.NS,,199.5,2.015,98.92,1.822,1
CGCL.NS,,268.6,0.3902,82.04,0.3263,0
CHENNPETRO.NS,,1389,0.9321,93.5,0.3291,0
CONFIPET.NS,,89.12,0.9044,93.19,0.5777,0
CORDSCABLE.NS,,369.6,1.071,95.67,0.8109,1
CUPID.NS,,273.9,5.283,100,0.8286,0
DCBBANK.NS,,223.7,0.7464,91.02,0.2009,0
DIVGIITTS.NS,,1177,0.8017,91.8,0.444,0
EDELWEISS.NS,,142,0.2165,73.22,0.2351,0
ELGIEQUIP.NS,,614.7,0.243,74.61,0.1375,0
EMIL.NS,,191.3,0.1709,70.28,0.5675,1
ENGINERSIN.NS,,306.2,0.4926,86.38,0.366,0
FILATEX.NS,,108.7,0.916,93.34,0.9647,0
FINCABLES.NS,,1470,0.7723,91.33,0.5012,1
GAYAPROJ.NS,,24.17,1.199,97.06,0.3869,0
GNA.NS,,596.6,0.8832,93.03,0.3915,0
GNFC.NS,,623,0.2751,76.63,0.2928,0
GOODLUCK.NS,,537.1,0.4686,85.14,0.2673,1
GRAPHITE.NS,,821,0.4576,84.21,0.2332,1
IBULLSLTD.NS,,29.12,0.5531,87.62,0.4912,0
IDEA.NS,,14.52,0.7306,90.71,0.1897,0
INDOBORAX.NS,,462.6,1.077,95.82,0.4851,0
INDSWFTLAB.NS,,405.1,2.891,99.69,1.217,1
IPCALAB.NS,,1963,0.3667,81.27,0.215,0
JGCHEM.NS,,621.5,0.341,80.03,0.4602,0
JINDALSAW.NS,,292.6,0.4047,82.51,0.2995,1
JINDWORLD.NS,,52.2,0.3737,81.58,0.7079,1
JTLIND.NS,,91.31,0.2108,72.91,0.2973,0
KENNAMET.NS,,4317,1.12,96.59,0.3171,1
KOPRAN.NS,,279.4,0.6425,89.78,0.6837,0
KRN.NS,,1413,0.6132,88.85,0.306,0
KSL.NS,,998.2,0.2422,74.3,0.2622,0
KTKBANK.NS,,343.1,0.9999,94.58,0.3838,0
LAURUSLABS.NS,,2034,1.255,97.52,0.5257,0
LLOYDSENGG.NS,,91.52,0.4609,84.83,0.3804,0
LOKESHMACH.NS,,359.2,1.011,94.89,0.4272,0
LUMAXIND.NS,,5788,0.3372,79.57,0.0647,0
LUMAXTECH.NS,,2045,0.8357,92.41,0.2392,0
MAHABANK.NS,,84.11,0.514,86.69,0.1385,0
MANALIPETC.NS,,87.69,0.3024,77.86,0.4338,0
MANGLMCEM.NS,,1033,0.3802,81.89,0.1786,1
MANINDS.NS,,986.7,1.246,97.37,0.9251,0
MARINE.NS,,425.8,0.8796,92.72,0.7135,0
MARKSANS.NS,,347.6,1,94.74,0.5485,0
MCX.NS,,3374,1.117,96.28,0.2403,1
MOREPENLAB.NS,,122.3,1.304,97.83,1.243,0
MPSLTD.NS,,2691,0.1969,72.6,0.3508,1
MUKANDLTD.NS,,157.1,0.1841,72.14,0.1927,0
MWL.NS,,44.63,0.8627,92.57,0.3551,0
NAZARA.NS,,372.7,0.3498,80.34,0.2906,0
NOVARTIND.NS,,2027,2.781,99.54,0.3597,1
NRBBEARING.NS,,541,0.949,93.65,0.5602,0
NYKAA.NS,,340.9,0.4061,82.66,0.2057,1
ONEPOINT.NS,,68.41,0.4788,85.91,0.2593,0
ORCHPHARMA.NS,,1102,0.4381,83.9,0.387,0
PAISALO.NS,,90.39,1.349,97.99,0.7609,0
PARAS.NS,,1381,0.8824,92.88,0.4675,1
PAYTM.NS,,1775,0.4839,86.07,0.4045,1
PFOCUS.NS,,337.1,0.8321,92.26,0.2496,0
PONNIERODE.NS,,375.2,0.2836,77.4,0.2426,1
PREMIERPOL.NS,,96.72,1.029,95.05,0.5886,0
QUADFUTURE.NS,,526.5,0.2359,74.15,0.5255,1
RADICO.NS,,4602,0.5109,86.53,0.3149,0
RATNAVEER.NS,,331.4,1.279,97.68,0.8255,0
RBLBANK.NS,,428,0.5911,88.39,0.2574,0
REDINGTON.NS,,400.8,0.4113,83.13,0.4902,0
ROLEXRINGS.NS,,183.6,0.325,79.1,0.2923,0
ROSSTECH.NS,,1450,0.8262,92.11,0.6323,1
SAIL.NS,,185.4,0.3687,81.42,0.1061,1
SAKAR.NS,,1163,2.356,99.38,0.7103,0
SAMBHV.NS,,158.2,0.2808,77.24,0.4503,0
SANSERA.NS,,4621,2.094,99.07,0.7156,1
SBCL.NS,,1156,1.122,96.75,0.7812,1
SETL.NS,,407,1.096,95.98,1.065,0
SHANTIGOLD.NS,,288.1,0.2848,77.55,0.3456,0
SKYGOLD.NS,,794.1,1.731,98.45,0.6045,0
SOLARINDS.NS,,1.973e+04,0.3455,80.19,0.2226,0
SONACOMS.NS,,833,0.9927,94.27,0.378,0
SOUTHBANK.NS,,47.08,0.6089,88.7,0.1204,0
SSWL.NS,,371.9,0.5386,87.15,0.5708,0
STLNETWORK.NS,,49.7,0.7061,90.4,0.9921,0
SUBEXLTD.NS,,22.08,0.7156,90.56,0.8816,1
SUPRIYA.NS,,1001,0.3799,81.73,0.3029,0
SYRMA.NS,,1719,1.11,96.13,0.5934,0
TATVA.NS,,1778,0.6136,89.01,0.3171,0
TDPOWERSYS.NS,,765.5,1.831,98.61,0.4397,1
TEXINFRA.NS,,123.5,0.3,77.71,0.2016,0
TI.NS,,601.5,0.3057,78.02,0.3046,0
TIIL.NS,,3020,0.2296,73.84,0.2133,1
TMB.NS,,921.4,1.15,96.9,0.3113,0
UNIDT.NS,,235.2,0.1796,71.52,0.1381,1
UNIMECH.NS,,1716,0.5561,87.77,0.5911,0
UNIONBANK.NS,,180,0.335,79.41,0.05612,0
UNIVCABLES.NS,,1509,0.956,93.81,0.4468,0
USHAMART.NS,,535,0.2483,75.08,0.1655,0
VARROC.NS,,836.5,0.3242,78.95,0.3452,1
VENUSPIPES.NS,,2236,0.6023,88.54,0.6135,0
VIJAYA.NS,,1571,0.4868,86.22,0.3237,0
WELCORP.NS,,2797,2.145,99.23,1.123,0
WELSPUNLIV.NS,,223.8,0.8146,91.95,0.5209,1
WHEELS.NS,,2240,1.842,98.76,0.7876,0
WOCKPHARMA.NS,,2330,0.573,87.93,0.4237,0
