ticker,ours,theirs,source,diff_pct,status
AAPL,339.0,338.98,Nasdaq 歷史 API,+0.01,一致
ABCL,12.66,12.66,Nasdaq 歷史 API,+0.00,一致
ACA,146.2,146.22,Nasdaq 歷史 API,-0.01,一致
ADI,383.0,383.0,Nasdaq 歷史 API,+0.00,一致
ADM,83.38,83.38,Nasdaq 歷史 API,+0.00,一致
ADPT,27.86,27.86,Nasdaq 歷史 API,+0.00,一致
AMD,615.5,615.52,Nasdaq 歷史 API,-0.00,一致
AMG,364.7,364.66,Nasdaq 歷史 API,+0.01,一致
AMLX,32.39,32.39,Nasdaq 歷史 API,+0.00,一致
ANET,205.4,205.42,Nasdaq 歷史 API,-0.01,一致
APA,43.81,43.81,Nasdaq 歷史 API,+0.00,一致
APH,80.72,80.72,Nasdaq 歷史 API,+0.00,一致
ARW,219.1,219.1,Nasdaq 歷史 API,+0.00,一致
ATKR,94.47,94.47,Nasdaq 歷史 API,+0.00,一致
AU,101.9,101.93,Nasdaq 歷史 API,-0.03,一致
AVT,95.48,95.48,Nasdaq 歷史 API,+0.00,一致
BAP,390.0,389.97,Nasdaq 歷史 API,+0.01,一致
BBY,93.22,93.22,Nasdaq 歷史 API,+0.00,一致
BE,272.9,272.89,Nasdaq 歷史 API,+0.00,一致
BFH,108.0,108.0,Nasdaq 歷史 API,+0.00,一致
BFLY,8.14,8.14,Nasdaq 歷史 API,+0.00,一致
BIIB,219.1,219.07,Nasdaq 歷史 API,+0.01,一致
BMO,177.2,177.19,Nasdaq 歷史 API,+0.01,一致
BNS,95.35,95.35,Nasdaq 歷史 API,+0.00,一致
BRKR,61.58,61.58,Nasdaq 歷史 API,+0.00,一致
BTE,4.67,4.67,Nasdaq 歷史 API,+0.00,一致
C,135.1,135.05,Nasdaq 歷史 API,+0.04,一致
CDNA,54.33,54.33,Nasdaq 歷史 API,+0.00,一致
CGON,78.25,78.25,Nasdaq 歷史 API,+0.00,一致
CHEF,110.7,110.7,Nasdaq 歷史 API,+0.00,一致
CLBK,11.6,11.6,Nasdaq 歷史 API,+0.00,一致
CLMT,58.12,58.12,Nasdaq 歷史 API,+0.00,一致
CNK,36.25,36.25,Nasdaq 歷史 API,+0.00,一致
CNQ,48.28,48.28,Nasdaq 歷史 API,+0.00,一致
COHU,60.62,60.615,Nasdaq 歷史 API,+0.01,一致
COP,127.5,127.53,Nasdaq 歷史 API,-0.02,一致
CORT,113.8,113.76,Nasdaq 歷史 API,+0.04,一致
CRGY,13.26,13.26,Nasdaq 歷史 API,+0.00,一致
CRL,279.0,279.01,Nasdaq 歷史 API,-0.00,一致
CRWD,249.3,249.35,Nasdaq 歷史 API,-0.02,一致
CVE,31.57,31.57,Nasdaq 歷史 API,+0.00,一致
CVX,203.7,203.67,Nasdaq 歷史 API,+0.01,一致
DDOG,245.1,245.05,Nasdaq 歷史 API,+0.02,一致
DE,684.7,684.73,Nasdaq 歷史 API,-0.00,一致
DELL,575.3,575.31,Nasdaq 歷史 API,-0.00,一致
DGX,244.9,244.88,Nasdaq 歷史 API,+0.01,一致
DHT,22.45,22.45,Nasdaq 歷史 API,+0.00,一致
DINO,109.3,109.29,Nasdaq 歷史 API,+0.01,一致
DK,74.37,74.37,Nasdaq 歷史 API,+0.00,一致
DOCN,146.2,146.16,Nasdaq 歷史 API,+0.03,一致
DVN,47.59,47.59,Nasdaq 歷史 API,+0.00,一致
ELV,409.3,409.31,Nasdaq 歷史 API,-0.00,一致
ENTG,143.1,143.14,Nasdaq 歷史 API,-0.03,一致
EQIX,1057.0,1057.26,Nasdaq 歷史 API,-0.02,一致
EQNR,42.49,42.49,Nasdaq 歷史 API,+0.00,一致
EWTX,44.64,44.64,Nasdaq 歷史 API,+0.00,一致
EXEL,57.22,57.22,Nasdaq 歷史 API,+0.00,一致
EXPD,192.2,192.15,Nasdaq 歷史 API,+0.03,一致
FCFS,216.1,216.12,Nasdaq 歷史 API,-0.01,一致
FCX,72.16,72.16,Nasdaq 歷史 API,+0.00,一致
FFIV,450.1,450.1,Nasdaq 歷史 API,+0.00,一致
FIVE,236.1,236.14,Nasdaq 歷史 API,-0.02,一致
FIVN,37.01,37.01,Nasdaq 歷史 API,+0.00,一致
FRO,49.81,49.81,Nasdaq 歷史 API,+0.00,一致
FROG,92.0,92.0,Nasdaq 歷史 API,+0.00,一致
FSLY,27.42,27.42,Nasdaq 歷史 API,+0.00,一致
FTNT,175.2,175.23,Nasdaq 歷史 API,-0.02,一致
GGB,5.0,5.0,Nasdaq 歷史 API,+0.00,一致
GH,173.9,173.87,Nasdaq 歷史 API,+0.02,一致
GILD,150.6,150.56,Nasdaq 歷史 API,+0.03,一致
GOOG,350.9,350.87,Nasdaq 歷史 API,+0.01,一致
GOOGL,355.0,354.97,Nasdaq 歷史 API,+0.01,一致
GSAT,83.04,83.04,Nasdaq 歷史 API,+0.00,一致
HALO,111.5,111.45,Nasdaq 歷史 API,+0.04,一致
HBM,26.65,26.65,Nasdaq 歷史 API,+0.00,一致
HNGE,94.45,94.45,Nasdaq 歷史 API,+0.00,一致
HP,40.29,40.29,Nasdaq 歷史 API,+0.00,一致
HPE,61.75,61.75,Nasdaq 歷史 API,+0.00,一致
HSBC,103.2,103.21,Nasdaq 歷史 API,-0.01,一致
HTFL,50.33,50.33,Nasdaq 歷史 API,+0.00,一致
HUT,103.4,103.42,Nasdaq 歷史 API,-0.02,一致
IBKR,93.21,93.21,Nasdaq 歷史 API,+0.00,一致
IFF,83.6,83.6,Nasdaq 歷史 API,+0.00,一致
ILMN,238.8,238.82,Nasdaq 歷史 API,-0.01,一致
IMAX,54.04,54.04,Nasdaq 歷史 API,+0.00,一致
INCY,124.7,124.65,Nasdaq 歷史 API,+0.04,一致
ING,36.91,36.91,Nasdaq 歷史 API,+0.00,一致
INSW,109.1,109.1,Nasdaq 歷史 API,+0.00,一致
INTC,121.8,121.78,Nasdaq 歷史 API,+0.02,一致
IRDM,48.21,48.21,Nasdaq 歷史 API,+0.00,一致
IVZ,31.38,31.38,Nasdaq 歷史 API,+0.00,一致
JCI,145.2,145.18,Nasdaq 歷史 API,+0.01,一致
JNJ,269.5,269.47,Nasdaq 歷史 API,+0.01,一致
JXN,131.9,131.87,Nasdaq 歷史 API,+0.02,一致
KEYS,342.0,342.03,Nasdaq 歷史 API,-0.01,一致
KNSA,78.13,78.13,Nasdaq 歷史 API,+0.00,一致
KO,87.12,87.12,Nasdaq 歷史 API,+0.00,一致
KYMR,117.7,117.67,Nasdaq 歷史 API,+0.03,一致
LFST,12.67,12.67,Nasdaq 歷史 API,+0.00,一致
LITE,954.5,954.49,Nasdaq 歷史 API,+0.00,一致
MAN,56.55,56.55,Nasdaq 歷史 API,+0.00,一致
MATX,234.7,234.72,Nasdaq 歷史 API,-0.01,一致
MEOH,58.7,58.7,Nasdaq 歷史 API,+0.00,一致
MFC,44.58,44.58,Nasdaq 歷史 API,+0.00,一致
MPC,402.4,402.38,Nasdaq 歷史 API,+0.00,一致
MRK,149.5,149.5,Nasdaq 歷史 API,+0.00,一致
MRVL,257.4,257.38,Nasdaq 歷史 API,+0.01,一致
MRX,75.71,75.71,Nasdaq 歷史 API,+0.00,一致
MSGS,400.1,400.09,Nasdaq 歷史 API,+0.00,一致
MT,72.54,72.54,Nasdaq 歷史 API,+0.00,一致
MTRN,254.6,254.63,Nasdaq 歷史 API,-0.01,一致
MU,1044.0,1043.96,Nasdaq 歷史 API,+0.00,一致
MUFG,23.42,23.42,Nasdaq 歷史 API,+0.00,一致
NBIS,232.8,232.8,Nasdaq 歷史 API,+0.00,一致
NDSN,314.4,314.35,Nasdaq 歷史 API,+0.02,一致
NEM,123.0,123.05,Nasdaq 歷史 API,-0.04,一致
NESR,32.4,32.4,Nasdaq 歷史 API,+0.00,一致
NET,351.7,351.67,Nasdaq 歷史 API,+0.01,一致
NTAP,198.2,198.15,Nasdaq 歷史 API,+0.03,一致
NTR,74.54,74.54,Nasdaq 歷史 API,+0.00,一致
NTRA,370.6,370.64,Nasdaq 歷史 API,-0.01,一致
NVT,159.4,159.44,Nasdaq 歷史 API,-0.03,一致
OKTA,191.3,191.33,Nasdaq 歷史 API,-0.02,一致
OSCR,31.29,31.29,Nasdaq 歷史 API,+0.00,一致
PANW,371.8,371.76,Nasdaq 歷史 API,+0.01,一致
PARR,82.0,82.0,Nasdaq 歷史 API,+0.00,一致
PBF,72.48,72.48,Nasdaq 歷史 API,+0.00,一致
PBR,20.63,20.63,Nasdaq 歷史 API,+0.00,一致
PCVX,58.92,58.92,Nasdaq 歷史 API,+0.00,一致
PFG,116.5,116.47,Nasdaq 歷史 API,+0.03,一致
PK,15.15,15.15,Nasdaq 歷史 API,+0.00,一致
PR,21.97,21.97,Nasdaq 歷史 API,+0.00,一致
