ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
AAPL,339,338.98,2026-09-22,340.14,+0.01,一致,ok,
ABCL,12.66,12.66,2026-09-22,12.56,+0.00,一致,ok,
ACA,146.2,146.22,2026-09-22,146.44,-0.01,一致,ok,
ADI,383,383.0,2026-09-22,382.19,+0.00,一致,ok,
ADM,83.38,83.38,2026-09-22,82.88,+0.00,一致,ok,
ADPT,27.86,27.86,2026-09-22,27.39,+0.00,一致,ok,
AMD,615.5,615.52,2026-09-22,606.57,-0.00,一致,ok,
AMG,364.7,364.66,2026-09-22,366.04,+0.01,一致,ok,
AMLX,32.39,32.39,2026-09-22,32.52,+0.00,一致,ok,
ANET,205.4,205.42,2026-09-22,204.35,-0.01,一致,ok,
APA,43.81,43.81,2026-09-22,42.95,+0.00,一致,ok,
APH,80.72,80.72,2026-09-22,80.19,+0.00,一致,ok,
ARW,219.1,219.1,2026-09-22,219.0,+0.00,一致,ok,
ATKR,94.47,94.47,2026-09-22,94.5,+0.00,一致,ok,
AU,101.9,101.93,2026-09-22,101.24,-0.03,一致,ok,
AVT,95.48,95.48,2026-09-22,95.35,+0.00,一致,ok,
BAP,390,389.97,2026-09-22,389.43,+0.01,一致,ok,
BBY,93.22,93.22,2026-09-22,94.42,+0.00,一致,ok,
BE,272.9,272.89,2026-09-22,274.16,+0.00,一致,ok,
BFH,108,108.0,2026-09-22,108.92,+0.00,一致,ok,
BFLY,8.14,8.14,2026-09-22,8.85,+0.00,一致,ok,
BIIB,219.1,219.07,2026-09-22,219.22,+0.01,一致,ok,
BMO,177.2,177.19,2026-09-22,177.63,+0.01,一致,ok,
BNS,95.35,95.35,2026-09-22,95.44,+0.00,一致,ok,
BRKR,61.58,61.58,2026-09-22,62.29,+0.00,一致,ok,
BTE,4.67,4.67,2026-09-22,4.6,+0.00,一致,ok,
C,135.1,135.05,2026-09-22,134.87,+0.04,一致,ok,
CDNA,54.33,54.33,2026-09-22,54.44,+0.00,一致,ok,
CGON,78.25,78.25,2026-09-22,78.31,+0.00,一致,ok,
CHEF,110.7,110.7,2026-09-22,111.9,+0.00,一致,ok,
CLBK,11.6,11.6,2026-09-22,11.65,+0.00,一致,ok,
CLMT,58.12,58.12,2026-09-22,56.64,+0.00,一致,ok,
CNK,36.25,36.25,2026-09-22,36.79,+0.00,一致,ok,
CNQ,48.28,48.28,2026-09-22,47.68,+0.00,一致,ok,
COHU,60.62,60.62,2026-09-22,59.48,+0.00,一致,ok,
COP,127.5,127.53,2026-09-22,125.98,-0.02,一致,ok,
CORT,113.8,113.76,2026-09-22,113.96,+0.04,一致,ok,
CRGY,13.26,13.26,2026-09-22,13.08,+0.00,一致,ok,
CRL,279,279.01,2026-09-22,280.19,-0.00,一致,ok,
CRWD,249.3,249.35,2026-09-22,248.21,-0.02,一致,ok,
CVE,31.57,31.57,2026-09-22,30.81,+0.00,一致,ok,
CVX,203.7,203.67,2026-09-22,201.87,+0.01,一致,ok,
DDOG,245.1,245.05,2026-09-22,245.67,+0.02,一致,ok,
DE,684.7,684.73,2026-09-22,688.73,-0.00,一致,ok,
DELL,575.3,575.31,2026-09-22,569.8,-0.00,一致,ok,
DGX,244.9,244.88,2026-09-22,228.59,+0.01,一致,ok,
DHT,22.45,22.45,2026-09-22,21.8,+0.00,一致,ok,
DINO,109.3,109.29,2026-09-22,107.14,+0.01,一致,ok,
DK,74.37,74.37,2026-09-22,71.96,+0.00,一致,ok,
DOCN,146.2,146.16,2026-09-22,144.34,+0.03,一致,ok,
DVN,47.59,47.59,2026-09-22,46.8,+0.00,一致,ok,
