ticker,name,close,ret252,rs,above_200ma_pct,in40
AAPL,,339,0.4303,77.8,0.1844,0
ABCL,,12.66,1.682,96.4,1.286,0
ACA,,146.2,0.5112,81.2,0.1657,0
ADI,,383,0.5571,83.4,0.08671,0
ADM,,83.38,0.4108,76.67,0.1475,1
ADPT,,27.86,1.023,92.27,0.5408,0
AMD,,615.5,2.898,98.47,0.726,0
AMG,,364.7,0.4926,80.47,0.1424,0
AMLX,,32.39,1.445,95.27,0.8209,0
ANET,,205.4,0.4007,76.2,0.321,1
APA,,43.81,0.897,90.73,0.278,0
APH,,80.72,0.3297,71.07,0.1012,0
ARW,,219.1,0.7836,88.87,0.2524,0
ATKR,,94.47,0.5881,84.53,0.2842,0
AU,,101.9,0.651,86.53,0.07956,0
AVT,,95.48,0.817,89.4,0.2972,0
BAP,,390,0.5593,83.6,0.1553,0
BBY,,93.22,0.3317,71.27,0.3224,0
BE,,272.9,2.37,98,0.3666,0
BFH,,108,0.7051,87.73,0.2328,0
BFLY,,8.14,3.307,99.07,0.509,0
BIIB,,219.1,0.5233,81.67,0.1349,0
BMO,,177.2,0.3902,75.13,0.1567,0
BNS,,95.35,0.5058,81,0.2105,0
BRKR,,61.58,0.8616,90.33,0.2704,0
BTE,,4.67,0.8955,90.67,0.133,1
C,,135.1,0.3466,72.13,0.08898,0
CDNA,,54.33,2.678,98.27,1.026,1
CGON,,78.25,1.016,92.07,0.2493,0
CHEF,,110.7,0.6599,86.8,0.3838,0
CLBK,,11.6,0.6174,85.53,0.291,0
CLMT,,58.12,2.128,97.73,0.7323,1
CNK,,36.25,0.3161,70.33,0.2476,1
CNQ,,48.28,0.5272,81.93,0.1342,0
COHU,,60.62,1.605,96.13,0.4465,0
COP,,127.5,0.4073,76.47,0.1207,0
CORT,,113.8,0.4256,77.4,0.6593,0
CRGY,,13.26,0.5755,84.13,0.1888,0
CRL,,279,0.7772,88.8,0.3581,1
CRWD,,249.3,0.9844,91.67,0.6897,0
CVE,,31.57,0.8373,89.8,0.257,0
CVX,,203.7,0.3328,71.47,0.1223,0
DDOG,,245.1,0.7912,88.93,0.3639,1
DE,,684.7,0.4562,79.07,0.1877,0
DELL,,575.3,3.41,99.13,1.099,1
DGX,,244.9,0.3592,73.2,0.2081,0
DHT,,22.45,0.9874,91.87,0.4188,0
