ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
278A.T,1.974e+04,,,,,無權限,no_data,
319A.T,1.93e+04,,,,,無權限,no_data,
1515.T,3485,,,,,無權限,no_data,
1518.T,2296,,,,,無權限,no_data,
2175.T,2673,,,,,無權限,no_data,
2354.T,1352,,,,,無權限,no_data,
2492.T,713,,,,,無權限,no_data,
2737.T,3.685e+04,,,,,無權限,no_data,
2782.T,4735,,,,,無權限,no_data,
2805.T,7930,,,,,無權限,no_data,
2874.T,2164,,,,,無權限,no_data,
2914.T,6886,,,,,無權限,no_data,
2962.T,2231,,,,,無權限,no_data,
3036.T,3380,,,,,無權限,no_data,
3105.T,2436,,,,,無權限,no_data,
3132.T,4088,,,,,無權限,no_data,
3156.T,5890,,,,,無權限,no_data,
3907.T,2070,,,,,無權限,no_data,
3941.T,1538,,,,,無權限,no_data,
4021.T,8257,,,,,無權限,no_data,
4092.T,5760,,,,,無權限,no_data,
4203.T,7786,,,,,無權限,no_data,
4461.T,1.309e+04,,,,,無權限,no_data,
4471.T,6380,,,,,無權限,no_data,
4588.T,6770,,,,,無權限,no_data,
4634.T,5150,,,,,無權限,no_data,
4968.T,2280,,,,,無權限,no_data,
5076.T,2908,,,,,無權限,no_data,
5186.T,6860,,,,,無權限,no_data,
5208.T,2668,,,,,無權限,no_data,
5243.T,3135,,,,,無權限,no_data,
5301.T,2128,,,,,無權限,no_data,
5310.T,7250,,,,,無權限,no_data,
5331.T,3665,,,,,無權限,no_data,
5471.T,2434,,,,,無權限,no_data,
5702.T,1809,,,,,無權限,no_data,
5830.T,3826,,,,,無權限,no_data,
5831.T,3489,,,,,無權限,no_data,
5832.T,3652,,,,,無權限,no_data,
5844.T,4869,,,,,無權限,no_data,
5985.T,2320,,,,,無權限,no_data,
6058.T,1984,,,,,無權限,no_data,
6098.T,1.735e+04,,,,,無權限,no_data,
6178.T,2528,,,,,無權限,no_data,
6203.T,2538,,,,,無權限,no_data,
6250.T,4425,,,,,無權限,no_data,
6258.T,3790,,,,,無權限,no_data,
6302.T,5978,,,,,無權限,no_data,
6379.T,3125,,,,,無權限,no_data,
6448.T,4631,,,,,無權限,no_data,
6508.T,1.093e+04,,,,,無權限,no_data,
6627.T,1.166e+04,,,,,無權限,no_data,
6645.T,6168,,,,,無權限,no_data,
6652.T,3810,,,,,無權限,no_data,
6668.T,4160,,,,,無權限,no_data,
6724.T,3144,,,,,無權限,no_data,
6752.T,4287,,,,,無權限,no_data,
6862.T,5180,,,,,無權限,no_data,
6875.T,1.093e+04,,,,,無權限,no_data,
6890.T,9130,,,,,無權限,no_data,
6952.T,2141,,,,,無權限,no_data,
6958.T,765,,,,,無權限,no_data,
6960.T,1.207e+04,,,,,無權限,no_data,
7014.T,5070,,,,,無權限,no_data,
7167.T,1682,,,,,無權限,no_data,
7180.T,1678,,,,,無權限,no_data,
7184.T,3535,,,,,無權限,no_data,
7189.T,4964,,,,,無權限,no_data,
7272.T,1821,,,,,無權限,no_data,
7287.T,2813,,,,,無權限,no_data,
7322.T,2087,,,,,無權限,no_data,
7327.T,2664,,,,,無權限,no_data,
7337.T,2400,,,,,無權限,no_data,
7350.T,7960,,,,,無權限,no_data,
7380.T,2723,,,,,無權限,no_data,
7381.T,1331,,,,,無權限,no_data,
7384.T,5430,,,,,無權限,no_data,
7389.T,1977,,,,,無權限,no_data,
7609.T,4080,,,,,無權限,no_data,
7715.T,4030,,,,,無權限,no_data,
7806.T,8030,,,,,無權限,no_data,
7826.T,1.087e+04,,,,,無權限,no_data,
8015.T,7463,,,,,無權限,no_data,
8020.T,2318,,,,,無權限,no_data,
8022.T,4025,,,,,無權限,no_data,
8050.T,9820,,,,,無權限,no_data,
8053.T,1796,,,,,無權限,no_data,
8061.T,3075,,,,,無權限,no_data,
8078.T,1912,,,,,無權限,no_data,
8173.T,4380,,,,,無權限,no_data,
8304.T,3486,,,,,無權限,no_data,
8306.T,3620,,,,,無權限,no_data,
8308.T,2452,,,,,無權限,no_data,
8309.T,1768,,,,,無權限,no_data,
8334.T,3000,,,,,無權限,no_data,
8336.T,2875,,,,,無權限,no_data,
8337.T,2701,,,,,無權限,no_data,
8338.T,739,,,,,無權限,no_data,
8341.T,4185,,,,,無權限,no_data,
8343.T,9880,,,,,無權限,no_data,
8344.T,5380,,,,,無權限,no_data,
8345.T,2778,,,,,無權限,no_data,
8346.T,1024,,,,,無權限,no_data,
8354.T,7746,,,,,無權限,no_data,
8358.T,2824,,,,,無權限,no_data,
8359.T,2697,,,,,無權限,no_data,
8360.T,7390,,,,,無權限,no_data,
8361.T,8440,,,,,無權限,no_data,
8362.T,8080,,,,,無權限,no_data,
8366.T,2883,,,,,無權限,no_data,
8367.T,2023,,,,,無權限,no_data,
8368.T,2481,,,,,無權限,no_data,
8370.T,5310,,,,,無權限,no_data,
8377.T,8604,,,,,無權限,no_data,
8381.T,2600,,,,,無權限,no_data,
8386.T,3140,,,,,無權限,no_data,
8387.T,4440,,,,,無權限,no_data,
8388.T,1.038e+04,,,,,無權限,no_data,
8392.T,3135,,,,,無權限,no_data,
8393.T,2782,,,,,無權限,no_data,
8399.T,3325,,,,,無權限,no_data,
8411.T,8495,,,,,無權限,no_data,
8418.T,3443,,,,,無權限,no_data,
8522.T,7220,,,,,無權限,no_data,
8524.T,1322,,,,,無權限,no_data,
8541.T,3390,,,,,無權限,no_data,
8544.T,2855,,,,,無權限,no_data,
8550.T,1129,,,,,無權限,no_data,
8600.T,1183,,,,,無權限,no_data,
8601.T,1846,,,,,無權限,no_data,
8609.T,1261,,,,,無權限,no_data,
8616.T,898,,,,,無權限,no_data,
8628.T,1172,,,,,無權限,no_data,
8707.T,4740,,,,,無權限,no_data,
8714.T,1102,,,,,無權限,no_data,
8725.T,5217,,,,,無權限,no_data,
8750.T,1914,,,,,無權限,no_data,
9075.T,6340,,,,,無權限,no_data,
9104.T,7240,,,,,無權限,no_data,
9107.T,3497,,,,,無權限,no_data,
9110.T,1.051e+04,,,,,無權限,no_data,
9147.T,5662,,,,,無權限,no_data,
9304.T,2106,,,,,無權限,no_data,
9436.T,4450,,,,,無權限,no_data,
9507.T,2186,,,,,無權限,no_data,
9513.T,4205,,,,,無權限,no_data,
9678.T,5450,,,,,無權限,no_data,
9824.T,8010,,,,,無權限,no_data,
9934.T,3097,,,,,無權限,no_data,
