ticker,name,close,ret252,rs,above_200ma_pct,in40
0805.HK,新吉奧房車,9.47,7.094,99.8,1.627,1
2225.HK,今海醫療科技,5.83,4.949,99.6,0.8471,1
0622.HK,威華達控股,3.09,4.942,99.4,0.66,1
8279.HK,亞博科技控股,1.21,4.084,99.2,0.8363,1
2436.HK,凌雄科技,20.9,3.231,99,0.338,1
0992.HK,聯想集團,36.92,2.191,98.2,1.175,1
2315.HK,百奧賽圖－Ｂ,70.3,2.057,98,0.4145,1
1548.HK,金斯瑞生物科技,41.76,1.403,97.4,1.525,0
3396.HK,聯想控股,25.64,1.321,97.2,1.122,1
2359.HK,藥明康德,207.6,0.9056,95.6,0.5202,1
0400.HK,硬蛋創新,4.75,0.8199,95.2,0.3248,0
2343.HK,太平洋航運,4.095,0.7718,94.8,0.3385,1
1070.HK,ＴＣＬ電子,16.58,0.7127,94.4,0.2425,1
1308.HK,海豐國際,47.8,0.6723,94,0.4439,1
2451.HK,綠源集團控股,16.54,0.6623,93.8,0.2775,1
2099.HK,中國黃金國際,227.8,0.6552,93.6,0.2598,0
6821.HK,凱萊英,157.3,0.6424,93.4,0.5941,1
2510.HK,德翔海運,13.3,0.6224,93.2,0.5689,0
0023.HK,東亞銀行,19.23,0.6178,93,0.3533,1
2888.HK,渣打集團,240,0.5966,92.8,0.1874,1
3939.HK,萬國黃金集團,14.24,0.5767,92.6,0.1904,0
0019.HK,太古股份公司Ａ,102.8,0.5713,92.4,0.2418,1
2356.HK,大新銀行集團,14.42,0.5053,91.8,0.1962,1
0293.HK,國泰航空,14.35,0.4581,91.4,0.1541,1
2269.HK,藥明生物,52.8,0.4474,91,0.4011,1
6699.HK,時代天使,86.2,0.426,90.8,0.224,1
3988.HK,中國銀行,6,0.4193,90.6,0.2167,1
2388.HK,中銀香港,51.3,0.3969,90.4,0.1782,1
1997.HK,九龍倉置業,31.04,0.3543,89.6,0.2392,1
2218.HK,安德利果汁,21.7,0.3318,88.4,0.2659,1
1398.HK,工商銀行,7.54,0.3251,88,0.125,1
0087.HK,太古股份公司Ｂ,14.95,0.3218,87.8,0.1543,1
1919.HK,中遠海控,16.3,0.3158,87.4,0.1536,1
3759.HK,康龍化成,30.6,0.3079,87,0.41,1
0939.HK,建設銀行,9.66,0.295,86.8,0.1681,1
1112.HK,Ｈ＆Ｈ國際控股,18,0.294,86.6,0.3422,1
1038.HK,長江基建集團,65.25,0.2923,86.4,0.07742,1
0270.HK,粵海投資,8.67,0.2854,86.2,0.1598,1
3328.HK,交通銀行,8.21,0.254,85,0.1775,1
0998.HK,中信銀行,8.465,0.2308,84.6,0.1419,1
1288.HK,農業銀行,6.495,0.2208,83.2,0.1403,1
3866.HK,青島銀行,4.995,0.2036,82,0.148,1
0144.HK,招商局港口,16.78,0.1527,78.2,0.1065,1
0081.HK,中國海外宏洋集團,2.86,0.1184,76.4,0.1453,1
1801.HK,信達生物,103.4,0.05672,72.8,0.1866,1
