ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
1303.TW,227.5,227.5,2026-09-24,225.5,+0.00,一致,ok,
1326.TW,65.4,65.4,2026-09-24,65.0,+0.00,一致,ok,
1560.TW,955,955.0,2026-09-24,950.0,+0.00,一致,ok,
1709.TW,48.3,48.3,2026-09-24,45.85,+0.00,一致,ok,
1727.TW,116.5,116.5,2026-09-24,114.0,+0.00,一致,ok,
2059.TW,1.239e+04,12390.0,2026-09-24,12400.0,+0.00,一致,ok,
2302.TW,45.75,45.75,2026-09-24,45.1,+0.00,一致,ok,
2303.TW,160,160.0,2026-09-24,157.0,+0.00,一致,ok,
2305.TW,63.6,63.6,2026-09-24,63.3,+0.00,一致,ok,
2344.TW,172.5,172.5,2026-09-24,169.0,+0.00,一致,ok,
2351.TW,226,226.0,2026-09-24,224.0,+0.00,一致,ok,
2360.TW,2325,2325.0,2026-09-24,2285.0,+0.00,一致,ok,
2399.TW,47.1,47.1,2026-09-24,47.05,+0.00,一致,ok,
2408.TW,515,515.0,2026-09-24,509.0,+0.00,一致,ok,
2409.TW,34.7,34.7,2026-09-24,34.75,+0.00,一致,ok,
2426.TW,97.8,97.8,2026-09-24,97.8,+0.00,一致,ok,
2451.TW,284.5,284.5,2026-09-24,285.5,+0.00,一致,ok,
2454.TW,5185,5185.0,2026-09-24,5105.0,+0.00,一致,ok,
2455.TW,552,552.0,2026-09-24,547.0,+0.00,一致,ok,
2464.TW,195,195.0,2026-09-24,196.0,+0.00,一致,ok,
2481.TW,173,173.0,2026-09-24,173.0,+0.00,一致,ok,
2484.TW,72.9,72.9,2026-09-24,73.2,+0.00,一致,ok,
2855.TW,57.7,57.7,2026-09-24,57.4,+0.00,一致,ok,
2883.TW,39.35,39.35,2026-09-24,38.9,+0.00,一致,ok,
2887.TW,42.95,42.95,2026-09-24,42.55,+0.00,一致,ok,
3006.TW,274,274.0,2026-09-24,272.0,+0.00,一致,ok,
3008.TW,6190,6190.0,2026-09-24,6105.0,+0.00,一致,ok,
3016.TW,145.5,145.5,2026-09-24,147.5,+0.00,一致,ok,
3017.TW,3470,3470.0,2026-09-24,3460.0,+0.00,一致,ok,
3026.TW,768,768.0,2026-09-24,768.0,+0.00,一致,ok,
3037.TW,1160,1160.0,2026-09-24,1155.0,+0.00,一致,ok,
3042.TW,198,198.0,2026-09-24,196.0,+0.00,一致,ok,
3055.TW,203.5,203.5,2026-09-24,201.5,+0.00,一致,ok,
3081.TWO,2680,,,,,無合約,no_contract,
3167.TW,890,890.0,2026-09-24,889.0,+0.00,一致,ok,
3189.TW,906,906.0,2026-09-24,938.0,+0.00,一致,ok,
3221.TWO,50.1,,,,,無合約,no_contract,
3234.TWO,170,,,,,無合約,no_contract,
3260.TWO,383,,,,,無合約,no_contract,
3264.TWO,252,,,,,無合約,no_contract,
3374.TWO,472,,,,,無合約,no_contract,
3441.TWO,177.5,,,,,無合約,no_contract,
3443.TW,8385,8385.0,2026-09-24,8300.0,+0.00,一致,ok,
3450.TW,520,520.0,2026-09-24,516.0,+0.00,一致,ok,
3455.TWO,244,,,,,無合約,no_contract,
3498.TWO,199,,,,,無合約,no_contract,
3532.TW,445,445.0,2026-09-24,445.0,+0.00,一致,ok,
3605.TW,180,180.0,2026-09-24,179.5,+0.00,一致,ok,
3624.TWO,134,,,,,無合約,no_contract,
3653.TW,6410,6410.0,2026-09-24,6560.0,+0.00,一致,ok,
3693.TWO,732,,,,,無合約,no_contract,
3711.TW,693,693.0,2026-09-24,685.0,+0.00,一致,ok,
4939.TWO,74.7,,,,,無合約,no_contract,
4967.TW,272,272.0,2026-09-24,271.0,+0.00,一致,ok,
4979.TWO,590,,,,,無合約,no_contract,
5274.TWO,2.028e+04,,,,,無合約,no_contract,
5351.TWO,109.5,,,,,無合約,no_contract,
5864.TWO,37.1,,,,,無合約,no_contract,
6141.TW,51.8,51.8,2026-09-24,51.7,+0.00,一致,ok,
6173.TWO,302.5,,,,,無合約,no_contract,
6187.TWO,1205,,,,,無合約,no_contract,
6213.TW,541,541.0,2026-09-24,595.0,+0.00,一致,ok,
6226.TW,42.7,42.7,2026-09-24,42.95,+0.00,一致,ok,
6239.TW,286.5,286.5,2026-09-24,285.5,+0.00,一致,ok,
6257.TW,247,247.0,2026-09-24,246.0,+0.00,一致,ok,
6274.TWO,1460,,,,,無合約,no_contract,
6426.TW,391.5,391.5,2026-09-24,412.0,+0.00,一致,ok,
6505.TW,87.3,87.3,2026-09-24,88.0,+0.00,一致,ok,
6531.TW,987,987.0,2026-09-24,990.0,+0.00,一致,ok,
6538.TWO,410.5,,,,,無合約,no_contract,
6672.TW,307,307.0,2026-09-24,315.0,+0.00,一致,ok,
6770.TW,73.1,73.1,2026-09-24,72.0,+0.00,一致,ok,
6805.TW,2600,2600.0,2026-09-24,2570.0,+0.00,一致,ok,
6834.TW,113.5,113.5,2026-09-24,112.0,+0.00,一致,ok,
7828.TWO,1970,,,,,無合約,no_contract,
8021.TW,478,478.0,2026-09-24,480.5,+0.00,一致,ok,
8046.TW,1210,1210.0,2026-09-24,1210.0,+0.00,一致,ok,
8064.TWO,133,,,,,無合約,no_contract,
8150.TW,107,107.0,2026-09-24,106.0,+0.00,一致,ok,
8996.TW,1540,1540.0,2026-09-24,1555.0,+0.00,一致,ok,
