ticker,name,close,ret252,rs,above_200ma_pct,in40
2408.TW,,515,8.497,99.8,0.5823,1
3026.TW,,768,8.083,99.6,0.9308,1
3189.TW,,906,7.562,99.4,0.7838,1
3037.TW,,1160,7.215,99.2,0.6962,1
6173.TWO,,302.5,6.584,99,1.034,1
2344.TW,,172.5,5.95,98.8,0.3195,0
8046.TW,,1210,5.554,98.4,0.611,1
3081.TWO,,2680,5.204,98.2,0.5191,0
3443.TW,,8385,5.082,98,1.196,0
1303.TW,,227.5,4.984,97.8,0.8997,0
6226.TW,,42.7,4.89,97.6,1.723,0
2426.TW,,97.8,4.627,97.2,0.8856,1
2305.TW,,63.6,4.604,97,1.854,1
3532.TW,,445,4.367,96.6,0.8285,1
6426.TW,,391.5,4.258,96.2,1.111,0
3441.TWO,,177.5,4.152,95.8,1.901,1
6538.TWO,,410.5,4.032,95.4,2.454,0
8021.TW,,478,3.999,95.2,0.3805,0
6213.TW,,541,3.623,94.2,1.086,0
3167.TW,,890,3.622,94,0.5994,0
5274.TWO,,2.028e+04,3.602,93.8,0.619,0
8996.TW,,1540,3.534,93.2,0.5436,1
3006.TW,,274,3.52,93,0.4284,0
6274.TWO,,1460,3.514,92.8,0.4233,1
3234.TWO,,170,3.503,92.6,0.6576,1
6770.TW,,73.1,3.392,92.4,0.183,0
7828.TWO,,1970,3.253,92.2,0.5036,0
3711.TW,,693,3.138,92,0.4916,0
2360.TW,,2325,3.043,91.6,0.3577,0
6141.TW,,51.8,3.031,91.4,0.816,1
4967.TW,,272,2.986,90.8,0.1902,0
8150.TW,,107,2.962,90.4,0.4163,1
2303.TW,,160,2.945,90.2,0.6698,0
6834.TW,,113.5,2.943,90,0.8478,0
3498.TWO,,199,2.727,88.8,0.9489,0
3624.TWO,,134,2.579,88,0.6987,0
2455.TW,,552,2.574,87.8,0.8283,0
2454.TW,,5185,2.569,87.6,0.8105,0
2059.TW,,1.239e+04,2.568,87.4,1.008,0
3017.TW,,3470,2.565,87.2,0.5513,0
3260.TWO,,383,2.544,87,0.1187,1
3055.TW,,203.5,2.532,86.8,1.113,0
3016.TW,,145.5,2.445,85.8,0.6926,0
4939.TWO,,74.7,2.435,85.4,0.5196,1
2484.TW,,72.9,2.422,85.2,0.5464,1
3374.TWO,,472,2.363,84.8,0.9461,1
6187.TWO,,1205,2.246,84.4,0.386,0
5351.TWO,,109.5,2.24,84,0.4081,1
1727.TW,,116.5,2.129,83.6,0.6953,1
3693.TWO,,732,2.082,82.8,0.5204,1
8064.TWO,,133,2.069,82.6,0.4651,0
6531.TW,,987,2.044,82.2,0.3839,1
1709.TW,,48.3,2.016,81.8,1.257,1
5864.TWO,,37.1,1.946,81.4,0.3571,0
3264.TWO,,252,1.944,81.2,0.3855,0
4979.TWO,,590,1.893,80.8,0.3113,1
1560.TW,,955,1.874,80.2,0.6792,0
2302.TW,,45.75,1.863,80,0.5742,1
6257.TW,,247,1.826,79.4,0.4166,0
2409.TW,,34.7,1.813,79.2,0.7092,0
2351.TW,,226,1.802,78.8,0.5608,1
6672.TW,,307,1.728,78.2,0.6898,0
2451.TW,,284.5,1.707,78,0.1265,1
3008.TW,,6190,1.704,77.8,0.7826,1
2855.TW,,57.7,1.685,77.4,0.5346,0
2883.TW,,39.35,1.67,77,0.6476,1
3221.TWO,,50.1,1.636,76.4,0.2334,1
3450.TW,,520,1.605,76,0.3461,1
2887.TW,,42.95,1.582,75.6,0.5687,1
3653.TW,,6410,1.575,75.4,0.7002,1
2464.TW,,195,1.546,75,0.6471,0
6805.TW,,2600,1.505,74.2,0.5091,1
2399.TW,,47.1,1.492,74,0.2753,1
2481.TW,,173,1.447,73.4,0.4313,1
3455.TWO,,244,1.322,72.4,0.3487,1
1326.TW,,65.4,1.305,71.4,0.3254,0
6239.TW,,286.5,1.3,71.2,0.1618,0
3042.TW,,198,1.293,71,0.4147,0
3605.TW,,180,1.246,70.4,1.249,1
6505.TW,,87.3,1.235,70.2,0.4966,1
