ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
000500.KS,3.185e+05,,,,,無合約,no_contract,
001450.KS,4.755e+04,,,,,未抓,missing,
001820.KS,1.469e+05,,,,,未抓,missing,
002990.KS,1.301e+04,,,,,未抓,missing,
005930.KS,2.855e+05,,,,,未抓,missing,
006360.KS,3.46e+04,,,,,未抓,missing,
007340.KS,4.79e+04,,,,,未抓,missing,
010950.KS,1.556e+05,,,,,未抓,missing,
011560.KQ,2.43e+04,,,,,未抓,missing,
028050.KS,4.935e+04,,,,,未抓,missing,
029460.KS,4.335e+04,,,,,未抓,missing,
031980.KQ,1.632e+05,,,,,未抓,missing,
032580.KQ,7020,,,,,未抓,missing,
036930.KQ,2.095e+05,,,,,未抓,missing,
055550.KS,1.093e+05,,,,,未抓,missing,
064290.KQ,5.48e+04,,,,,未抓,missing,
067290.KQ,3140,,,,,未抓,missing,
078930.KS,1.107e+05,,,,,未抓,missing,
079650.KQ,6240,,,,,未抓,missing,
086790.KS,1.331e+05,,,,,未抓,missing,
088350.KS,5640,,,,,未抓,missing,
089860.KS,4.965e+04,,,,,未抓,missing,
098120.KQ,5.8e+04,,,,,未抓,missing,
119850.KQ,5.61e+04,,,,,未抓,missing,
122640.KQ,3.2e+04,,,,,未抓,missing,
131290.KQ,2.89e+05,,,,,未抓,missing,
144960.KQ,1.279e+04,,,,,未抓,missing,
159010.KQ,2.98e+04,,,,,未抓,missing,
161890.KS,1.47e+05,,,,,未抓,missing,
219130.KQ,8.08e+04,,,,,未抓,missing,
222800.KQ,1.495e+05,,,,,未抓,missing,
241710.KQ,1.273e+05,,,,,未抓,missing,
252990.KQ,1.793e+04,,,,,未抓,missing,
317400.KS,9780,,,,,未抓,missing,
417840.KQ,1.708e+04,,,,,未抓,missing,
446540.KQ,1.09e+04,,,,,未抓,missing,
