ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
0019.HK,102.8,102.8,2026-09-24,102.8,+0.00,一致,ok,
0023.HK,19.23,19.23,2026-09-24,19.18,+0.00,一致,ok,
0081.HK,2.86,2.86,2026-09-24,2.815,+0.00,一致,ok,
0087.HK,14.95,14.95,2026-09-24,14.99,+0.00,一致,ok,
0144.HK,16.78,16.78,2026-09-24,16.49,+0.00,一致,ok,
0270.HK,8.67,8.67,2026-09-24,8.67,+0.00,一致,ok,
0293.HK,14.35,14.35,2026-09-24,14.12,+0.00,一致,ok,
0400.HK,4.75,4.75,2026-09-24,4.75,+0.00,一致,ok,
0622.HK,3.09,3.09,2026-09-24,3.105,+0.00,一致,ok,
0805.HK,9.47,9.47,2026-09-24,9.48,+0.00,一致,ok,
0939.HK,9.66,9.66,2026-09-24,9.6,+0.00,一致,ok,
0992.HK,36.92,36.92,2026-09-24,36.4,+0.00,一致,ok,
0998.HK,8.465,8.465,2026-09-24,8.465,+0.00,一致,ok,
1038.HK,65.25,65.26,2026-09-24,65.6,-0.02,一致,ok,
1070.HK,16.58,16.58,2026-09-24,16.75,+0.00,一致,ok,
1112.HK,18,18.0,2026-09-24,17.5,+0.00,一致,ok,
1288.HK,6.495,6.495,2026-09-24,6.445,+0.00,一致,ok,
1308.HK,47.8,47.8,2026-09-24,49.0,+0.00,一致,ok,
1398.HK,7.54,7.54,2026-09-24,7.51,+0.00,一致,ok,
1548.HK,41.76,41.76,2026-09-24,41.5,+0.00,一致,ok,
1801.HK,103.4,103.4,2026-09-24,102.6,+0.00,一致,ok,
1919.HK,16.3,16.3,2026-09-24,16.3,+0.00,一致,ok,
1997.HK,31.04,31.04,2026-09-24,30.6,+0.00,一致,ok,
2099.HK,227.8,227.8,2026-09-24,226.2,+0.00,一致,ok,
2218.HK,21.7,21.7,2026-09-24,21.74,+0.00,一致,ok,
2225.HK,5.83,5.83,2026-09-24,5.715,+0.00,一致,ok,
2269.HK,52.8,52.8,2026-09-24,52.4,+0.00,一致,ok,
2315.HK,70.3,70.3,2026-09-24,71.16,+0.00,一致,ok,
2343.HK,4.095,4.095,2026-09-24,4.095,+0.00,一致,ok,
2356.HK,14.42,14.42,2026-09-24,14.4,+0.00,一致,ok,
2359.HK,207.6,207.6,2026-09-24,207.0,+0.00,一致,ok,
2388.HK,51.3,51.3,2026-09-24,51.26,+0.00,一致,ok,
2436.HK,20.9,20.9,2026-09-24,20.9,+0.00,一致,ok,
2451.HK,16.54,16.54,2026-09-24,16.19,+0.00,一致,ok,
2510.HK,13.3,13.3,2026-09-24,13.31,+0.00,一致,ok,
2888.HK,240,240.0,2026-09-24,237.4,+0.00,一致,ok,
3328.HK,8.21,8.21,2026-09-24,8.21,+0.00,一致,ok,
3396.HK,25.64,25.64,2026-09-24,25.68,+0.00,一致,ok,
3759.HK,30.6,30.6,2026-09-24,30.52,+0.00,一致,ok,
3866.HK,4.995,4.995,2026-09-24,4.985,+0.00,一致,ok,
3939.HK,14.24,14.24,2026-09-24,13.9,+0.00,一致,ok,
3988.HK,6,6.0,2026-09-24,5.96,+0.00,一致,ok,
6699.HK,86.2,86.2,2026-09-24,86.9,+0.00,一致,ok,
6821.HK,157.3,157.3,2026-09-24,154.0,+0.00,一致,ok,
8279.HK,1.21,1.21,2026-09-24,1.21,+0.00,一致,ok,
