ticker,name,close,ret252,rs,above_200ma_pct,in40
ALD.AX,,44.07,0.5489,84.6,0.3383,1
ALK.AX,,1.995,0.8412,90,0.299,1
ALR.AX,,0.047,1.938,95.6,0.4321,1
AMI.AX,,0.515,1.11,91.8,0.6837,1
AMP.AX,,2.62,0.6231,86.6,0.529,0
AVH.AX,,3.18,0.9752,91,1.183,1
BCI.AX,,0.595,0.4512,81,0.4422,1
BCM.AX,,0.069,1.226,92.4,0.7139,1
BHP.AX,,62.07,0.551,84.8,0.1344,1
BNZ.AX,,5.31,2.096,96.6,1.002,0
BVS.AX,,3.14,0.3554,76.4,0.3795,1
CBE.AX,,0.395,4.985,99,0.671,1
CCL.AX,,6.07,0.5928,85.8,0.3187,0
CDA.AX,,53.1,0.8153,89.2,0.37,0
CGF.AX,,10.34,0.2631,71.8,0.1407,1
CGS.AX,,3.3,0.5407,84.2,0.3312,1
CNB.AX,,0.945,1.739,94.4,0.5829,0
CUP.AX,,1.46,0.4859,82.2,0.3096,1
CXO.AX,,0.42,2.818,97.4,0.471,1
DBI.AX,,5.47,0.3213,75.6,0.06068,1
DDR.AX,,15.3,0.6107,86.4,0.4341,1
EQR.AX,,0.475,14.32,100,0.8231,1
FPR.AX,,4.66,0.8047,89,0.5833,1
GNG.AX,,7.7,1.105,91.6,0.56,1
IAA.AX,,205.1,0.4857,82,0.1665,1
IKO.AX,,265.7,1.232,92.6,0.2162,0
KRR.AX,,0.083,4.188,98.4,1.077,1
LSF.AX,,4.84,0.4903,82.8,0.1291,1
LYL.AX,,22.95,0.9942,91.2,0.4553,1
MAH.AX,,1.085,1.624,94.2,0.3348,1
MGH.AX,,6.43,0.5214,83.6,0.2627,1
MI6.AX,,0.945,3.395,97.8,0.4005,1
MLX.AX,,2.13,1.84,95.4,0.4622,0
MM1.AX,,1.28,1.943,95.8,0.4372,1
MND.AX,,31.73,0.4841,81.8,0.1109,0
MSV.AX,,0.545,1.185,92,0.2222,1
MYE.AX,,0.775,4.962,98.8,1.685,1
NHC.AX,,5.85,0.5409,84.4,0.181,0
NWH.AX,,8.12,0.801,88.8,0.2596,1
OZR.AX,,18.25,0.4052,79.4,0.07382,0
PYC.AX,,2.84,1.826,95,0.7692,1
RHC.AX,,55.41,0.7618,88.4,0.3696,1
S32.AX,,4.91,0.897,90.4,0.1404,1
SFR.AX,,22.77,0.694,87.2,0.2141,1
SHA.AX,,7.16,0.4861,82.4,0.09746,0
SHN.AX,,0.038,0.9,90.6,0.1849,1
SKS.AX,,10.24,1.786,94.6,0.6001,0
SLS.AX,,2.64,6.135,99.6,0.8843,1
SMR.AX,,2.7,0.3728,77.6,0.04287,0
SNX.AX,,0.11,1.391,93.6,0.7087,1
SPL.AX,,0.815,2.543,97.2,0.3831,1
SRG.AX,,4.02,1.085,91.4,0.2625,1
SRL.AX,,21.65,3.898,98.2,0.7059,0
SRZ.AX,,0.39,0.3929,77.8,0.1308,1
STO.AX,,8.4,0.2679,72.4,0.1521,0
SXE.AX,,4.91,1.48,93.8,0.3793,0
