ticker,name,close,ret252,rs,above_200ma_pct,in40
4588.T,,6770,9.464,99.9,1.617,0
2962.T,,2231,7.263,99.8,1.204,1
6862.T,,5180,5.343,99.5,1.231,0
2737.T,,3.685e+04,5.075,99.3,1.201,1
278A.T,,1.974e+04,3.421,98.8,1.56,1
8362.T,,8080,3.173,98.7,0.8496,0
7826.T,,1.087e+04,3.079,98.6,0.5902,0
8344.T,,5380,2.482,98.2,0.7998,0
7389.T,,1977,2.333,97.9,0.424,1
8392.T,,3135,2.305,97.8,0.4894,1
8393.T,,2782,2.28,97.6,0.4398,0
7384.T,,5430,2.278,97.5,0.6107,0
6668.T,,4160,2.221,97.2,0.6239,1
8387.T,,4440,2.19,97,0.6846,0
319A.T,,1.93e+04,2.133,96.8,0.335,1
8388.T,,1.038e+04,2.084,96.6,0.5764,0
8345.T,,2778,2.077,96.5,0.4994,0
8368.T,,2481,1.966,96.2,0.4264,0
8050.T,,9820,1.941,96.1,0.5086,0
8343.T,,9880,1.936,95.9,0.6567,0
7184.T,,3535,1.902,95.8,0.3921,0
8541.T,,3390,1.857,95.7,0.6692,0
6752.T,,4287,1.837,95.6,0.3403,0
8361.T,,8440,1.747,95.2,0.2682,0
5985.T,,2320,1.742,95.1,0.539,0
8386.T,,3140,1.611,94.7,0.3273,1
7380.T,,2723,1.568,94.3,0.3528,0
8399.T,,3325,1.555,94.1,0.3444,0
6627.T,,1.166e+04,1.552,94,0.2198,0
8346.T,,1024,1.537,93.9,0.4029,1
6890.T,,9130,1.515,93.7,0.2516,0
5243.T,,3135,1.51,93.5,0.4052,0
8338.T,,739,1.492,93.4,0.2329,0
8360.T,,7390,1.461,93.3,0.3161,0
7322.T,,2087,1.445,93.1,0.3172,1
8550.T,,1129,1.421,93,0.2194,0
8544.T,,2855,1.402,92.7,0.2704,1
2805.T,,7930,1.365,92.4,0.5483,0
8377.T,,8604,1.359,92.2,0.3578,0
3156.T,,5890,1.352,92.1,0.6707,0
8336.T,,2875,1.312,91.6,0.2782,0
8341.T,,4185,1.29,91.3,0.3177,0
4461.T,,1.309e+04,1.267,90.9,0.2708,0
7350.T,,7960,1.264,90.8,0.3205,0
6958.T,,765,1.22,90.5,0.234,0
8366.T,,2883,1.216,90.4,0.3986,0
7381.T,,1331,1.174,90.2,0.328,0
3907.T,,2070,1.152,90,1.084,0
8522.T,,7220,1.143,89.9,0.2591,0
8367.T,,2023,1.131,89.6,0.2898,0
6258.T,,3790,1.123,89.5,0.3248,0
3105.T,,2436,1.121,89.4,0.2982,0
5301.T,,2128,1.102,89.2,0.5909,0
4092.T,,5760,1.093,89,0.4557,1
7189.T,,4964,1.081,88.9,0.2378,0
9110.T,,1.051e+04,1.074,88.7,0.3842,0
4968.T,,2280,1.068,88.6,0.4312,1
2354.T,,1352,1.058,88.5,0.4458,0
6098.T,,1.735e+04,1.058,88.4,0.7266,0
7609.T,,4080,1.053,88.1,0.2894,0
3132.T,,4088,1.05,88,0.4199,1
7327.T,,2664,1.048,87.9,0.3046,1
5076.T,,2908,1.04,87.6,0.2065,1
2492.T,,713,1.037,87.5,0.5724,0
1515.T,,3485,1.034,87.4,0.2298,0
8418.T,,3443,0.9985,87.2,0.2827,0
8381.T,,2600,0.9844,86.9,0.3198,0
8334.T,,3000,0.972,86.6,0.3431,0
7715.T,,4030,0.9704,86.5,0.2387,0
7180.T,,1678,0.9661,86.4,0.2765,1
8609.T,,1261,0.958,86.2,0.366,0
9304.T,,2106,0.9543,85.9,0.4003,0
8359.T,,2697,0.9353,85.6,0.2363,1
5830.T,,3826,0.9335,85.5,0.2118,0
6508.T,,1.093e+04,0.9288,85.3,0.2977,0
8358.T,,2824,0.9207,85.2,0.2585,1
8015.T,,7463,0.9082,85,0.1769,0
7167.T,,1682,0.9062,84.8,0.2623,0
5471.T,,2434,0.8947,84.7,0.1708,0
6203.T,,2538,0.8922,84.6,0.6676,0
8524.T,,1322,0.8916,84.5,0.2848,0
9824.T,,8010,0.8889,84.3,0.2795,0
8600.T,,1183,0.8782,84.2,0.3034,0
8370.T,,5310,0.8765,84.1,0.2767,0
8707.T,,4740,0.8722,84,0.2543,1
7806.T,,8030,0.8702,83.8,0.2571,1
6250.T,,4425,0.868,83.7,0.2233,0
5310.T,,7250,0.8673,83.6,0.1574,0
5831.T,,3489,0.8593,83.2,0.2028,0
6875.T,,1.093e+04,0.8589,83.1,0.1441,0
6448.T,,4631,0.8369,82.6,0.3181,0
1518.T,,2296,0.8254,82.5,0.4451,0
2874.T,,2164,0.8234,82.4,0.2326,0
6302.T,,5978,0.8101,82.3,0.1674,0
8354.T,,7746,0.7983,82.2,0.1949,1
8411.T,,8495,0.794,81.9,0.1903,1
5832.T,,3652,0.7889,81.7,0.2192,1
8714.T,,1102,0.7785,81,0.1904,0
9436.T,,4450,0.7702,80.8,0.2822,1
6960.T,,1.207e+04,0.7625,80.7,0.1956,0
6058.T,,1984,0.7617,80.6,0.3468,0
7337.T,,2400,0.7607,80.5,0.2319,0
8173.T,,4380,0.758,80.4,0.3622,0
5844.T,,4869,0.7531,79.9,0.1616,1
9075.T,,6340,0.7451,79.7,0.1524,0
5186.T,,6860,0.745,79.6,0.3162,0
8337.T,,2701,0.74,79.4,0.2066,0
6952.T,,2141,0.7315,79.2,0.2708,1
8309.T,,1768,0.731,79.1,0.2516,1
9147.T,,5662,0.7156,78.8,0.3019,0
6379.T,,3125,0.7098,78.5,0.2675,0
8053.T,,1796,0.7081,78.4,0.1435,0
2175.T,,2673,0.6978,78.2,0.4213,1
5208.T,,2668,0.6953,78.1,0.1701,0
6178.T,,2528,0.6919,77.8,0.2501,0
8308.T,,2452,0.6893,77.7,0.2277,0
3941.T,,1538,0.6763,77.2,0.1272,1
4634.T,,5150,0.6742,77,0.2637,1
7272.T,,1821,0.6736,76.9,0.4162,0
8601.T,,1846,0.6621,76.5,0.1749,0
6724.T,,3144,0.6584,76.3,0.2968,0
8306.T,,3620,0.6504,76,0.1983,1
9507.T,,2186,0.6399,75.7,0.3324,0
