ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
ALS.TO,68.17,,,,,無權限,no_data,
AMD.TO,110.9,,,,,無權限,no_data,
ARE.TO,53.4,,,,,無權限,no_data,
ARG.TO,8.73,,,,,無權限,no_data,
AYA.TO,39.72,,,,,無權限,no_data,
BDGI.TO,91.19,,,,,無權限,no_data,
BDI.TO,19.06,,,,,無權限,no_data,
BDT.TO,81.78,,,,,無權限,no_data,
BNS.TO,130.1,,,,,無權限,no_data,
BTE.TO,6.44,,,,,無權限,no_data,
CAS.TO,17.72,,,,,無權限,no_data,
CEU.TO,18.55,,,,,無權限,no_data,
CG.TO,31.87,,,,,無權限,no_data,
CGG.TO,40.8,,,,,無權限,no_data,
CGY.TO,85.49,,,,,無權限,no_data,
CJ.TO,11.97,,,,,無權限,no_data,
CNQ.TO,67.12,,,,,無權限,no_data,
CURA.TO,16.8,,,,,無權限,no_data,
CVE.TO,43.77,,,,,無權限,no_data,
DPM.TO,63.28,,,,,無權限,no_data,
DSV.TO,12.36,,,,,無權限,no_data,
ERO.TO,51.46,,,,,無權限,no_data,
FF.TO,0.84,,,,,無權限,no_data,
FM.TO,45.17,,,,,無權限,no_data,
FTT.TO,105,,,,,無權限,no_data,
GGD.TO,4.35,,,,,無權限,no_data,
GMIN.TO,51.26,,,,,無權限,no_data,
GWO.TO,92.82,,,,,無權限,no_data,
HBM.TO,37.79,,,,,無權限,no_data,
HOU.TO,25.33,,,,,無權限,no_data,
HUT.TO,144.5,,,,,無權限,no_data,
IPO.TO,16.62,,,,,無權限,no_data,
JOY.TO,5.29,,,,,無權限,no_data,
KEL.TO,10.53,,,,,無權限,no_data,
KNT.TO,29.26,,,,,無權限,no_data,
LGD.TO,2.18,,,,,無權限,no_data,
MATR.TO,21.22,,,,,無權限,no_data,
MAU.TO,19.93,,,,,無權限,no_data,
MTL.TO,26.57,,,,,無權限,no_data,
MX.TO,83.55,,,,,無權限,no_data,
NRGU.TO,66.25,,,,,無權限,no_data,
NUAG.TO,9.21,,,,,無權限,no_data,
OBE.TO,15.81,,,,,無權限,no_data,
OM.TO,1.77,,,,,無權限,no_data,
ORE.TO,3.23,,,,,無權限,no_data,
POW.TO,93.05,,,,,無權限,no_data,
PXT.TO,26.88,,,,,無權限,no_data,
RUS.TO,83.2,,,,,無權限,no_data,
SEA.TO,44.04,,,,,無權限,no_data,
SGY.TO,11.41,,,,,無權限,no_data,
SKE.TO,44.4,,,,,無權限,no_data,
SOIL.TO,6.75,,,,,無權限,no_data,
SSRM.TO,51.15,,,,,無權限,no_data,
SU.TO,95.76,,,,,無權限,no_data,
SXGC.TO,12.73,,,,,無權限,no_data,
TIH.TO,225.4,,,,,無權限,no_data,
TKO.TO,12.73,,,,,無權限,no_data,
TNZ.TO,67.28,,,,,無權限,no_data,
TOT.TO,36.3,,,,,無權限,no_data,
TSAT.TO,66.24,,,,,無權限,no_data,
TWM.TO,24.84,,,,,無權限,no_data,
VET.TO,16.48,,,,,無權限,no_data,
VLE.TO,15.04,,,,,無權限,no_data,
WCP.TO,18.26,,,,,無權限,no_data,
WDO.TO,35.6,,,,,無權限,no_data,
WJX.TO,33.94,,,,,無權限,no_data,
WTE.TO,42,,,,,無權限,no_data,
XBM.TO,36.62,,,,,無權限,no_data,
XCHP.TO,138.5,,,,,無權限,no_data,
XEG.TO,28.21,,,,,無權限,no_data,
