,ret
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.0
2003-11-30,0.0
2003-12-31,0.0
2004-01-31,0.0
2004-02-29,0.0
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.008330389903249299
2004-10-31,-0.012191640384378546
2004-11-30,0.013253211808556155
2004-12-31,-0.0008758880851164063
2005-01-31,-0.016045714206666242
2005-02-28,-0.000555979552170367
2005-03-31,0.012711042367242398
2005-04-30,-0.019817978331554915
2005-05-31,0.015380754662404527
2005-06-30,0.020338247767505233
2005-07-31,0.0008606154414370301
2005-08-31,-0.0032133986793312997
2005-09-30,0.03051531214732322
2005-10-31,-0.0006670054387092682
2005-11-30,0.01541612677595455
2005-12-31,-0.009962818995374111
2006-01-31,0.01119824162441053
2006-02-28,-0.0002910744963002288
2006-03-31,-0.024465112789430508
2006-04-30,0.009122893432927789
2006-05-31,-0.0038374273264044235
2006-06-30,-0.0005739929054650809
2006-07-31,-0.010147382027478452
2006-08-31,0.023026115810264758
2006-09-30,0.00585510266013932
2006-10-31,-0.019098352257499715
2006-11-30,-0.00015758044378383611
2006-12-31,-0.007379339125910547
2007-01-31,0.0023864502053538186
2007-02-28,-0.001971028096908627
2007-03-31,-0.011420370148693182
2007-04-30,0.002006226960378882
2007-05-31,-0.004828739991639581
2007-06-30,0.02908639741123382
2007-07-31,-0.014825537864553307
2007-08-31,-0.048260223615160074
2007-09-30,0.02263074684365876
2007-10-31,0.014946448969069596
2007-11-30,-0.024418136638807812
2007-12-31,-0.009188470564133942
2008-01-31,-0.010694335786230271
2008-02-29,0.01783758708161105
2008-03-31,0.0029532776130650343
2008-04-30,-0.03712300416005662
2008-05-31,-0.021335365985645564
2008-06-30,0.011685667652622921
2008-07-31,-0.002300693699813545
2008-08-31,-0.010701354067807737
2008-09-30,0.008414463792609756
2008-10-31,0.0914719449634773
2008-11-30,0.001432478653747609
2008-12-31,-0.021352181179573767
2009-01-31,-0.014995257267182165
2009-02-28,-0.008035026165495394
2009-03-31,0.04616275839773653
2009-04-30,0.013683588246316936
2009-05-31,0.014969979994267064
2009-06-30,0.03171643896707172
2009-07-31,-0.027918135956338703
2009-08-31,0.008763761759867029
2009-09-30,0.0270898981510967
2009-10-31,0.0036047516190772446
2009-11-30,-0.02087135128877693
2009-12-31,0.022302850898968087
2010-01-31,0.00582783765158068
2010-02-28,-0.007899837839666433
2010-03-31,-0.024110835155247028
2010-04-30,0.023712641524244737
2010-05-31,-0.009845415307838893
2010-06-30,-0.002302420284059213
2010-07-31,0.015007846429591735
2010-08-31,-0.010763001334682113
2010-09-30,0.003099588803170957
2010-10-31,0.013421384769782503
2010-11-30,0.0028472429987077942
2010-12-31,-0.004914501719692197
2011-01-31,0.0011729528338662342
2011-02-28,-0.004845682513356656
2011-03-31,0.0038950811785865803
2011-04-30,0.01934266492882325
2011-05-31,-0.008262916948457448
2011-06-30,-0.00475121986544822
2011-07-31,-0.020182295104068177
2011-08-31,0.0054825835961467085
2011-09-30,-0.03772754594672472
2011-10-31,0.039036398044115385
2011-11-30,-0.010836022464850856
2011-12-31,-0.008084242143110243
2012-01-31,0.022875480862419535
2012-02-29,0.022662357776588687
2012-03-31,-0.008429851826065494
2012-04-30,-0.005577329127525602
2012-05-31,0.0011458206617726437
2012-06-30,0.024512557608355225
2012-07-31,0.02297592671870139
2012-08-31,-0.017702770876557715
2012-09-30,0.00033376585877069884
2012-10-31,-0.0006073067608044725
2012-11-30,0.0072444561660538545
2012-12-31,0.015652982891026075
2013-01-31,9.002773454807895e-05
2013-02-28,-0.017994883130729573
2013-03-31,0.001760527829091457
2013-04-30,0.004964526503931765
2013-05-31,-0.028893610811240478
2013-06-30,0.0006449683643100601
2013-07-31,0.011985234950011105
2013-08-31,-0.01562769771500545
2013-09-30,0.0065204437845016
2013-10-31,-0.007648478496703129
2013-11-30,0.025925230935509372
2013-12-31,0.020988982085465537
2014-01-31,-0.015511358723203816
2014-02-28,-0.019153442783321713
2014-03-31,-0.0076857098343652884
2014-04-30,0.0021041343932780027
2014-05-31,0.0031097699830967378
2014-06-30,0.005419366392410094
2014-07-31,-0.007492512393748783
2014-08-31,-0.004044368346089669
2014-09-30,-0.009137982940328934
2014-10-31,0.0049840117632970905
2014-11-30,0.01137264328529157
2014-12-31,0.0015434512933518963
2015-01-31,-0.07466674493396194
2015-02-28,0.026944070578477385
2015-03-31,0.003353110189938714
2015-04-30,-0.019646743994517803
2015-05-31,-0.038439336824954186
2015-06-30,-0.029515593446389
2015-07-31,-0.017542892367503945
2015-08-31,0.0008630721230891295
2015-09-30,-0.004644170396212197
2015-10-31,0.026076790257266023
2015-11-30,0.011533122048675818
2015-12-31,-0.029556233833679273
2016-01-31,-0.00526766533627559
2016-02-29,0.03315797977931756
2016-03-31,-0.003145232093855784
2016-04-30,0.016527704433126338
2016-05-31,-0.02112105126651712
2016-06-30,0.0624096894490491
2016-07-31,0.009915298706425647
2016-08-31,0.0011313211384454225
2016-09-30,0.010050133051072722
2016-10-31,0.011631304014624661
2016-11-30,-0.02760936730157135
2016-12-31,-0.013692006045654972
2017-01-31,0.012636647941039435
2017-02-28,0.006044335246263235
2017-03-31,-0.021415212824489733
2017-04-30,-0.03813780497278199
2017-05-31,-0.011669471507904802
2017-06-30,0.02173750265598446
2017-07-31,0.020305081878965264
2017-08-31,-0.013821743647834592
2017-09-30,-0.0048656276107934045
2017-10-31,0.009470636708889918
2017-11-30,-0.014527107736795074
2017-12-31,-0.00016867345579666022
2018-01-31,-0.005573048379921134
2018-02-28,-0.019609877415991562
2018-03-31,-0.007966287521983006
2018-04-30,-0.006466258172637882
2018-05-31,0.0006555595679615821
2018-06-30,-0.018179383922635215
2018-07-31,-0.001171294478261774
2018-08-31,-0.012084137277043421
2018-09-30,0.010595165086777844
2018-10-31,0.01457424035051164
2018-11-30,0.0017692376185065445
2018-12-31,-0.04204978633099473
2019-01-31,0.02807688745733587
2019-02-28,-0.0037537974416657106
2019-03-31,-0.0033623652664560863
2019-04-30,-0.001176849665639928
2019-05-31,-0.008366970638042877
2019-06-30,0.007509041341126538
2019-07-31,0.009690947178743144
2019-08-31,-0.02048443496346178
2019-09-30,0.0012295630542207801
2019-10-31,0.0055895906309907355
2019-11-30,0.011034458189225466
2019-12-31,0.01188316985889787
2020-01-31,-0.03542514451104079
2020-02-29,-0.01886546770706985
2020-03-31,-0.057287716225522624
2020-04-30,-0.004314337120735522
2020-05-31,0.00747295193384534
2020-06-30,0.00818446660308746
2020-07-31,0.0014986931772051466
2020-08-31,0.016074685266112467
2020-09-30,-0.02224305912858318
2020-10-31,-0.008156662175894043
2020-11-30,0.019302486928781948
2020-12-31,0.013046739301351935
2021-01-31,0.0028802007130675823
2021-02-28,0.023650959585386766
2021-03-31,0.01427809137710824
2021-04-30,-0.010085378774888694
2021-05-31,0.0030382086994178684
2021-06-30,-0.007652322765686414
2021-07-31,-0.014647227988367012
2021-08-31,0.0011410155298456413
2021-09-30,0.0019137334787524933
2021-10-31,0.03456987059789632
2021-11-30,-0.028863077538346632
2021-12-31,0.01311464683619075
2022-01-31,-0.01565728041397718
2022-02-28,0.01579378906896626
2022-03-31,0.047272787761838665
2022-04-30,-0.001029708199319886
2022-05-31,0.004084931453135585
2022-06-30,0.0029603830523857013
2022-07-31,0.003419099161700751
2022-08-31,0.009604112171244898
2022-09-30,-0.03455349911669442
2022-10-31,0.02101751572166964
2022-11-30,-0.014331226426029924
2022-12-31,-0.02215720936465459
2023-01-31,0.011976862115435477
2023-02-28,-0.0038644567765281643
2023-03-31,-0.023698129232177824
2023-04-30,0.011185205750775515
2023-05-31,-0.0006857835616252745
2023-06-30,0.020061469329635487
2023-07-31,-0.007982231694229087
2023-08-31,-0.002914868637020583
2023-09-30,0.014859305588298566
2023-10-31,-0.003366189546685071
2023-11-30,0.010965331485754933
2023-12-31,-0.01825860759902756
2024-01-31,0.023532032807991075
2024-02-29,0.013950422009527208
