month_end,longs,shorts,value_EUR,value_GBP,value_AUD,value_NZD,value_JPY,value_CHF,value_CAD
2003-05-30,"['CAD', 'GBP', 'JPY']","['NZD', 'EUR', 'CHF']",-0.1313,0.0718,-0.0711,-0.161,0.166,-0.1178,-0.0139
2003-06-30,"['CAD', 'GBP', 'JPY']","['EUR', 'NZD', 'AUD']",-0.2177,0.0892,-0.1522,-0.1818,0.1751,-0.0934,-0.0811
2003-07-31,"['CHF', 'GBP', 'JPY']","['NZD', 'EUR', 'AUD']",-0.1826,0.0459,-0.1479,-0.1999,0.1922,-0.0606,-0.0918
2003-08-29,"['CHF', 'GBP', 'JPY']","['NZD', 'EUR', 'AUD']",-0.1826,0.0459,-0.1479,-0.1999,0.1922,-0.0606,-0.0918
2003-09-30,"['CHF', 'GBP', 'JPY']","['NZD', 'EUR', 'AUD']",-0.1903,0.065,-0.1212,-0.267,0.1795,-0.0553,-0.0658
2003-10-31,"['CHF', 'GBP', 'JPY']","['NZD', 'EUR', 'AUD']",-0.2177,0.0509,-0.1677,-0.3133,0.1725,-0.0457,-0.0834
2003-11-28,"['CHF', 'GBP', 'JPY']","['NZD', 'EUR', 'AUD']",-0.2177,0.0509,-0.1677,-0.3133,0.1725,-0.0457,-0.0834
2003-12-31,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'EUR']",-0.2514,0.043,-0.2974,-0.3882,0.1379,-0.0465,-0.1544
2004-01-30,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'EUR']",-0.2514,0.043,-0.2974,-0.3882,0.1379,-0.0465,-0.1544
2004-02-27,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'EUR']",-0.2399,0.0355,-0.2688,-0.3224,0.1058,-0.0396,-0.137
2004-03-31,"['GBP', 'CHF', 'JPY']","['NZD', 'AUD', 'EUR']",-0.2144,-0.0311,-0.333,-0.3613,0.0712,-0.0298,-0.1137
2004-04-30,"['CHF', 'GBP', 'JPY']","['AUD', 'NZD', 'EUR']",-0.1889,-0.0142,-0.3541,-0.3395,0.0485,-0.0227,-0.1365
2004-05-31,"['CHF', 'GBP', 'JPY']","['AUD', 'NZD', 'EUR']",-0.1774,-0.0044,-0.3372,-0.3282,0.0301,-0.0285,-0.1219
2004-06-30,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'EUR']",-0.2146,0.0057,-0.2354,-0.2658,0.0776,-0.0565,-0.0842
2004-07-30,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'EUR']",-0.2146,0.0057,-0.2354,-0.2658,0.0776,-0.0565,-0.0842
2004-08-31,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'EUR']",-0.2202,-0.0043,-0.2481,-0.335,0.0465,-0.0468,-0.1098
2004-09-30,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'EUR']",-0.1838,-0.0068,-0.235,-0.3155,0.0661,-0.0301,-0.13
2004-10-29,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'EUR']",-0.1838,-0.0068,-0.235,-0.3155,0.0661,-0.0301,-0.13
2004-11-30,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'CAD']",-0.1892,0.0281,-0.2946,-0.3896,0.0605,-0.0132,-0.209
2004-12-31,"['CHF', 'GBP', 'JPY']","['NZD', 'AUD', 'CAD']",-0.2258,0.0274,-0.2872,-0.3778,0.0334,-0.0336,-0.2827
2005-01-31,"['CHF', 'JPY', 'GBP']","['NZD', 'AUD', 'EUR']",-0.2329,0.0126,-0.2638,-0.3879,0.0033,-0.0322,-0.2324
2005-02-28,"['JPY', 'CHF', 'GBP']","['NZD', 'AUD', 'CAD']",-0.215,0.0264,-0.2498,-0.3362,-0.0442,-0.0177,-0.2403
2005-03-31,"['JPY', 'CHF', 'GBP']","['NZD', 'AUD', 'EUR']",-0.2137,0.0218,-0.2751,-0.3578,-0.0308,-0.0173,-0.2129
2005-04-29,"['JPY', 'CHF', 'GBP']","['NZD', 'AUD', 'EUR']",-0.2137,0.0218,-0.2751,-0.3578,-0.0308,-0.0173,-0.2129
2005-05-31,"['CHF', 'JPY', 'GBP']","['NZD', 'AUD', 'EUR']",-0.21,0.0124,-0.2284,-0.3215,0.0066,-0.0082,-0.2044
