month_end,longs,shorts,carry_EUR,carry_GBP,carry_AUD,carry_JPY,carry_CHF,carry_CAD,mom_EUR,mom_GBP,mom_AUD,mom_JPY,mom_CHF,mom_CAD,value_EUR,value_GBP,value_AUD,value_JPY,value_CHF,value_CAD,carry_NZD,mom_NZD,value_NZD
2005-06-30,"['CAD', 'GBP', 'AUD']","['EUR', 'CHF', 'JPY']",2.1256,4.8937,5.68,0.08,0.6707,2.46,-0.0094,-0.0177,0.0897,-0.0236,-0.0266,0.0876,-0.2279,0.0478,-0.2794,0.1873,-0.0544,-0.1498,,,
2005-07-29,"['GBP', 'CAD', 'AUD']","['EUR', 'CHF', 'JPY']",2.1256,4.8937,5.68,0.08,0.6707,2.46,0.0087,-0.034,0.0787,-0.0104,-0.0055,0.0883,-0.2279,0.0478,-0.2794,0.1873,-0.0544,-0.1498,,,
2005-08-31,"['GBP', 'CAD', 'AUD']","['EUR', 'CHF', 'JPY']",2.1194,4.6579,5.65,0.09,0.6663,2.555,0.0133,0.0002,0.0687,-0.0146,0.0107,0.1045,-0.1588,0.0425,-0.2436,0.2113,-0.0029,-0.1761,,,
2005-09-30,"['CAD', 'GBP', 'AUD']","['EUR', 'CHF', 'JPY']",2.1325,4.5946,5.62,0.09,0.6759,2.68,-0.0291,-0.0261,0.0497,-0.0333,-0.0371,0.0803,-0.1991,0.0433,-0.2362,0.217,-0.0277,-0.1899,,,
2005-10-31,"['CAD', 'AUD', 'GBP']","['EUR', 'CHF', 'JPY']",2.1391,4.5969,5.62,0.09,0.6749,2.795,-0.0626,-0.0377,-0.0021,-0.0916,-0.073,0.0298,-0.2221,0.0253,-0.287,0.233,-0.0251,-0.2147,,,
2005-11-30,"['AUD', 'CAD', 'GBP']","['CHF', 'EUR', 'JPY']",2.1966,4.587,5.63,0.09,0.7222,2.98,-0.1127,-0.0939,-0.043,-0.1403,-0.1331,0.0179,-0.233,0.06,-0.3296,0.2507,-0.0252,-0.2304,,,
2005-12-30,"['AUD', 'GBP', 'CAD']","['EUR', 'CHF', 'JPY']",2.1966,4.587,5.63,0.09,0.7222,2.98,-0.1259,-0.1018,-0.0615,-0.1287,-0.1311,0.0342,-0.233,0.06,-0.3296,0.2507,-0.0252,-0.2304,,,
2006-01-31,"['AUD', 'CAD', 'GBP']","['EUR', 'CHF', 'JPY']",2.4729,4.6373,5.63,0.1,0.9331,3.35,-0.0691,-0.056,-0.0223,-0.1168,-0.0711,0.0893,-0.1691,0.0418,-0.2842,0.246,0.0056,-0.2624,,,
2006-02-28,"['AUD', 'GBP', 'CAD']","['CHF', 'EUR', 'JPY']",2.5117,4.6037,5.63,0.1036,0.9245,3.42,-0.0973,-0.086,-0.0606,-0.0968,-0.1121,0.086,-0.129,0.034,-0.2557,0.1994,0.0153,-0.2516,,,
2006-03-31,"['AUD', 'GBP', 'CAD']","['CHF', 'EUR', 'JPY']",2.6004,4.582,5.61,0.11,0.9968,3.63,-0.0655,-0.0794,-0.073,-0.0892,-0.0825,0.0356,-0.1262,0.0284,-0.2877,0.2231,0.0123,-0.27,,,
