month_end,longs,shorts,value_EUR,value_GBP,value_AUD,value_NZD,value_JPY,value_CHF,value_CAD
2003-05-30,"['JPY', 'GBP']","['CHF', 'EUR']",-0.0271,0.0745,0.0271,0.0131,0.0274,-0.0597,0.0258
2003-06-30,"['JPY', 'GBP']","['AUD', 'CHF']",-0.0408,0.0764,-0.0779,-0.0348,-0.015,-0.0565,-0.0445
2003-07-31,"['JPY', 'GBP']","['AUD', 'CAD']",-0.0408,0.078,-0.1277,-0.0611,-0.0279,-0.0405,-0.0742
2003-08-29,"['JPY', 'GBP']","['AUD', 'CAD']",-0.0408,0.078,-0.1277,-0.0611,-0.0279,-0.0405,-0.0742
2003-09-30,"['EUR', 'GBP']","['AUD', 'CAD']",-0.0005,0.0816,-0.1406,-0.0853,-0.0747,-0.0136,-0.0943
2003-10-31,"['EUR', 'GBP']","['AUD', 'CAD']",0.0275,0.0794,-0.1815,-0.0982,-0.0312,0.026,-0.1187
2003-11-28,"['EUR', 'GBP']","['AUD', 'CAD']",0.0275,0.0794,-0.1815,-0.0982,-0.0312,0.026,-0.1187
2003-12-31,"['JPY', 'GBP']","['AUD', 'CAD']",-0.0062,0.0348,-0.2019,-0.1433,0.0319,0.0165,-0.1819
2004-01-30,"['JPY', 'GBP']","['AUD', 'CAD']",-0.0062,0.0348,-0.2019,-0.1433,0.0319,0.0165,-0.1819
2004-02-27,"['GBP', 'JPY']","['AUD', 'CAD']",-0.032,0.0324,-0.2592,-0.1791,0.0493,0.0133,-0.1841
2004-03-31,"['CHF', 'JPY']","['AUD', 'NZD']",-0.0605,-0.0117,-0.2543,-0.1829,0.0618,0.0144,-0.1158
2004-04-30,"['GBP', 'JPY']","['AUD', 'NZD']",-0.0586,0.0158,-0.2232,-0.1559,0.0611,0.0147,-0.1264
2004-05-31,"['GBP', 'JPY']","['AUD', 'NZD']",-0.0585,0.0182,-0.1959,-0.1099,0.0549,-0.0023,-0.0996
2004-06-30,"['GBP', 'JPY']","['AUD', 'NZD']",-0.0781,0.0306,-0.1068,-0.0782,0.0668,-0.0243,-0.0556
2004-07-30,"['GBP', 'JPY']","['AUD', 'NZD']",-0.0781,0.0306,-0.1068,-0.0782,0.0668,-0.0243,-0.0556
2004-08-31,"['GBP', 'JPY']","['NZD', 'CAD']",-0.1005,-0.0005,-0.107,-0.1686,0.0695,-0.0392,-0.1092
2004-09-30,"['GBP', 'JPY']","['NZD', 'AUD']",-0.0861,0.0113,-0.1388,-0.2008,0.1239,-0.0196,-0.1236
2004-10-29,"['GBP', 'JPY']","['NZD', 'AUD']",-0.0861,0.0113,-0.1388,-0.2008,0.1239,-0.0196,-0.1236
2004-11-30,"['GBP', 'JPY']","['NZD', 'CAD']",-0.1085,0.0588,-0.1629,-0.2857,0.1714,-0.0271,-0.1678
2004-12-31,"['GBP', 'JPY']","['NZD', 'AUD']",-0.1502,0.0578,-0.2153,-0.2782,0.165,-0.0746,-0.2047
2005-01-31,"['GBP', 'JPY']","['NZD', 'AUD']",-0.19,0.0464,-0.1917,-0.3051,0.1871,-0.0748,-0.1811
2005-02-28,"['GBP', 'JPY']","['NZD', 'EUR']",-0.1654,0.0661,-0.1612,-0.2821,0.1572,-0.0624,-0.1608
2005-03-31,"['GBP', 'JPY']","['NZD', 'AUD']",-0.1722,0.0568,-0.2176,-0.3272,0.1452,-0.0592,-0.1391
2005-04-29,"['GBP', 'JPY']","['NZD', 'AUD']",-0.1722,0.0568,-0.2176,-0.3272,0.1452,-0.0592,-0.1391
2005-05-31,"['GBP', 'JPY']","['NZD', 'AUD']",-0.2171,0.0589,-0.2768,-0.3101,0.2026,-0.0609,-0.1558
2005-06-30,"['GBP', 'JPY']","['NZD', 'AUD']",-0.2279,0.0478,-0.2794,-0.3625,0.1873,-0.0544,-0.1498
2005-07-29,"['GBP', 'JPY']","['NZD', 'AUD']",-0.2279,0.0478,-0.2794,-0.3625,0.1873,-0.0544,-0.1498
2005-08-31,"['GBP', 'JPY']","['NZD', 'AUD']",-0.1588,0.0425,-0.2436,-0.3583,0.2113,-0.0029,-0.1761
