date,market,spot,wk_exp,wk_dte,wk_atm,wk_iv,mon_exp,mon_dte,mon_atm,mon_iv,slope
2026-09-25,N225,66364.2,20261008,13,66375,23.64,20261112,48,66375,24.93,1.29
2026-09-25,ESTX50,6302.8,20260928,3,6305,10.46,20261016,21,6300,14.65,4.19
