Date,Open,High,Low,Close
2002-11-12,120.20999908447266,120.20999908447266,120.20999908447266,120.20999908447266
2002-11-13,122.87999725341797,122.87999725341797,122.87999725341797,122.87999725341797
2002-11-14,130.2899932861328,130.2899932861328,130.2899932861328,130.2899932861328
2002-11-15,132.35000610351562,132.35000610351562,132.35000610351562,132.35000610351562
2002-11-18,129.13999938964844,129.13999938964844,129.13999938964844,129.13999938964844
2002-11-19,126.48999786376953,126.48999786376953,126.48999786376953,126.48999786376953
2002-11-20,125.87000274658203,125.87000274658203,125.87000274658203,125.87000274658203
2002-11-21,127.0199966430664,127.0199966430664,127.0199966430664,127.0199966430664
2002-11-22,126.2699966430664,126.2699966430664,126.2699966430664,126.2699966430664
2002-11-25,120.83999633789062,120.83999633789062,120.83999633789062,120.83999633789062
2002-11-26,120.80999755859375,120.80999755859375,120.80999755859375,120.80999755859375
2002-11-27,128.30999755859375,128.30999755859375,128.30999755859375,128.30999755859375
2002-11-29,127.5199966430664,127.5199966430664,127.5199966430664,127.5199966430664
2002-12-02,127.5199966430664,127.5199966430664,127.5199966430664,127.5199966430664
2002-12-03,130.63999938964844,130.63999938964844,130.63999938964844,130.63999938964844
2002-12-04,131.05999755859375,131.05999755859375,131.05999755859375,131.05999755859375
2002-12-05,130.44000244140625,130.44000244140625,130.44000244140625,130.44000244140625
2002-12-06,128.4600067138672,128.4600067138672,128.4600067138672,128.4600067138672
2002-12-09,122.95999908447266,122.95999908447266,122.95999908447266,122.95999908447266
2002-12-10,115.58999633789062,115.58999633789062,115.58999633789062,115.58999633789062
2002-12-11,118.33000183105469,118.33000183105469,118.33000183105469,118.33000183105469
2002-12-12,117.16000366210938,117.16000366210938,117.16000366210938,117.16000366210938
2002-12-13,116.20999908447266,116.20999908447266,116.20999908447266,116.20999908447266
2002-12-16,120.33000183105469,120.33000183105469,120.33000183105469,120.33000183105469
2002-12-17,119.83000183105469,119.83000183105469,119.83000183105469,119.83000183105469
2002-12-18,118.62999725341797,118.62999725341797,118.62999725341797,118.62999725341797
2002-12-19,124.06999969482422,124.06999969482422,124.06999969482422,124.06999969482422
2002-12-20,125.25,125.25,125.25,125.25
2002-12-23,124.77999877929688,124.77999877929688,124.77999877929688,124.77999877929688
2002-12-24,121.25,121.25,121.25,121.25
2002-12-26,118.61000061035156,118.61000061035156,118.61000061035156,118.61000061035156
2002-12-27,123.87000274658203,123.87000274658203,123.87000274658203,123.87000274658203
2002-12-30,123.72000122070312,123.72000122070312,123.72000122070312,123.72000122070312
2002-12-31,123.88999938964844,123.88999938964844,123.88999938964844,123.88999938964844
2003-01-02,130.8699951171875,130.8699951171875,130.8699951171875,130.8699951171875
2003-01-06,124.83000183105469,124.83000183105469,124.83000183105469,124.83000183105469
2003-01-07,117.52999877929688,117.52999877929688,117.52999877929688,117.52999877929688
2003-01-08,119.41999816894531,119.41999816894531,119.41999816894531,119.41999816894531
2003-01-09,125.08000183105469,125.08000183105469,125.08000183105469,125.08000183105469
2003-01-10,120.0199966430664,120.0199966430664,120.0199966430664,120.0199966430664
2003-01-13,119.79000091552734,119.79000091552734,119.79000091552734,119.79000091552734
2003-01-14,114.16000366210938,114.16000366210938,114.16000366210938,114.16000366210938
2003-01-15,115.3499984741211,115.3499984741211,115.3499984741211,115.3499984741211
2003-01-16,115.1500015258789,115.1500015258789,115.1500015258789,115.1500015258789
2003-01-17,116.0199966430664,116.0199966430664,116.0199966430664,116.0199966430664
2003-01-21,114.80000305175781,114.80000305175781,114.80000305175781,114.80000305175781
2003-01-22,109.94000244140625,109.94000244140625,109.94000244140625,109.94000244140625
2003-01-23,107.7300033569336,107.7300033569336,107.7300033569336,107.7300033569336
2003-01-24,109.41000366210938,109.41000366210938,109.41000366210938,109.41000366210938
2003-01-27,117.7300033569336,117.7300033569336,117.7300033569336,117.7300033569336
