Date,Shares
2024-04-03,448188000
2024-04-04,448188000
2024-04-05,448188000
2024-04-06,448188000
2024-04-09,448188000
2024-04-12,448188000
2024-04-16,448188000
2024-04-17,448188000
2024-04-19,448188000
2024-04-24,448188000
2024-04-25,448188000
2024-04-27,448188000
2024-04-30,448188000
2024-05-02,448188000
2024-05-03,448188000
2024-05-04,448188000
2024-05-08,448188000
2024-05-09,448304992
2024-05-11,448304992
2024-05-14,448304992
2024-05-16,448304992
2024-05-17,448304992
2024-05-21,448304992
2024-05-22,448304992
2024-05-23,453584992
2024-05-24,448304992
2024-05-25,448944992
2024-05-29,448304992
2024-06-06,448304992
2024-06-07,448304992
2024-06-11,448304992
2024-06-12,448304992
2024-06-13,448304992
2024-06-15,450215008
2024-06-19,448304992
2024-06-21,448304992
2024-06-22,448304992
2024-06-26,448304992
2024-06-28,448304992
2024-06-29,448304992
2024-07-03,448304992
2024-07-04,448304992
2024-07-06,448304992
2024-07-10,448304992
2024-07-11,448304992
2024-07-17,448304992
2024-07-20,448304992
2024-07-23,448304992
2024-07-24,448304992
2024-07-27,448304992
2024-08-08,448510016
2024-08-10,448510016
2024-08-13,448510016
2024-08-15,448510016
2024-08-20,448510016
2024-08-23,448510016
2024-08-24,448510016
2024-08-27,448510016
2024-08-29,448510016
2024-08-30,448510016
2024-09-06,448510016
2024-09-07,451212000
2024-09-10,448510016
2024-09-11,448510016
2024-09-12,448510016
2024-09-13,448510016
2024-09-18,448510016
2024-09-20,451692000
2024-09-21,448510016
2024-09-25,448510016
2024-09-26,448510016
2024-09-27,448510016
2024-10-02,448510016
2024-10-03,448510016
2024-10-04,448510016
2024-10-05,448510016
2024-10-09,448510016
2024-10-10,448510016
2024-10-11,448510016
2024-10-17,448510016
2024-10-18,448510016
2024-10-19,448510016
2024-10-25,449145984
2024-10-29,448510016
2024-10-30,448510016
2024-10-31,448510016
2024-11-01,466779008
2024-11-02,466779008
2024-11-05,466779008
2024-11-06,466779008
2024-11-07,467708000
2024-11-08,468912992
2024-11-09,466779008
2024-11-12,466779008
2024-11-13,466779008
2024-11-14,466779008
2024-11-16,466779008
2024-11-19,466779008
2024-11-20,466779008
2024-12-03,466779008
2024-12-04,466779008
2024-12-06,466779008
2024-12-07,466779008
2024-12-10,466779008
2024-12-12,466779008
2024-12-13,469718016
2024-12-14,466779008
2024-12-17,469476000
2024-12-18,466779008
2024-12-24,466779008
2024-12-31,466779008
2025-01-01,466779008
2025-01-03,466779008
2025-01-04,466779008
2025-01-07,477540000
2025-01-08,466779008
2025-01-11,472220000
2025-01-14,466779008
2025-01-15,466779008
2025-01-18,466779008
2025-01-22,466779008
2025-01-23,466779008
2025-01-28,466779008
2025-01-30,466779008
2025-02-04,466779008
2025-02-07,466779008
2025-02-08,466779008
2025-02-12,466779008
2025-02-13,469940000
2025-02-14,469940000
2025-02-15,469940000
2025-02-21,469940000
2025-02-22,469940000
2025-02-25,469940000
2025-02-26,469940000
2025-02-27,469940000
2025-03-04,469940000
2025-03-05,469940000
2025-03-08,469940000
2025-03-10,469940000
2025-03-12,469940000
2025-03-14,469940000
2025-03-15,469940000
2025-03-18,469940000
2025-03-19,469940000
2025-03-21,469940000
2025-03-22,474012992
2025-03-26,472668000
2025-03-27,472659008
2025-03-28,469940000
2025-03-29,469940000
2025-04-01,469940000
2025-04-02,470604992
2025-04-09,470604992
2025-04-10,470604992
2025-04-11,470604992
2025-04-12,470604992
2025-04-17,470604992
2025-04-22,485176992
2025-04-23,470604992
2025-04-25,470604992
2025-04-26,473348992
2025-04-29,470604992
2025-04-30,470604992
2025-05-06,470604992
2025-05-07,470604992
2025-05-08,470703008
2025-05-09,470703008
2025-05-10,470703008
2025-05-16,470703008
2025-05-17,470703008
2025-05-20,470703008
2025-05-21,470703008
2025-05-22,470703008
2025-05-23,470703008
2025-05-28,470703008
2025-05-29,470703008
2025-05-30,470703008
2025-05-31,470703008
2025-06-03,470703008
2025-06-04,470703008
2025-06-05,474919008
2025-06-06,471788992
2025-06-10,470703008
2025-06-11,470703008
2025-06-13,470703008
2025-06-14,475348000
2025-06-16,472616000
2025-06-17,471662016
2025-06-18,470703008
2025-06-21,470703008
2025-06-26,480062016
2025-06-27,472128992
2025-06-28,470703008
2025-07-08,478307008
2025-07-09,470703008
2025-07-10,470703008
2025-07-11,470703008
2025-07-12,470703008
2025-07-15,470703008
2025-07-17,470703008
2025-07-18,470703008
2025-07-19,470703008
2025-07-22,470703008
2025-07-24,470703008
2025-08-01,470703008
2025-08-05,470703008
2025-08-07,470855008
2025-08-08,470855008
2025-08-09,470855008
2025-08-12,470855008
2025-08-15,470855008
2025-08-19,470855008
2025-08-20,470855008
2025-08-23,470855008
2025-08-28,470855008
2025-08-29,470855008
2025-09-03,470855008
2025-09-04,470855008
2025-09-05,470855008
2025-09-06,470855008
2025-09-09,470855008
2025-09-11,470855008
2025-09-12,470855008
2025-09-16,470855008
2025-09-17,470855009
2025-09-20,470855009
2025-09-23,470855009
2025-09-24,470855009
2025-09-26,470855009
2025-10-02,472385534
2025-10-06,470855009
2025-10-07,470855009
2025-10-08,477120114
2025-10-11,470855009
2025-10-15,470855009
2025-10-16,470855009
2025-10-18,470855009
2025-10-24,473445089
2025-10-25,470855009
2025-10-27,470855009
2025-10-28,470855009
2025-10-30,470855009
2025-10-31,473232529
2025-11-01,473232529
2025-11-15,474115426
2025-11-17,473232529
2026-02-28,478533171
2026-05-06,479357787
2026-05-08,479439245
2026-08-08,479560100
