Date,Dividend,Split,DividendRaw
1995-08-30,,2,
1999-09-01,,2,
2014-05-07,0.06,,
2014-09-03,0.06,,
2014-12-01,0.06,,
2015-02-25,0.06,,
2015-05-29,0.06,,
2015-09-02,0.06,,
2015-11-30,0.06,,
2016-02-24,0.06,,
2016-05-27,0.06,,
2016-09-02,0.06,,
2016-11-28,0.06,,
2017-02-22,0.07,,
2017-05-30,0.07,,
2017-09-06,0.07,,
2017-11-28,0.07,,
2018-02-22,0.09,,
2018-05-30,0.09,,
2018-09-04,0.09,,
2018-11-27,0.09,,
2019-02-21,0.09,,
2019-05-28,0.09,,
2019-09-03,0.09,,
2019-11-26,0.09,,
2020-02-20,0.1,,
2020-05-26,0.1,,
2020-09-02,0.1,,
2020-11-24,0.1,,
2021-02-18,0.1,,
2021-05-25,0.1,,
2021-08-31,0.1,,
2021-11-23,0.1,,
2022-02-17,0.11,,
2022-05-24,0.11,,
2022-08-30,0.11,,
2022-11-25,0.11,,
2023-02-16,0.11,,
2023-05-23,0.11,,
2023-08-31,0.11,,
2023-11-24,0.11,,
2024-02-15,0.12,,
2024-05-21,0.12,,
2024-09-05,0.12,,
2024-11-25,0.12,,
2025-02-14,0.12,,
2025-05-22,0.12,,
2025-09-05,0.12,,
2025-11-24,0.12,,
2026-02-13,0.13,,
2026-05-21,0.13,,
2026-09-04,0.13,,
