ticker,start,end
AAPL,2015-03-19,
AIG,2004-04-08,2008-09-22
AMGN,2020-08-31,
AMZN,2024-02-26,
AXP,1987-03-12,
BA,1987-03-12,
BAC,2008-02-19,2013-09-23
BS,1987-03-12,1997-03-17
C,1987-03-12,1991-05-06
C,1997-03-17,2009-06-08
CAT,1991-05-06,
CRM,2020-08-31,
CSCO,2009-06-08,
CVX,1987-03-12,1999-11-01
CVX,2008-02-19,
DD,1987-03-12,2019-04-02
DIS,1991-05-06,
DOW,2019-04-02,2024-11-08
EK,1987-03-12,2004-04-08
GE,1987-03-12,2018-06-26
GOOGL,2026-06-29,
GS,2013-09-23,
GT,1987-03-12,1999-11-01
HD,1999-11-01,
HON,1987-03-12,2008-02-19
HON,2020-08-31,
HPQ,1997-03-17,2013-09-23
HWM,1987-03-12,2013-09-23
IBM,1987-03-12,
INTC,1999-11-01,2024-11-08
IP,1987-03-12,2004-04-08
JNJ,1997-03-17,
JPM,1991-05-06,
KO,1987-03-12,
MCD,1987-03-12,
MDLZ,2008-09-22,2012-09-24
MMM,1987-03-12,
MO,1987-03-12,2008-02-19
MRK,1987-03-12,
MSFT,1999-11-01,
MTLQQ,1987-03-12,2009-06-08
NAV,1987-03-12,1991-05-06
NKE,2013-09-23,
NVDA,2024-11-08,
PFE,2004-04-08,2020-08-31
PG,1987-03-12,
RTX,1987-03-12,2020-08-31
S,1987-03-12,1999-11-01
SHW,2024-11-08,
T,1999-11-01,2015-03-19
T-OLD,1987-03-12,2004-04-08
TRV,2009-06-08,
TX,1987-03-12,1997-03-17
UK,1987-03-12,1999-11-01
UNH,2012-09-24,
V,2013-09-23,
VZ,2004-04-08,2026-06-29
WBA,2018-06-26,2024-02-26
WMT,1997-03-17,
WX,1987-03-12,1997-03-17
X,1987-03-12,1991-05-06
XOM,1987-03-12,2020-08-31
Z,1987-03-12,1997-03-17
