direction,entry,exit,pnl,open_time,close_time,reason
SHORT,0.702500,0.699110,0.003390,2005-08-17T09:10:00+00:00,2005-08-24T15:30:00+00:00,REV
LONG,0.699110,0.694100,-0.005010,2005-08-24T15:30:00+00:00,2005-08-29T00:24:00+00:00,REV
SHORT,0.694100,0.700010,-0.005910,2005-08-29T00:24:00+00:00,2005-09-01T15:39:00+00:00,REV
LONG,0.700010,0.703600,0.003590,2005-09-01T15:39:00+00:00,2005-09-08T04:26:00+00:00,REV
SHORT,0.703600,0.709310,-0.005710,2005-09-08T04:26:00+00:00,2005-09-14T16:49:00+00:00,REV
LONG,0.709310,0.700800,-0.008510,2005-09-14T16:49:00+00:00,2005-09-19T00:00:00+00:00,REV
SHORT,0.700800,0.688510,0.012290,2005-09-19T00:00:00+00:00,2005-09-29T01:06:00+00:00,REV
LONG,0.688510,0.693100,0.004590,2005-09-29T01:06:00+00:00,2005-10-11T15:51:00+00:00,REV
SHORT,0.693100,0.698810,-0.005710,2005-10-11T15:51:00+00:00,2005-10-17T05:19:00+00:00,REV
LONG,0.698810,0.699900,0.001090,2005-10-17T05:19:00+00:00,2005-10-31T17:27:00+00:00,REV
SHORT,0.699900,0.687710,0.012190,2005-10-31T17:27:00+00:00,2005-11-10T00:45:00+00:00,REV
LONG,0.687710,0.680600,-0.007110,2005-11-10T00:45:00+00:00,2005-11-14T18:57:00+00:00,REV
SHORT,0.680600,0.688110,-0.007510,2005-11-14T18:57:00+00:00,2005-11-17T20:16:00+00:00,REV
LONG,0.688110,0.704200,0.016090,2005-11-17T20:16:00+00:00,2005-12-07T12:47:00+00:00,REV
SHORT,0.704200,0.679410,0.024790,2005-12-07T12:47:00+00:00,2005-12-28T07:46:00+00:00,REV
LONG,0.679410,0.692500,0.013090,2005-12-28T07:46:00+00:00,2006-01-17T02:58:00+00:00,REV
SHORT,0.692500,0.685910,0.006590,2006-01-17T02:58:00+00:00,2006-01-25T11:47:00+00:00,REV
LONG,0.685910,0.676500,-0.009410,2006-01-25T11:47:00+00:00,2006-01-27T07:25:00+00:00,REV
SHORT,0.676500,0.688810,-0.012310,2006-01-27T07:25:00+00:00,2006-02-01T00:33:00+00:00,REV
LONG,0.688810,0.683700,-0.005110,2006-02-01T00:33:00+00:00,2006-02-06T04:32:00+00:00,REV
SHORT,0.683700,0.665310,0.018390,2006-02-06T04:32:00+00:00,2006-03-01T14:47:00+00:00,REV
LONG,0.665310,0.661900,-0.003410,2006-03-01T14:47:00+00:00,2006-03-06T12:22:00+00:00,REV
SHORT,0.661900,0.647110,0.014790,2006-03-06T12:22:00+00:00,2006-03-15T17:14:00+00:00,REV
LONG,0.647110,0.632200,-0.014910,2006-03-15T17:14:00+00:00,2006-03-17T15:22:00+00:00,REV
SHORT,0.632200,0.612810,0.019390,2006-03-17T15:22:00+00:00,2006-03-30T20:37:00+00:00,REV
LONG,0.612810,0.604400,-0.008410,2006-03-30T20:37:00+00:00,2006-04-04T04:32:00+00:00,REV
SHORT,0.604400,0.618110,-0.013710,2006-04-04T04:32:00+00:00,2006-04-06T10:23:00+00:00,REV
LONG,0.618110,0.607900,-0.010210,2006-04-06T10:23:00+00:00,2006-04-10T02:35:00+00:00,REV
SHORT,0.607900,0.617010,-0.009110,2006-04-10T02:35:00+00:00,2006-04-12T11:45:00+00:00,REV
