direction,entry,exit,pnl,open_time,close_time,reason
LONG,0.592600,0.581000,-0.011600,2000-06-14T05:26:00+00:00,2000-07-22T05:24:00+00:00,REV
SHORT,0.581000,0.586100,-0.005100,2000-07-22T05:24:00+00:00,2000-08-12T01:59:00+00:00,REV
LONG,0.586100,0.573500,-0.012600,2000-08-12T01:59:00+00:00,2000-08-24T16:20:00+00:00,REV
SHORT,0.573500,0.574200,-0.000700,2000-08-24T16:20:00+00:00,2000-09-09T01:57:00+00:00,REV
LONG,0.574200,0.557900,-0.016300,2000-09-09T01:57:00+00:00,2000-09-12T23:42:00+00:00,REV
SHORT,0.557900,0.543400,0.014500,2000-09-12T23:42:00+00:00,2000-10-06T23:35:00+00:00,REV
LONG,0.543400,0.534800,-0.008600,2000-10-06T23:35:00+00:00,2000-10-07T00:30:00+00:00,REV
SHORT,0.534800,0.533100,0.001700,2000-10-07T00:30:00+00:00,2000-11-04T01:09:00+00:00,REV
LONG,0.533100,0.523300,-0.009800,2000-11-04T01:09:00+00:00,2000-11-09T04:03:00+00:00,REV
SHORT,0.523300,0.527100,-0.003800,2000-11-09T04:03:00+00:00,2000-11-22T19:49:00+00:00,REV
LONG,0.527100,0.524300,-0.002800,2000-11-22T19:49:00+00:00,2001-02-22T22:19:00+00:00,REV
SHORT,0.524300,0.518600,0.005700,2001-02-22T22:19:00+00:00,2001-04-22T17:25:00+00:00,REV
LONG,0.518600,0.518000,-0.000600,2001-04-22T17:25:00+00:00,2001-05-23T20:43:00+00:00,REV
SHORT,0.518000,0.510500,0.007500,2001-05-23T20:43:00+00:00,2001-06-05T22:32:00+00:00,REV
LONG,0.510500,0.522800,0.012300,2001-06-05T22:32:00+00:00,2001-06-18T15:21:00+00:00,REV
SHORT,0.522800,0.519000,0.003800,2001-06-18T15:21:00+00:00,2001-06-26T15:57:00+00:00,REV
LONG,0.519000,0.511600,-0.007400,2001-06-26T15:57:00+00:00,2001-06-28T15:29:00+00:00,REV
SHORT,0.511600,0.520200,-0.008600,2001-06-28T15:29:00+00:00,2001-07-04T03:57:00+00:00,REV
LONG,0.520200,0.511600,-0.008600,2001-07-04T03:57:00+00:00,2001-07-06T08:31:00+00:00,REV
SHORT,0.511600,0.512400,-0.000800,2001-07-06T08:31:00+00:00,2001-07-11T10:04:00+00:00,REV
LONG,0.512400,0.505100,-0.007300,2001-07-11T10:04:00+00:00,2001-07-12T09:55:00+00:00,REV
SHORT,0.505100,0.511600,-0.006500,2001-07-12T09:55:00+00:00,2001-07-18T15:03:00+00:00,REV
LONG,0.511600,0.506000,-0.005600,2001-07-18T15:03:00+00:00,2001-07-20T17:25:00+00:00,REV
SHORT,0.506000,0.510700,-0.004700,2001-07-20T17:25:00+00:00,2001-07-26T08:32:00+00:00,REV
LONG,0.510700,0.506300,-0.004400,2001-07-26T08:32:00+00:00,2001-07-27T15:08:00+00:00,REV
SHORT,0.506300,0.510500,-0.004200,2001-07-27T15:08:00+00:00,2001-08-01T04:27:00+00:00,REV
LONG,0.510500,0.515200,0.004700,2001-08-01T04:27:00+00:00,2001-08-07T13:05:00+00:00,REV
SHORT,0.515200,0.520200,-0.005000,2001-08-07T13:05:00+00:00,2001-08-09T01:31:00+00:00,REV
LONG,0.520200,0.514800,-0.005400,2001-08-09T01:31:00+00:00,2001-08-09T05:19:00+00:00,REV
SHORT,0.514800,0.520600,-0.005800,2001-08-09T05:19:00+00:00,2001-08-14T19:08:00+00:00,REV
LONG,0.520600,0.529500,0.008900,2001-08-14T19:08:00+00:00,2001-08-24T18:32:00+00:00,REV
SHORT,0.529500,0.533900,-0.004400,2001-08-24T18:32:00+00:00,2001-08-30T18:39:00+00:00,REV
LONG,0.533900,0.525700,-0.008200,2001-08-30T18:39:00+00:00,2001-08-31T17:59:00+00:00,REV
SHORT,0.525700,0.495400,0.030300,2001-08-31T17:59:00+00:00,2001-09-26T10:51:00+00:00,REV
LONG,0.495400,0.485500,-0.009900,2001-09-26T10:51:00+00:00,2001-09-28T01:23:00+00:00,REV
SHORT,0.485500,0.497300,-0.011800,2001-09-28T01:23:00+00:00,2001-10-03T05:01:00+00:00,REV
LONG,0.497300,0.499400,0.002100,2001-10-03T05:01:00+00:00,2001-10-11T04:56:00+00:00,REV
SHORT,0.499400,0.513700,-0.014300,2001-10-11T04:56:00+00:00,2001-10-15T01:59:00+00:00,REV
LONG,0.513700,0.510500,-0.003200,2001-10-15T01:59:00+00:00,2001-10-18T00:10:00+00:00,REV
SHORT,0.510500,0.509300,0.001200,2001-10-18T00:10:00+00:00,2001-10-30T10:01:00+00:00,REV
LONG,0.509300,0.518100,0.008800,2001-10-30T10:01:00+00:00,2001-11-21T05:06:00+00:00,REV
SHORT,0.518100,0.521500,-0.003400,2001-11-21T05:06:00+00:00,2001-11-27T13:27:00+00:00,REV
LONG,0.521500,0.517900,-0.003600,2001-11-27T13:27:00+00:00,2001-12-03T21:31:00+00:00,REV
SHORT,0.517900,0.518300,-0.000400,2001-12-03T21:31:00+00:00,2001-12-12T04:20:00+00:00,REV
LONG,0.518300,0.514600,-0.003700,2001-12-12T04:20:00+00:00,2001-12-19T02:57:00+00:00,REV
SHORT,0.514600,0.520100,-0.005500,2001-12-19T02:57:00+00:00,2001-12-20T01:25:00+00:00,REV
LONG,0.520100,0.510900,-0.009200,2001-12-20T01:25:00+00:00,2001-12-20T02:59:00+00:00,REV
SHORT,0.510900,0.516500,-0.005600,2001-12-20T02:59:00+00:00,2002-01-03T01:34:00+00:00,REV
LONG,0.516500,0.517700,0.001200,2002-01-03T01:34:00+00:00,2002-01-14T03:15:00+00:00,REV
SHORT,0.517700,0.519200,-0.001500,2002-01-14T03:15:00+00:00,2002-01-22T04:52:00+00:00,REV
LONG,0.519200,0.517100,-0.002100,2002-01-22T04:52:00+00:00,2002-01-28T02:02:00+00:00,REV
SHORT,0.517100,0.517800,-0.000700,2002-01-28T02:02:00+00:00,2002-02-18T02:00:00+00:00,REV
LONG,0.517800,0.515500,-0.002300,2002-02-18T02:00:00+00:00,2002-02-21T05:03:00+00:00,REV
SHORT,0.515500,0.515600,-0.000100,2002-02-21T05:03:00+00:00,2002-02-27T16:58:00+00:00,REV
LONG,0.515600,0.519300,0.003700,2002-02-27T16:58:00+00:00,2002-03-13T07:27:00+00:00,REV
SHORT,0.519300,0.526000,-0.006700,2002-03-13T07:27:00+00:00,2002-03-18T02:00:00+00:00,REV
LONG,0.526000,0.529000,0.003000,2002-03-18T02:00:00+00:00,2002-04-08T04:20:00+00:00,REV
SHORT,0.529000,0.532000,-0.003000,2002-04-08T04:20:00+00:00,2002-04-11T00:38:00+00:00,REV
LONG,0.532000,0.537700,0.005700,2002-04-11T00:38:00+00:00,2002-04-30T10:54:00+00:00,REV
SHORT,0.537700,0.540800,-0.003100,2002-04-30T10:54:00+00:00,2002-05-07T03:58:00+00:00,REV
LONG,0.540800,0.570000,0.029200,2002-05-07T03:58:00+00:00,2002-06-10T06:02:00+00:00,REV
SHORT,0.570000,0.573800,-0.003800,2002-06-10T06:02:00+00:00,2002-06-24T01:58:00+00:00,REV
LONG,0.573800,0.564800,-0.009000,2002-06-24T01:58:00+00:00,2002-06-26T15:53:00+00:00,REV
SHORT,0.564800,0.565100,-0.000300,2002-06-26T15:53:00+00:00,2002-07-08T19:01:00+00:00,REV
LONG,0.565100,0.560600,-0.004500,2002-07-08T19:01:00+00:00,2002-07-15T02:04:00+00:00,REV
SHORT,0.560600,0.546000,0.014600,2002-07-15T02:04:00+00:00,2002-07-30T19:56:00+00:00,REV
LONG,0.546000,0.536900,-0.009100,2002-07-30T19:56:00+00:00,2002-08-05T14:45:00+00:00,REV
SHORT,0.536900,0.538100,-0.001200,2002-08-05T14:45:00+00:00,2002-08-12T05:34:00+00:00,REV
LONG,0.538100,0.540900,0.002800,2002-08-12T05:34:00+00:00,2002-08-22T15:08:00+00:00,REV
SHORT,0.540900,0.545100,-0.004200,2002-08-22T15:08:00+00:00,2002-08-27T00:53:00+00:00,REV
LONG,0.545100,0.549700,0.004600,2002-08-27T00:53:00+00:00,2002-09-02T02:02:00+00:00,REV
SHORT,0.549700,0.548800,0.000900,2002-09-02T02:02:00+00:00,2002-09-09T08:26:00+00:00,REV
LONG,0.548800,0.547200,-0.001600,2002-09-09T08:26:00+00:00,2002-09-17T11:43:00+00:00,REV
SHORT,0.547200,0.552100,-0.004900,2002-09-17T11:43:00+00:00,2002-09-19T14:32:00+00:00,REV
LONG,0.552100,0.544000,-0.008100,2002-09-19T14:32:00+00:00,2002-09-23T17:57:00+00:00,REV
SHORT,0.544000,0.546100,-0.002100,2002-09-23T17:57:00+00:00,2002-10-03T17:51:00+00:00,REV
LONG,0.546100,0.546100,0.000000,2002-10-03T17:51:00+00:00,2002-10-14T05:07:00+00:00,REV
SHORT,0.546100,0.549800,-0.003700,2002-10-14T05:07:00+00:00,2002-10-17T11:59:00+00:00,REV
LONG,0.549800,0.554100,0.004300,2002-10-17T11:59:00+00:00,2002-10-30T13:45:00+00:00,REV
SHORT,0.554100,0.559700,-0.005600,2002-10-30T13:45:00+00:00,2002-11-01T18:20:00+00:00,REV
LONG,0.559700,0.560200,0.000500,2002-11-01T18:20:00+00:00,2002-11-11T15:05:00+00:00,REV
SHORT,0.560200,0.564300,-0.004100,2002-11-11T15:05:00+00:00,2002-11-15T20:50:00+00:00,REV
LONG,0.564300,0.559800,-0.004500,2002-11-15T20:50:00+00:00,2002-11-19T18:34:00+00:00,REV
SHORT,0.559800,0.564200,-0.004400,2002-11-19T18:34:00+00:00,2002-11-22T15:40:00+00:00,REV
LONG,0.564200,0.558600,-0.005600,2002-11-22T15:40:00+00:00,2002-11-27T13:47:00+00:00,REV
SHORT,0.558600,0.562100,-0.003500,2002-11-27T13:47:00+00:00,2002-11-29T02:00:00+00:00,REV
LONG,0.562100,0.560000,-0.002100,2002-11-29T02:00:00+00:00,2002-12-10T18:44:00+00:00,REV
SHORT,0.560000,0.564400,-0.004400,2002-12-10T18:44:00+00:00,2002-12-12T11:21:00+00:00,REV
LONG,0.564400,0.564200,-0.000200,2002-12-12T11:21:00+00:00,2002-12-18T17:30:00+00:00,REV
SHORT,0.564200,0.565100,-0.000900,2002-12-18T17:30:00+00:00,2002-12-27T11:29:00+00:00,REV
LONG,0.565100,0.561100,-0.004000,2002-12-27T11:29:00+00:00,2002-12-27T15:51:00+00:00,REV
SHORT,0.561100,0.565100,-0.004000,2002-12-27T15:51:00+00:00,2002-12-30T22:05:00+00:00,REV
LONG,0.565100,0.560500,-0.004600,2002-12-30T22:05:00+00:00,2002-12-31T19:35:00+00:00,REV
SHORT,0.560500,0.567000,-0.006500,2002-12-31T19:35:00+00:00,2003-01-03T20:52:00+00:00,REV
LONG,0.567000,0.585700,0.018700,2003-01-03T20:52:00+00:00,2003-01-22T13:22:00+00:00,REV
SHORT,0.585700,0.592700,-0.007000,2003-01-22T13:22:00+00:00,2003-01-23T12:02:00+00:00,REV
LONG,0.592700,0.586600,-0.006100,2003-01-23T12:02:00+00:00,2003-01-30T13:12:00+00:00,REV
