direction,entry,exit,pnl,open_time,close_time,reason
SHORT,78.72,79.46,-0.74,2002-08-27T08:53:00+00:00,2002-09-03T17:31:00+00:00,REV
LONG,79.46,82.89,3.43,2002-09-03T17:31:00+00:00,2002-10-17T09:49:00+00:00,REV
SHORT,82.89,83.18,-0.29,2002-10-17T09:49:00+00:00,2002-11-01T11:23:00+00:00,REV
LONG,83.18,82.92,-0.26,2002-11-01T11:23:00+00:00,2002-11-08T16:17:00+00:00,REV
SHORT,82.92,83.16,-0.24,2002-11-08T16:17:00+00:00,2002-11-18T03:31:00+00:00,REV
LONG,83.16,82.99,-0.17,2002-11-18T03:31:00+00:00,2002-11-25T03:23:00+00:00,REV
SHORT,82.99,83.38,-0.39,2002-11-25T03:23:00+00:00,2002-12-02T12:36:00+00:00,REV
LONG,83.38,83.86,0.48,2002-12-02T12:36:00+00:00,2002-12-13T15:50:00+00:00,REV
SHORT,83.86,84.90,-1.04,2002-12-13T15:50:00+00:00,2002-12-17T20:08:00+00:00,REV
LONG,84.90,85.27,0.37,2002-12-17T20:08:00+00:00,2003-01-14T16:11:00+00:00,REV
SHORT,85.27,86.45,-1.18,2003-01-14T16:11:00+00:00,2003-01-21T02:15:00+00:00,REV
LONG,86.45,88.15,1.70,2003-01-21T02:15:00+00:00,2003-02-17T00:11:00+00:00,REV
SHORT,88.15,87.48,0.67,2003-02-17T00:11:00+00:00,2003-03-03T17:39:00+00:00,REV
LONG,87.48,87.08,-0.40,2003-03-03T17:39:00+00:00,2003-03-14T00:31:00+00:00,REV
SHORT,87.08,87.11,-0.03,2003-03-14T00:31:00+00:00,2003-03-24T02:24:00+00:00,REV
LONG,87.11,86.62,-0.49,2003-03-24T02:24:00+00:00,2003-04-02T16:10:00+00:00,REV
SHORT,86.62,87.26,-0.64,2003-04-02T16:10:00+00:00,2003-04-10T03:14:00+00:00,REV
LONG,87.26,87.40,0.14,2003-04-10T03:14:00+00:00,2003-05-01T10:43:00+00:00,REV
SHORT,87.40,88.60,-1.20,2003-05-01T10:43:00+00:00,2003-05-02T13:17:00+00:00,REV
LONG,88.60,90.54,1.94,2003-05-02T13:17:00+00:00,2003-06-04T08:05:00+00:00,REV
SHORT,90.54,90.57,-0.03,2003-06-04T08:05:00+00:00,2003-06-16T01:05:00+00:00,REV
