direction,entry,exit,pnl,open_time,close_time,reason
LONG,13.83,13.70,-0.14,2009-05-07T08:39:00+00:00,2009-05-18T16:45:00+00:00,REV
SHORT,13.70,14.18,-0.48,2009-05-18T16:45:00+00:00,2009-05-19T20:33:00+00:00,REV
LONG,14.18,15.21,1.03,2009-05-19T20:33:00+00:00,2009-06-04T13:08:00+00:00,REV
SHORT,15.21,15.47,-0.27,2009-06-04T13:08:00+00:00,2009-06-11T18:51:00+00:00,REV
LONG,15.47,14.74,-0.73,2009-06-11T18:51:00+00:00,2009-06-12T15:36:00+00:00,REV
SHORT,14.74,14.10,0.64,2009-06-12T15:36:00+00:00,2009-06-26T04:14:00+00:00,REV
LONG,14.10,13.76,-0.34,2009-06-26T04:14:00+00:00,2009-06-30T17:16:00+00:00,REV
SHORT,13.76,12.96,0.80,2009-06-30T17:16:00+00:00,2009-07-14T15:15:00+00:00,REV
LONG,12.96,13.62,0.66,2009-07-14T15:15:00+00:00,2009-07-28T18:43:00+00:00,REV
SHORT,13.62,14.00,-0.38,2009-07-28T18:43:00+00:00,2009-08-03T01:04:00+00:00,REV
LONG,14.00,14.43,0.42,2009-08-03T01:04:00+00:00,2009-08-10T13:03:00+00:00,REV
SHORT,14.43,14.72,-0.30,2009-08-10T13:03:00+00:00,2009-08-13T10:10:00+00:00,REV
LONG,14.72,14.12,-0.60,2009-08-13T10:10:00+00:00,2009-08-17T14:05:00+00:00,REV
SHORT,14.12,14.23,-0.10,2009-08-17T14:05:00+00:00,2009-08-21T15:28:00+00:00,REV
LONG,14.23,14.07,-0.15,2009-08-21T15:28:00+00:00,2009-08-27T18:08:00+00:00,REV
SHORT,14.07,14.49,-0.42,2009-08-27T18:08:00+00:00,2009-08-28T12:05:00+00:00,REV
LONG,14.49,16.12,1.63,2009-08-28T12:05:00+00:00,2009-09-10T13:07:00+00:00,REV
SHORT,16.12,16.86,-0.74,2009-09-10T13:07:00+00:00,2009-09-11T06:25:00+00:00,REV
LONG,16.86,16.93,0.07,2009-09-11T06:25:00+00:00,2009-09-21T01:01:00+00:00,REV
SHORT,16.93,16.39,0.54,2009-09-21T01:01:00+00:00,2009-09-30T09:07:00+00:00,REV
LONG,16.39,15.97,-0.42,2009-09-30T09:07:00+00:00,2009-10-02T15:33:00+00:00,REV
SHORT,15.97,16.77,-0.80,2009-10-02T15:33:00+00:00,2009-10-06T04:21:00+00:00,REV
LONG,16.77,17.54,0.77,2009-10-06T04:21:00+00:00,2009-10-15T12:40:00+00:00,REV
SHORT,17.54,17.94,-0.40,2009-10-15T12:40:00+00:00,2009-10-23T15:41:00+00:00,REV
LONG,17.94,17.27,-0.67,2009-10-23T15:41:00+00:00,2009-10-26T19:47:00+00:00,REV
SHORT,17.27,16.76,0.51,2009-10-26T19:47:00+00:00,2009-11-03T17:41:00+00:00,REV
LONG,16.76,17.21,0.46,2009-11-03T17:41:00+00:00,2009-11-10T18:33:00+00:00,REV
SHORT,17.21,17.78,-0.56,2009-11-10T18:33:00+00:00,2009-11-16T09:33:00+00:00,REV
LONG,17.78,18.07,0.29,2009-11-16T09:33:00+00:00,2009-11-20T14:38:00+00:00,REV
SHORT,18.07,18.85,-0.78,2009-11-20T14:38:00+00:00,2009-11-23T09:36:00+00:00,REV
LONG,18.85,18.31,-0.54,2009-11-23T09:36:00+00:00,2009-11-27T07:36:00+00:00,REV
SHORT,18.31,18.89,-0.58,2009-11-27T07:36:00+00:00,2009-12-01T18:00:00+00:00,REV
LONG,18.89,18.37,-0.52,2009-12-01T18:00:00+00:00,2009-12-04T21:00:00+00:00,REV
SHORT,18.37,17.62,0.75,2009-12-04T21:00:00+00:00,2009-12-16T16:47:00+00:00,REV
LONG,17.62,17.07,-0.55,2009-12-16T16:47:00+00:00,2009-12-21T18:27:00+00:00,REV
SHORT,17.07,17.51,-0.44,2009-12-21T18:27:00+00:00,2009-12-24T19:59:00+00:00,REV
LONG,17.51,17.04,-0.47,2009-12-24T19:59:00+00:00,2009-12-30T01:53:00+00:00,REV
SHORT,17.04,17.53,-0.49,2009-12-30T01:53:00+00:00,2010-01-04T17:48:00+00:00,REV
LONG,17.53,18.36,0.83,2010-01-04T17:48:00+00:00,2010-01-20T16:08:00+00:00,REV
SHORT,18.36,16.77,1.59,2010-01-20T16:08:00+00:00,2010-02-02T12:23:00+00:00,REV
LONG,16.77,16.08,-0.69,2010-02-02T12:23:00+00:00,2010-02-04T16:13:00+00:00,REV
SHORT,16.08,15.60,0.48,2010-02-04T16:13:00+00:00,2010-02-10T14:01:00+00:00,REV
LONG,15.60,15.74,0.14,2010-02-10T14:01:00+00:00,2010-02-24T09:36:00+00:00,REV
SHORT,15.74,16.44,-0.70,2010-02-24T09:36:00+00:00,2010-02-26T20:11:00+00:00,REV
LONG,16.44,17.03,0.59,2010-02-26T20:11:00+00:00,2010-03-09T12:44:00+00:00,REV
SHORT,17.03,17.53,-0.50,2010-03-09T12:44:00+00:00,2010-03-10T17:47:00+00:00,REV
LONG,17.53,16.85,-0.68,2010-03-10T17:47:00+00:00,2010-03-11T04:18:00+00:00,REV
SHORT,16.85,17.35,-0.50,2010-03-11T04:18:00+00:00,2010-03-16T15:56:00+00:00,REV
LONG,17.35,17.06,-0.29,2010-03-16T15:56:00+00:00,2010-03-19T17:31:00+00:00,REV
SHORT,17.06,17.05,0.01,2010-03-19T17:31:00+00:00,2010-03-29T09:16:00+00:00,REV
LONG,17.05,17.94,0.89,2010-03-29T09:16:00+00:00,2010-04-16T18:11:00+00:00,REV
SHORT,17.94,18.15,-0.22,2010-04-16T18:11:00+00:00,2010-04-22T08:45:00+00:00,REV
LONG,18.15,17.83,-0.32,2010-04-22T08:45:00+00:00,2010-04-28T16:58:00+00:00,REV
