Date,Close
2008-08-26,597.67
2008-08-27,600.68
2008-08-28,607.48
2008-08-29,600.96
2008-09-02,599.39
2008-09-03,597.73
2008-09-04,588.58
2008-09-05,588.85
2008-09-08,595.21
2008-09-09,585.6
2008-09-10,586.19
2008-09-11,589.15
2008-09-12,590.24
2008-09-15,579.83
2008-09-16,583.01
2008-09-17,580.66
2008-09-18,584.24
2008-09-19,581.77
2008-09-23,542.12
2008-09-24,541.13
2008-09-25,545.51
2008-09-26,547.27
2008-09-29,521.94
2008-09-30,536.62
2008-10-01,536.58
2008-10-02,529.34
2008-10-03,525.23
2008-10-06,518.28
2008-10-07,514.47
2008-10-08,514.95
2008-10-09,508.23
2008-10-10,509.04
2008-10-13,512.2
2008-10-14,514.1
2008-10-15,511.94
2008-10-16,512.26
2008-10-17,512.58
2008-10-20,511.79
2008-10-21,515.76
2008-10-22,515.68
2008-10-23,517.08
2008-10-24,519.22
2008-10-27,520.46
2008-10-28,516.53
2008-10-29,521.04
2008-10-30,516.57
2008-10-31,515.27
2008-11-03,518.73
2008-11-04,516.07
2008-11-05,520.27
2008-11-06,521.14
2008-11-07,521.54
2008-11-10,521.54
2008-11-11,522.32
2008-11-12,522.05
2008-11-13,521.44
2008-11-14,523.26
2008-11-17,523.18
2008-11-18,523.15
2008-11-19,521.96
2008-11-20,522.33
2008-12-01,515.67
2008-12-02,508
2008-12-03,503.69
2008-12-04,511.74
2008-12-05,503.72
2008-12-08,494.36
2008-12-09,501.46
2008-12-10,499.73
2008-12-11,509.24
2008-12-12,507.98
2008-12-15,512.15
2008-12-16,495.41
2008-12-17,500.01
2008-12-18,507.79
2008-12-22,500.09
2008-12-23,497.97
2008-12-24,499.02
2008-12-26,499.91
2008-12-29,498.77
2008-12-30,504.39
2008-12-31,507.43
2009-01-02,515.66
2009-01-05,513.68
2009-01-06,516.2
2009-01-07,508.67
2009-01-08,509.82
2009-01-09,502.99
2009-01-12,497.56
2009-01-13,497.17
2009-01-14,489.83
2009-01-15,489.11
2009-01-20,481.06
2009-01-21,486.28
2009-01-22,483.27
2009-01-23,483.67
2009-01-26,483.72
2009-01-27,484.22
2009-01-28,490.64
2009-01-29,483.9
2009-01-30,479.3
2009-02-02,479.02
2009-02-03,480.97
2009-02-04,479.45
2009-02-05,483.15
2009-02-06,489.41
2009-02-09,489.16
2009-02-10,478.48
2009-02-11,479.12
2009-02-12,478.43
2009-02-13,476.1
2009-02-17,469.71
2009-02-18,469.29
2009-02-19,467.65
2009-02-20,465.86
2009-02-23,466.08
2009-02-24,466.9
2009-02-25,466.14
2009-02-26,466.83
2009-02-27,466.49
2009-03-02,466.54
2009-03-03,467.15
2009-03-04,467.13
2009-03-05,466.61
2009-03-06,466.8
2009-03-09,467.43
2009-03-10,468.36
2009-03-11,467.4
2009-03-12,467.59
2009-03-13,467.52
2009-03-16,467.09
2009-03-17,467.47
2009-03-18,467.33
2009-03-19,467.51
2009-03-23,472.75
2009-03-24,468.65
2009-03-25,470.21
2009-03-26,475.34
2009-03-27,471.73
2009-03-30,464.79
2009-03-31,468.3
2009-04-01,471.75
2009-04-02,477.84
2009-04-03,480.36
2009-04-06,479.36
2009-04-07,474.03
2009-04-08,476.52
2009-04-09,485.62
2009-04-13,486.12
2009-04-14,481.65
2009-04-15,485.77
2009-04-16,491.53
2009-04-17,492.42
2009-04-20,477.39
2009-04-21,484.53
2009-04-22,481.73
2009-04-23,485.3
2009-04-24,491.86
2009-04-27,487.5
2009-04-28,486.81
2009-04-29,494.76
2009-04-30,494.39
2009-05-01,496.61
2009-05-04,509.6
2009-05-05,508.56
2009-05-06,515.42
2009-05-07,510.34
2009-05-08,520.02
2009-05-11,511.86
2009-05-12,511.64
2009-05-13,499.14
2009-05-14,503.61
2009-05-15,498.18
2009-05-18,511.57
2009-05-19,510.9
2009-05-20,508.65
2009-05-21,501.49
2009-05-22,501.1
2009-05-26,513.11
2009-05-27,504.22
2009-05-28,511.56
2009-05-29,518.13
2009-06-01,528.82
2009-06-02,529.98
2009-06-03,524.1
2009-06-04,529.44
2009-06-05,528.77
2009-06-08,528.91
2009-06-09,530.93
2009-06-10,529.6
2009-06-11,532.59
2009-06-12,533.68
2009-06-15,521.5
2009-06-16,514.94
2009-06-17,514.26
2009-06-18,518.65
2009-06-19,520.03
2009-06-22,510.94
2009-06-23,511.05
2009-06-24,512.04
2009-06-25,518.02
2009-06-26,517.32
2009-06-29,519.2
2009-06-30,516.25
2009-07-01,518.13
2009-07-02,508.63
2009-07-06,509.17
2009-07-07,504.11
2009-07-08,503.9
2009-07-09,504.58
2009-07-10,503
2009-07-13,508.73
2009-07-14,509.9
2009-07-15,520.05
2009-07-16,523.28
2009-07-17,522.77
2009-07-20,526.67
2009-07-21,527.77
2009-07-22,527.29
2009-07-23,536.16
2009-07-24,537.19
2009-07-27,538.51
2009-07-28,537.82
2009-07-29,536.16
