ticker,asset,trade_date,filing_date,lag_days,entry_day,entry_px,exit_day,exit_px,exit_reason,ret,spy_ret,qqq_ret,excess_spy,doc_id
CRM,g fedcF IlINg S TATuS : New D ESCRIPTION : Purchased 50 call options with a strike price of $100 and an expiration d ate of 1/21/2022.SP Salesforce.com Inc,2020-06-18,2020-07-20,32,2020-07-21,192.3284,2026-09-23,238.6000,未平倉,0.2406,1.5628,1.8586,-1.3222,20016961
CRWD,"CrowdStrike Holdings, I nc. - ClassA",2020-09-03,2020-10-04,31,2020-10-05,35.9525,2026-09-23,262.8353,未平倉,6.3106,1.4795,1.7765,4.8311,20017460
AB,AllianceBernstein Holding l.P. units,2020-12-22,2021-01-21,30,2021-01-22,21.8416,2026-09-23,35.8700,未平倉,0.6423,1.1707,1.3544,-0.5284,20018011
AB,AllianceBernstein Holding l.P. units,2021-02-18,2021-03-09,19,2021-03-10,23.9659,2026-09-23,35.8700,未平倉,0.4967,1.1292,1.4224,-0.6325,20018355
AB,AllianceBernstein Holding l.P. units,2021-02-23,2021-03-09,14,2021-03-10,23.9659,2026-09-23,35.8700,未平倉,0.4967,1.1292,1.4224,-0.6325,20018355
MSFT,Microsoft Corporation,2021-03-19,2021-04-09,21,2021-04-12,243.4229,2024-07-31,413.2159,跟賣,0.6975,0.4012,0.4214,0.2964,20018539
MSFT,"g fedcF ILINg S TATUS : New D ESCRIPTION : Exercised 150 call options (15,000 shares) expiring 3/19/2021 at a strike price of $130.SP Microsoft Corporation",2021-03-19,2021-04-09,21,2021-04-12,243.4229,2024-07-31,413.2159,跟賣,0.6975,0.4012,0.4214,0.2964,20018539
NVDA,NVIDIA Corporation,2021-07-23,2021-08-20,28,2021-08-23,20.8754,2022-07-27,16.9659,跟賣,-0.1873,-0.1015,-0.1846,-0.0858,20019331
AXP,American Express Company,2022-01-21,2022-02-28,38,2022-03-01,184.1071,2026-09-23,302.8050,未平倉,0.6447,0.8822,1.2045,-0.2375,20020515
DIS,Walt Disney Company,2022-01-21,2022-02-28,38,2022-03-01,143.3596,2023-01-13,96.3552,跟賣,-0.3279,-0.0805,-0.1944,-0.2473,20020515
AXP,American Express Company,2022-01-21,2022-03-04,42,2022-03-07,160.8987,2026-09-23,302.8050,未平倉,0.8820,0.8974,1.2597,-0.0154,20020561
DIS,Walt Disney Company,2022-01-21,2022-03-04,42,2022-03-07,136.0103,2023-01-13,96.3552,跟賣,-0.2916,-0.0731,-0.1742,-0.2185,20020561
NVDA,NVIDIA Corporation,2022-06-17,2022-07-14,27,2022-07-15,15.5982,2022-07-27,16.9659,跟賣,0.0877,0.0309,0.0321,0.0568,20021374
GOOG,Alphabet Inc. - Class C Capital Stock,2022-09-16,2022-10-14,28,2022-10-17,98.5862,2026-09-23,337.5475,未平倉,2.4239,1.2237,1.8422,1.2002,20021837
AAPL,Apple Inc.,2023-03-17,2023-04-06,20,2023-04-10,158.8315,2023-06-07,175.8214,跟賣,0.1070,0.0537,0.1271,0.0533,20022664
AAPL,Apple Inc.,2023-06-15,2023-06-22,7,2023-06-23,182.8271,2025-01-21,222.3861,跟賣,0.2164,0.4159,0.4624,-0.1996,20023192
MSFT,Microsoft Corporation,2023-06-15,2023-06-22,7,2023-06-23,326.0177,2024-07-31,413.2159,跟賣,0.2675,0.2858,0.3006,-0.0183,20023192
NVDA,NVIDIA Corporation - Common Stock,2024-06-26,2024-07-02,6,2024-07-03,121.3241,2025-01-21,138.7972,跟賣,0.1440,0.1018,0.0819,0.0422,20025368
NVDA,NVIDIA Corporation - Common Stock,2024-07-26,2024-07-30,4,2024-07-31,112.5882,2025-01-21,138.7972,跟賣,0.2328,0.1012,0.1244,0.1316,20025535
NVDA,NVIDIA Corporation - Common Stock,2024-12-20,2025-01-17,28,2025-01-21,138.7972,2026-01-26,186.7231,跟賣,0.3453,0.1630,0.1943,0.1823,20026590
PANW,"Palo Alto Networks, Inc.",2024-12-20,2025-01-17,28,2025-01-21,181.0900,2026-09-23,388.0300,未平倉,1.1427,0.3046,0.4242,0.8381,20026590
AVGO,Broadcom Inc. - Common Stock,2025-06-20,2025-07-09,19,2025-07-10,277.2500,2026-09-23,355.6500,未平倉,0.2828,0.2480,0.3378,0.0348,20030630
AMZN,"Amazon.com, Inc. - Common Stock",2026-01-16,2026-01-23,7,2026-01-26,239.9800,2026-09-23,250.3600,未平倉,0.0433,0.1217,0.1926,-0.0785,20033725
GOOGL,Alphabet Inc. - Class A Common Stock,2026-01-16,2026-01-23,7,2026-01-26,327.1735,2026-09-23,340.8569,未平倉,0.0418,0.1217,0.1926,-0.0799,20033725
NVDA,NVIDIA Corporation - Common Stock,2026-01-16,2026-01-23,7,2026-01-26,186.7231,2026-09-23,224.9474,未平倉,0.2047,0.1217,0.1926,0.0830,20033725
VST,Vistra Corp. Common Stock,2026-01-16,2026-01-23,7,2026-01-26,159.8851,2026-09-23,139.2700,未平倉,-0.1289,0.1217,0.1926,-0.2507,20033725
BE,Bloom Energy Corporation Class A Common Stock,2026-07-24,2026-08-21,28,2026-08-24,191.9800,2026-09-23,274.4900,未平倉,0.4298,0.0074,0.0448,0.4224,20035143
BE,Bloom Energy Corporation Class A Common Stock,2026-07-28,2026-08-21,24,2026-08-24,191.9800,2026-09-23,274.4900,未平倉,0.4298,0.0074,0.0448,0.4224,20035143
INTC,Intel Corporation - Common Stock,2026-07-24,2026-08-21,28,2026-08-24,88.8600,2026-09-23,120.3100,未平倉,0.3539,0.0074,0.0448,0.3465,20035143
