Date,Shares
2024-02-24,723870016
2024-02-28,723870016
2024-02-29,723870016
2024-03-02,723870016
2024-03-05,726350016
2024-03-08,723870016
2024-03-09,723870016
2024-03-12,723870016
2024-03-13,723870016
2024-03-15,723870016
2024-03-16,723870016
2024-03-19,720038976
2024-03-23,720038976
2024-03-26,725075008
2024-03-27,720038976
2024-03-29,720038976
2024-04-17,720038976
2024-04-18,720038976
2024-04-20,719302976
2024-04-24,719302976
2024-04-25,725430976
2024-04-26,719302976
2024-04-27,719302976
2024-05-01,719302976
2024-05-02,719302976
2024-05-03,719302976
2024-05-04,724694976
2024-05-07,719302976
2024-05-08,719302976
2024-05-10,719302976
2024-05-11,719302976
2024-05-14,719302976
2024-05-17,719302976
2024-05-18,719302976
2024-05-20,720846976
2024-05-21,719302976
2024-05-23,719302976
2024-05-24,719302976
2024-05-25,719302976
2024-05-29,719302976
2024-05-30,719302976
2024-05-31,719302976
2024-06-01,719302976
2024-06-04,719302976
2024-06-05,719302976
2024-06-06,719302976
2024-06-11,719302976
2024-06-12,719302976
2024-06-13,719302976
2024-06-25,719302976
2024-06-26,719302976
2024-06-28,719302976
2024-07-02,719302976
2024-07-03,719302976
2024-07-04,719302976
2024-07-06,719302976
2024-07-10,719302976
2024-07-12,719302976
2024-07-13,719302976
2024-07-18,719302976
2024-07-19,739542976
2024-07-20,719302976
2024-07-23,710912000
2024-07-24,710912000
2024-07-25,713308992
2024-07-26,710912000
2024-07-27,710912000
2024-08-03,710912000
2024-08-07,710912000
2024-08-09,710912000
2024-08-10,710912000
2024-08-13,710912000
2024-08-14,710912000
2024-08-16,710912000
2024-08-17,710912000
2024-08-21,710912000
2024-08-22,710912000
2024-08-23,710912000
2024-08-24,710912000
2024-08-27,710912000
2024-08-30,710912000
2024-08-31,710912000
2024-09-06,710912000
2024-09-07,733574016
2024-09-10,710912000
2024-09-11,710912000
2024-09-12,710912000
2024-09-14,710912000
2024-09-17,710912000
2024-09-18,710912000
2024-09-19,710912000
2024-09-21,710912000
2024-09-24,710912000
2024-09-25,710912000
2024-09-27,710912000
2024-09-28,710912000
2024-10-01,710912000
2024-10-04,710912000
2024-10-08,710912000
2024-10-10,710912000
2024-10-11,710912000
2024-10-12,710912000
2024-10-15,710912000
2024-10-16,710912000
2024-10-18,710912000
2024-10-19,704444992
2024-10-20,704444992
2024-10-22,704444992
2024-10-23,704444992
2024-10-24,704444992
2024-10-26,714668032
2024-10-28,704444992
2024-10-30,704444992
2024-10-31,704444992
2024-11-05,704444992
2024-11-06,704444992
