entry_time,exit_time,dir,px_in,px_out,atr_pct,bars,gross_usd,net_hkd
2022-09-05 13:00:00,2022-09-05 15:30:00,多,1714.44,1713.46,0.101,10,-0.98,-10.76
2022-09-14 07:30:00,2022-09-14 10:00:00,多,1704.63,1701.06,0.1154,10,-3.57,-30.97
2022-09-22 11:00:00,2022-09-22 13:30:00,多,1665.29,1667.14,0.1731,10,1.85,11.31
2022-09-29 19:00:00,2022-09-29 21:30:00,多,1663.87,1659.02,0.2498,10,-4.85,-40.95
2022-10-03 15:15:00,2022-10-03 17:45:00,多,1668.66,1686.98,0.1511,10,18.32,139.78
2022-10-11 15:00:00,2022-10-11 17:30:00,多,1671.71,1669.35,0.1596,10,-2.36,-21.53
2022-10-12 07:00:00,2022-10-12 09:30:00,多,1669.02,1674.62,0.1387,10,5.6,40.56
2022-10-12 21:00:00,2022-10-12 23:30:00,多,1677.33,1672.61,0.1699,10,-4.72,-39.94
2022-10-28 04:45:00,2022-10-28 07:15:00,多,1666.33,1664.26,0.1108,10,-2.07,-19.27
2022-11-02 05:45:00,2022-11-02 08:15:00,多,1651.97,1651.13,0.1023,10,-0.84,-9.67
2022-11-09 10:00:00,2022-11-09 12:30:00,多,1714.8,1708.4,0.1169,10,-6.4,-53.04
2022-11-10 05:00:00,2022-11-10 07:30:00,多,1709.77,1710.02,0.1114,10,0.25,-1.17
2022-11-10 15:15:00,2022-11-10 17:45:00,多,1711.87,1750.97,0.1206,10,39.1,301.86
2022-11-16 11:00:00,2022-11-16 13:30:00,多,1780.51,1782.0,0.1243,10,1.49,8.5
2022-12-05 03:00:00,2022-12-05 05:30:00,多,1802.21,1808.39,0.1086,10,6.18,45.08
2022-12-06 13:15:00,2022-12-06 15:45:00,多,1776.14,1778.36,0.1145,10,2.22,14.2
2022-12-07 15:30:00,2022-12-07 18:00:00,多,1778.01,1776.88,0.1142,10,-1.13,-11.93
2022-12-08 15:15:00,2022-12-08 17:45:00,多,1788.58,1790.25,0.1047,10,1.67,9.91
2023-01-04 03:30:00,2023-01-04 06:00:00,多,1842.1,1845.74,0.1068,10,3.64,25.27
2023-01-06 15:30:00,2023-01-06 18:00:00,多,1847.77,1862.1,0.1643,10,14.33,108.65
2023-01-10 16:45:00,2023-01-10 19:15:00,多,1878.23,1873.8,0.1392,10,-4.43,-37.67
2023-01-30 06:30:00,2023-01-30 09:00:00,多,1933.35,1931.46,0.1078,10,-1.89,-17.86
2023-02-08 09:15:00,2023-02-08 11:45:00,多,1879.65,1885.97,0.1066,10,6.32,46.18
2023-03-08 16:45:00,2023-03-08 19:15:00,多,1820.4,1816.28,0.1179,10,-4.12,-35.26
2023-03-10 15:30:00,2023-03-10 18:00:00,多,1843.87,1858.95,0.1495,10,15.08,114.5
2023-03-16 14:00:00,2023-03-16 16:30:00,多,1924.48,1925.07,0.1523,10,0.59,1.48
2023-03-21 06:45:00,2023-03-21 09:15:00,多,1983.8,1976.91,0.1084,10,-6.89,-56.86
2023-03-22 11:15:00,2023-03-22 13:45:00,多,1944.91,1942.63,0.1345,10,-2.28,-20.9
2023-03-22 17:45:00,2023-03-22 20:15:00,多,1950.63,1946.23,0.1631,10,-4.4,-37.44
2023-04-04 16:15:00,2023-04-04 18:45:00,多,1987.34,2020.23,0.1216,10,32.89,253.42
2023-04-05 15:30:00,2023-04-05 18:00:00,多,2029.95,2016.86,0.1132,10,-13.09,-105.22
2023-04-24 11:45:00,2023-04-24 14:15:00,多,1985.08,1984.9,0.1104,10,-0.18,-4.52
2023-10-19 11:00:00,2023-10-19 13:30:00,多,1953.3,1950.94,0.1122,10,-2.36,-21.53
2023-10-27 20:15:00,2023-10-27 22:45:00,多,1988.0,2006.91,0.1467,10,18.91,144.38
2023-11-09 16:15:00,2023-11-09 18:45:00,多,1951.62,1960.56,0.1162,10,8.94,66.61
