市場,版本,期間,月數,持股月,月期望值,持股月期望值,勝率,平均贏,平均輸,RRR,獲利因子,總回報,ETF總回報,年化,ETF年化,MDD,ETF_MDD,最差月,最佳月,最長連虧,平均持股,年換手,alpha_t
港股,全部,2010-07~2026-08,193,80,0.8807720684647186,2.2034655681656368,67.5,5.552293198934448,-4.751791818815739,1.1684630578614477,2.4268078894045453,383.23923558773964,253.14867996576206,10.2349503019604,8.117073995937751,-18.97951773500175,-45.43369096838844,-12.050156802360119,30.251698641329227,4,80.92682926829268,273.90810826554355,2.3352048893450212
港股,40檔,2010-07~2026-08,193,79,0.7444823080282399,1.9021379435350503,63.29113924050633,5.601464065742312,-4.476010543029194,1.2514412135301751,2.1576572647071988,276.24430714644836,253.14867996576206,8.541564867082862,8.117073995937751,-19.279977990236887,-45.43369096838844,-13.280906448708492,25.147794395783805,3,39.573170731707314,389.4587628865979,1.975583647165244
日股,全部,2009-07~2026-08,205,107,0.8565162909307246,1.6850197439450851,66.35514018691589,4.752920172353138,-4.365561656526353,1.088730510826184,2.147218507462752,379.7431130408294,766.777933534299,9.564639107977513,13.405837067630856,-21.066259050420776,-31.253180374057543,-13.600077692512638,21.52976130774945,3,180.86111111111111,333.2113048693795,1.3627158275874025
日股,40檔,2009-07~2026-08,205,108,0.94020954162882,1.82771255586952,64.81481481481481,5.220765099413711,-4.422647392764516,1.1804615280781645,2.174534393828198,458.1803780513482,766.777933534299,10.5354111515622,13.405837067630856,-25.906356052675783,-31.253180374057543,-14.676316379433835,21.381616368760483,3,40.0,570.2912621359224,1.5603205007817595
美股,全部,2000-01~2026-08,319,183,0.5954990647504318,1.0631657034501887,65.57377049180327,3.398622468878678,-3.385323373556458,1.0039284564145636,1.912244678884883,471.184807953719,1411.9544025654395,6.752762984945626,10.721688727173163,-28.808201671365318,-54.772068693243625,-11.49887749177408,11.92587962463608,6,283.8918918918919,340.32591605993576,2.0610450504418654
美股,40檔,2000-01~2026-08,319,182,0.47946634746438055,0.8657401708332464,64.28571428571429,3.466656893471743,-3.815909929916049,0.9084745072974011,1.6352541131353222,282.53555512621335,1411.9544025654395,5.1599068581510865,10.721688727173163,-33.26250563786507,-54.772068693243625,-13.034530816096353,16.624114330311674,6,40.0,641.0625,1.2306921180955293
台灣,全部,2009-01~2026-08,211,125,0.971665239681725,1.7171163304433572,64.8,5.742348726118123,-5.692970579776098,1.0086735291619875,1.856876269593659,438.5550004794218,3747.61339858371,9.999416370408198,22.949797193196495,-41.38977079703127,-33.949393209911335,-32.48250619460583,22.493981526992822,6,91.59375,374.9629237456851,0.755263562126791
台灣,40檔,2009-01~2026-08,211,126,0.8648706173672674,1.5246952120188735,61.111111111111114,5.964327629765982,-5.451870015869444,1.0939966676397022,1.7191376205766749,327.17060048810663,3747.61339858371,8.566144823690047,22.949797193196495,-42.580911960129576,-33.949393209911335,-33.661669616952466,21.060264732149246,6,39.3046875,570.9143686502177,0.41113440043225324
韓國,全部,2007-01~2026-08,235,103,0.12662022200722778,0.3403394075854054,47.57281553398058,6.162381592746771,-4.942624797468426,1.2467832063447533,1.1313403168683873,-1.2219374364002,936.3371768895431,-0.06249560599248527,12.62521888615935,-47.93260689065356,-34.70992451207774,-35.47879326571395,26.278580901596584,5,105.47115384615384,324.95551582432256,-0.6537413181120408
韓國,40檔,2007-01~2026-08,235,104,0.1979317863387382,0.4977304787461872,53.84615384615385,5.60407142506633,-5.4596672919606455,1.0264492551255493,1.1975241309798075,15.72002671313346,936.3371768895431,0.7451533575115965,12.62521888615935,-42.03750983214235,-34.70992451207774,-35.66250934211882,23.848387318252094,4,40.0,452.92372881355936,-0.5424831963482191
