month_end,n,k,longs,shorts,cot_EUR,cot_AUD,cot_JPY,cot_CHF,cot_CAD,cot_GBP,cot_NZD
2003-05-09,5,2,"['CHF', 'JPY']","['CAD', 'EUR']",-1.3206,-1.2793,-0.5472,-0.9484,-1.6366,,
2003-05-16,5,2,"['CHF', 'EUR']","['JPY', 'CAD']",-0.9757,-1.3002,-1.6754,-0.988,-1.5206,,
2003-05-23,5,2,"['CHF', 'EUR']","['JPY', 'CAD']",-0.9716,-1.1441,-1.6853,-1.0672,-1.312,,
2003-05-30,5,2,"['AUD', 'EUR']","['JPY', 'CHF']",-0.6567,-1.0104,-1.6681,-1.2082,-1.0771,,
2003-06-06,5,2,"['CHF', 'JPY']","['AUD', 'EUR']",-1.0895,-1.1042,-0.7273,-0.919,-0.9819,,
2003-06-13,5,2,"['CHF', 'EUR']","['CAD', 'AUD']",-0.3563,-0.905,-0.8166,-0.771,-0.9297,,
2003-06-20,5,2,"['AUD', 'JPY']","['CHF', 'EUR']",-1.2059,-0.939,-0.9092,-1.3497,-0.9763,,
2003-06-27,5,2,"['EUR', 'CHF']","['AUD', 'JPY']",-0.9302,-1.2214,-1.173,-0.6921,-1.0413,,
2003-07-04,5,2,"['CHF', 'JPY']","['AUD', 'CAD']",-0.7643,-1.4223,0.2901,0.0546,-1.0509,,
2003-07-11,5,2,"['JPY', 'CHF']","['AUD', 'CAD']",-0.44,-1.3902,-0.3309,0.6365,-1.1132,,
2003-07-18,5,2,"['EUR', 'CHF']","['AUD', 'JPY']",-0.0188,-1.2034,-0.9845,0.8298,-0.6549,,
2003-07-25,5,2,"['EUR', 'CHF']","['AUD', 'JPY']",0.2652,-1.1362,-0.6193,0.8102,-0.6123,,
2003-08-01,5,2,"['EUR', 'CHF']","['AUD', 'CAD']",0.3412,-1.0856,-0.5898,0.7172,-0.71,,
2003-08-08,5,2,"['CHF', 'JPY']","['AUD', 'CAD']",0.1307,-1.0893,1.1202,0.7596,-0.6269,,
2003-08-15,5,2,"['JPY', 'CHF']","['AUD', 'CAD']",0.1133,-0.9591,0.1372,0.8932,-0.8822,,
2003-08-22,5,2,"['EUR', 'CHF']","['AUD', 'CAD']",0.7136,-0.8585,0.1134,1.3334,-0.726,,
2003-08-29,5,2,"['CHF', 'EUR']","['JPY', 'CAD']",1.4522,-0.3247,-0.7655,1.2315,-0.6858,,
2003-09-05,5,2,"['CHF', 'EUR']","['JPY', 'CAD']",1.5293,0.033,-1.6114,1.2244,-0.8293,,
2003-09-12,5,2,"['CHF', 'EUR']","['JPY', 'CAD']",1.5103,0.3011,-1.7391,0.9009,-1.0488,,
