month_end,n,k,longs,shorts,cot_JPY,cot_CHF,cot_CAD,cot_AUD,cot_MXN,cot_EUR
1997-09-30,5,2,"['CAD', 'AUD']","['MXN', 'CHF']",0.2946,-2.4769,1.0223,1.5149,-2.6366,
1997-10-31,5,2,"['AUD', 'CAD']","['CHF', 'JPY']",-0.538,-1.6675,1.8721,1.1636,-0.4934,
1997-11-28,5,2,"['MXN', 'CAD']","['CHF', 'JPY']",0.2631,-1.7749,1.4673,0.8702,1.4282,
1997-12-31,5,2,"['MXN', 'CAD']","['CHF', 'JPY']",0.7805,0.7165,1.655,1.1756,1.2067,
1998-01-30,5,2,"['CHF', 'CAD']","['AUD', 'MXN']",0.02,0.5334,1.0154,-0.2688,-0.2464,
1998-02-27,5,2,"['CHF', 'MXN']","['CAD', 'AUD']",-0.7115,0.4708,-0.9295,-0.913,0.669,
1998-03-31,5,2,"['CHF', 'JPY']","['CAD', 'MXN']",0.9982,0.8873,-1.7801,-0.1377,-1.6516,
1998-04-30,5,2,"['AUD', 'JPY']","['MXN', 'CAD']",1.1169,0.358,-0.0068,0.4193,-0.7548,
1998-05-29,5,2,"['MXN', 'JPY']","['CHF', 'AUD']",1.5671,-1.1954,1.0117,0.0622,1.1771,
1998-06-30,5,2,"['MXN', 'CAD']","['AUD', 'JPY']",-0.1692,0.8016,1.2853,-1.0792,0.9238,
1998-07-31,5,2,"['CHF', 'CAD']","['AUD', 'MXN']",0.2026,0.5056,1.0153,-1.6969,-0.2828,
1998-08-31,5,2,"['CAD', 'MXN']","['AUD', 'CHF']",-0.1326,-0.2766,0.8008,-0.6081,1.6164,
1998-09-30,5,2,"['AUD', 'MXN']","['JPY', 'CHF']",-2.2274,-2.0438,-0.6054,-0.1871,0.8317,
1998-10-30,5,2,"['CAD', 'MXN']","['AUD', 'JPY']",-1.7963,-1.7383,-1.0679,-2.5205,-0.1224,
1998-11-30,5,2,"['CAD', 'CHF']","['AUD', 'JPY']",-1.3007,-0.0895,-0.5988,-2.1438,-0.7034,
1998-12-31,5,2,"['CHF', 'CAD']","['MXN', 'JPY']",-1.6022,-1.1537,0.4204,-1.2008,-2.8053,
1999-01-29,5,2,"['CHF', 'MXN']","['CAD', 'JPY']",-1.1824,-0.3516,-1.4876,-1.0411,0.8834,
1999-02-26,5,2,"['JPY', 'CHF']","['MXN', 'CAD']",1.0714,1.2323,-1.997,-1.6044,-2.2208,
1999-03-31,5,2,"['JPY', 'CHF']","['MXN', 'CAD']",1.1607,1.5877,-1.7463,-1.1635,-2.1187,
1999-04-30,5,2,"['JPY', 'CHF']","['AUD', 'CAD']",0.9537,1.6231,-2.3423,-2.343,-1.5545,
1999-05-28,5,2,"['CHF', 'JPY']","['AUD', 'CAD']",1.349,0.8515,-1.6581,-1.6654,0.2723,
1999-06-30,5,2,"['CHF', 'JPY']","['CAD', 'AUD']",1.3942,1.1404,-1.3339,-1.0361,-0.7995,
1999-07-30,5,2,"['AUD', 'CAD']","['JPY', 'CHF']",-1.415,-0.7405,1.886,0.5204,0.0179,
1999-08-31,5,2,"['CAD', 'AUD']","['JPY', 'CHF']",-1.5818,-0.6833,0.8412,2.0054,-0.0999,
1999-09-30,5,2,"['CHF', 'AUD']","['JPY', 'MXN']",-1.687,0.2165,-0.3587,1.6198,-0.9406,
1999-10-29,5,2,"['CAD', 'MXN']","['CHF', 'JPY']",-1.1912,-1.9273,0.1681,0.1032,0.9685,
1999-11-30,5,2,"['CHF', 'AUD']","['MXN', 'JPY']",-1.0085,0.3002,-0.4969,1.1505,-1.4084,
1999-12-31,6,2,"['EUR', 'AUD']","['MXN', 'JPY']",-0.7415,0.2129,-0.0593,1.4341,-1.3725,0.6032
2000-01-31,6,2,"['CHF', 'JPY']","['AUD', 'CAD']",0.5452,0.2787,-1.3092,-1.4198,-1.0493,0.1941
2000-02-29,6,2,"['JPY', 'AUD']","['MXN', 'EUR']",0.9175,0.0671,0.3765,0.9271,-1.7395,-0.8677
2000-03-31,6,2,"['CAD', 'AUD']","['MXN', 'CHF']",0.778,0.1411,0.9022,1.4407,-1.8395,0.5042
2000-04-28,6,2,"['AUD', 'CAD']","['EUR', 'JPY']",-0.2061,0.5512,1.3938,1.1558,1.1177,-0.6621
2000-05-31,6,2,"['MXN', 'CAD']","['EUR', 'JPY']",0.5375,0.556,1.8712,0.5871,1.5504,-0.5173
2000-06-30,6,2,"['CAD', 'MXN']","['CHF', 'EUR']",-0.0267,-1.361,1.3926,0.1103,2.6041,-1.3086
2000-07-31,5,2,"['CAD', 'JPY']","['EUR', 'MXN']",1.2718,-0.2004,0.2635,,-0.351,-1.2853
2000-08-31,5,2,"['CAD', 'JPY']","['EUR', 'MXN']",1.1986,0.8395,0.87,,-0.2519,-0.4099
2000-09-29,5,2,"['MXN', 'CAD']","['EUR', 'JPY']",0.1152,0.6212,1.6457,,1.0461,-0.1572
2000-10-31,5,2,"['CAD', 'MXN']","['EUR', 'CHF']",1.3266,0.5503,1.6768,,1.7826,-0.4201
2000-11-30,5,2,"['CAD', 'JPY']","['EUR', 'MXN']",1.3231,0.1988,1.0212,,-0.0459,-0.6478
2000-12-29,5,2,"['CAD', 'JPY']","['EUR', 'CHF']",1.3849,-2.0204,0.2279,,0.177,-2.0237
2001-01-31,5,2,"['JPY', 'MXN']","['CAD', 'CHF']",0.3835,-1.6702,-1.9594,,1.6437,-1.0347
2001-02-28,5,2,"['MXN', 'JPY']","['CAD', 'CHF']",0.3087,-0.4253,-0.721,,0.0293,-0.3153
2001-03-30,5,2,"['CAD', 'CHF']","['MXN', 'JPY']",-1.663,0.8981,0.7419,,-1.692,0.442
2001-04-30,5,2,"['EUR', 'CHF']","['MXN', 'CAD']",0.0775,1.0701,-0.0316,,-1.2841,0.2089
2001-05-31,5,2,"['CHF', 'EUR']","['MXN', 'CAD']",0.1825,1.0955,-0.2264,,-0.8184,1.9604
2001-06-29,5,2,"['CHF', 'JPY']","['CAD', 'MXN']",0.8839,0.8093,-0.8879,,-0.6765,0.5781
2001-07-31,5,2,"['CAD', 'MXN']","['JPY', 'CHF']",-1.4107,-1.1951,0.1795,,0.3141,-0.8189
2001-08-31,5,2,"['MXN', 'CAD']","['JPY', 'CHF']",-2.3512,-1.656,-0.3339,,-0.6236,-1.6066
2001-09-28,5,2,"['MXN', 'CAD']","['JPY', 'CHF']",-2.1541,-1.5882,1.4136,,1.2055,-1.4109
2001-10-31,5,2,"['JPY', 'CAD']","['MXN', 'CHF']",0.5715,-0.7784,0.7495,,-1.4659,0.4172
2001-11-30,5,2,"['CAD', 'EUR']","['MXN', 'CHF']",0.3072,0.241,1.0101,,-1.8963,1.2545
2001-12-31,5,2,"['CAD', 'CHF']","['MXN', 'JPY']",-0.4945,0.8177,0.6436,,-1.3652,-0.0507
2002-01-31,5,2,"['CHF', 'CAD']","['MXN', 'EUR']",0.1962,0.2061,0.8719,,-1.1975,-0.6615
2002-02-28,5,2,"['EUR', 'CHF']","['MXN', 'CAD']",0.2533,0.6423,-0.6182,,-0.7716,0.3221
2002-03-29,5,2,"['JPY', 'CHF']","['MXN', 'EUR']",0.0814,0.0977,-1.0239,,-1.3381,-1.3159
2002-04-30,5,2,"['JPY', 'MXN']","['CAD', 'EUR']",-0.1925,-0.8032,-1.5274,,1.2775,-1.5152
2002-05-31,5,2,"['CHF', 'MXN']","['CAD', 'JPY']",-0.8866,-0.8184,-2.4476,,2.416,-0.8781
2002-06-28,5,2,"['EUR', 'MXN']","['CAD', 'CHF']",-0.8926,-1.1571,-2.015,,2.5049,-0.4155
2002-07-31,5,2,"['JPY', 'MXN']","['CAD', 'CHF']",-0.7279,-0.8785,-1.1417,,0.6597,-0.7587
2002-08-30,5,2,"['JPY', 'MXN']","['CHF', 'CAD']",-0.3409,-0.6641,-0.6634,,0.8905,-0.5856
2002-09-30,5,2,"['JPY', 'MXN']","['CAD', 'EUR']",1.9324,0.7096,-0.3595,,1.9905,-0.1624
2002-10-31,5,2,"['CHF', 'JPY']","['CAD', 'EUR']",1.1933,0.951,-0.9116,,0.7689,-0.0225
2002-11-29,5,2,"['JPY', 'MXN']","['EUR', 'CHF']",0.4035,-0.4814,-0.3616,,0.4222,-1.3955
2002-12-31,5,2,"['JPY', 'MXN']","['CAD', 'CHF']",-0.5631,-1.6025,-1.6557,,-0.3971,-1.1728
2003-01-31,5,2,"['EUR', 'MXN']","['CAD', 'JPY']",-1.6934,-1.3057,-1.7863,,1.5801,-0.5373
2003-02-28,5,2,"['EUR', 'MXN']","['JPY', 'CAD']",-1.9902,-0.5076,-1.4605,,1.2437,0.7451
2003-03-31,5,2,"['JPY', 'EUR']","['CAD', 'MXN']",1.3084,1.221,-1.2039,,-0.0825,2.7859
2003-04-30,5,2,"['JPY', 'CHF']","['MXN', 'CAD']",0.641,1.5216,-0.806,,-1.993,-0.6133
2003-05-30,5,2,"['CAD', 'EUR']","['MXN', 'JPY']",-1.3905,-0.8726,0.0894,,-1.9275,0.1516
