month_end,n,k,longs,shorts,cot_JPY,cot_CHF,cot_CAD,cot_AUD,cot_EUR,cot_MXN
2001-12-31,6,3,"['AUD', 'CHF', 'CAD']","['MXN', 'EUR', 'JPY']",-0.4752,0.3702,0.8223,-0.0609,-0.6538,-1.877
2002-02-28,6,3,"['CAD', 'CHF', 'AUD']","['MXN', 'EUR', 'JPY']",-0.0906,0.3888,0.2274,0.5191,-0.3573,-1.3418
2002-03-29,6,3,"['JPY', 'CHF', 'CAD']","['MXN', 'AUD', 'EUR']",-0.2082,-0.0979,-0.0743,-1.6693,-1.1338,-1.924
2002-04-30,6,3,"['CAD', 'JPY', 'MXN']","['AUD', 'EUR', 'CHF']",-0.3796,-1.0251,-0.4526,-2.0208,-1.3806,0.5886
2002-05-31,6,3,"['EUR', 'JPY', 'MXN']","['CAD', 'AUD', 'CHF']",-0.8819,-1.1533,-1.6214,-1.5444,-1.0854,2.4905
2002-06-28,6,3,"['JPY', 'EUR', 'MXN']","['CAD', 'CHF', 'AUD']",-0.8926,-1.5326,-1.7954,-1.1172,-0.8396,3.2516
2002-07-31,6,3,"['JPY', 'AUD', 'MXN']","['CHF', 'CAD', 'EUR']",-0.8205,-1.3222,-1.1807,-0.2424,-1.0419,0.8643
2002-08-30,6,3,"['JPY', 'AUD', 'MXN']","['CHF', 'EUR', 'CAD']",-0.5936,-1.1099,-0.7189,-0.0612,-0.8901,1.3142
2002-09-30,6,3,"['CHF', 'JPY', 'MXN']","['EUR', 'CAD', 'AUD']",0.7666,0.0949,-0.5499,-0.1662,-0.6126,3.0375
2002-10-31,6,3,"['CHF', 'JPY', 'MXN']","['AUD', 'CAD', 'EUR']",0.3512,0.3337,-1.2066,-1.5553,-0.5661,1.3689
2002-11-29,6,3,"['CHF', 'JPY', 'MXN']","['AUD', 'EUR', 'CAD']",-0.2555,-0.8159,-0.8831,-1.8274,-1.3559,1.0136
2002-12-31,6,3,"['EUR', 'JPY', 'MXN']","['CAD', 'CHF', 'AUD']",-0.824,-1.7814,-2.1166,-1.578,-1.3101,0.013
2003-01-31,6,3,"['CHF', 'EUR', 'MXN']","['CAD', 'AUD', 'JPY']",-1.7229,-1.6202,-2.371,-1.8786,-1.0159,2.6161
2003-02-28,6,3,"['CHF', 'EUR', 'MXN']","['CAD', 'JPY', 'AUD']",-1.9923,-1.0232,-2.1607,-1.5139,-0.4848,2.2066
2003-03-31,6,3,"['JPY', 'EUR', 'MXN']","['CAD', 'AUD', 'CHF']",0.3593,0.0291,-1.9522,-0.5537,0.3989,0.9355
2003-04-30,6,3,"['MXN', 'JPY', 'CHF']","['CAD', 'AUD', 'EUR']",-0.1746,0.1925,-1.6171,-1.2093,-1.0954,-0.3003
2003-05-30,6,3,"['AUD', 'MXN', 'EUR']","['JPY', 'CHF', 'CAD']",-1.6681,-1.2082,-1.0771,-1.0104,-0.6567,-0.8314
