month_end,n,k,longs,shorts,cot_JPY,cot_CHF,cot_CAD,cot_GBP,cot_AUD,cot_MXN,cot_EUR
2001-06-29,6,2,"['CHF', 'JPY']","['MXN', 'EUR']",1.0231,0.719,0.0299,,-0.1641,-0.8753,-0.3788
2001-07-31,6,2,"['MXN', 'CAD']","['EUR', 'CHF']",-0.4456,-0.8213,0.7653,,0.1431,0.1574,-0.9799
2001-08-31,6,2,"['MXN', 'CAD']","['JPY', 'CHF']",-1.4706,-1.4674,0.3543,,-0.8233,-0.7236,-1.4066
2001-09-28,6,2,"['MXN', 'CAD']","['CHF', 'JPY']",-1.661,-1.691,1.7003,,0.3665,1.2386,-1.3471
2001-10-31,6,2,"['JPY', 'CAD']","['MXN', 'CHF']",0.6634,-1.1344,1.0336,,0.0968,-1.6308,-0.4913
2001-11-30,6,2,"['JPY', 'CAD']","['MXN', 'AUD']",0.3044,-0.2223,1.09,,-0.801,-2.3418,-0.073
2001-12-31,6,2,"['CHF', 'CAD']","['MXN', 'EUR']",-0.4752,0.3702,0.8223,,-0.0609,-1.877,-0.6538
2002-01-31,5,2,"['JPY', 'CAD']","['MXN', 'EUR']",-0.0573,-0.1545,0.9796,,,-1.7121,-0.8561
2002-02-28,6,2,"['CHF', 'AUD']","['MXN', 'EUR']",-0.0906,0.3888,0.2274,,0.5191,-1.3418,-0.3573
2002-03-29,6,2,"['CHF', 'CAD']","['MXN', 'AUD']",-0.2082,-0.0979,-0.0743,,-1.6693,-1.924,-1.1338
2002-04-30,6,2,"['JPY', 'MXN']","['AUD', 'EUR']",-0.3796,-1.0251,-0.4526,,-2.0208,0.5886,-1.3806
2002-05-31,6,2,"['JPY', 'MXN']","['CAD', 'AUD']",-0.8819,-1.1533,-1.6214,,-1.5444,2.4905,-1.0854
2002-06-28,6,2,"['EUR', 'MXN']","['CAD', 'CHF']",-0.8926,-1.5326,-1.7954,,-1.1172,3.2516,-0.8396
2002-07-31,6,2,"['AUD', 'MXN']","['CHF', 'CAD']",-0.8205,-1.3222,-1.1807,,-0.2424,0.8643,-1.0419
2002-08-30,6,2,"['AUD', 'MXN']","['CHF', 'EUR']",-0.5936,-1.1099,-0.7189,,-0.0612,1.3142,-0.8901
2002-09-30,6,2,"['JPY', 'MXN']","['EUR', 'CAD']",0.7666,0.0949,-0.5499,,-0.1662,3.0375,-0.6126
2002-10-31,6,2,"['JPY', 'MXN']","['AUD', 'CAD']",0.3512,0.3337,-1.2066,,-1.5553,1.3689,-0.5661
2002-11-29,6,2,"['JPY', 'MXN']","['AUD', 'EUR']",-0.2555,-0.8159,-0.8831,,-1.8274,1.0136,-1.3559
2002-12-31,6,2,"['JPY', 'MXN']","['CAD', 'CHF']",-0.824,-1.7814,-2.1166,,-1.578,0.013,-1.3101
2003-01-31,6,2,"['EUR', 'MXN']","['CAD', 'AUD']",-1.7229,-1.6202,-2.371,,-1.8786,2.6161,-1.0159
2003-02-28,6,2,"['EUR', 'MXN']","['CAD', 'JPY']",-1.9923,-1.0232,-2.1607,,-1.5139,2.2066,-0.4848
2003-03-31,6,2,"['EUR', 'MXN']","['CAD', 'AUD']",0.3593,0.0291,-1.9522,,-0.5537,0.9355,0.3989
2003-04-30,6,2,"['JPY', 'CHF']","['CAD', 'AUD']",-0.1746,0.1925,-1.6171,,-1.2093,-0.3003,-1.0954
2003-05-30,6,2,"['MXN', 'EUR']","['JPY', 'CHF']",-1.6681,-1.2082,-1.0771,,-1.0104,-0.8314,-0.6567
