,ret
1990-01-31,0.0
1990-02-28,0.0
1990-03-31,0.0
1990-04-30,0.0
1990-05-31,0.0
1990-06-30,0.0
1990-07-31,0.0
1990-08-31,0.0
1990-09-30,0.0
1990-10-31,0.0
1990-11-30,0.0
1990-12-31,0.0
1991-01-31,0.0
1991-02-28,0.0
1991-03-31,0.0
1991-04-30,0.0
1991-05-31,0.0
1991-06-30,0.0
1991-07-31,0.0
1991-08-31,0.0
1991-09-30,0.0
1991-10-31,0.0
1991-11-30,0.0
1991-12-31,0.0
1992-01-31,0.0
1992-02-29,0.0
1992-03-31,0.0
1992-04-30,0.0
1992-05-31,0.0
1992-06-30,0.0
1992-07-31,0.0
1992-08-31,0.0
1992-09-30,0.0
1992-10-31,0.0
1992-11-30,0.0
1992-12-31,0.0
1993-01-31,0.0
1993-02-28,0.0
1993-03-31,0.0
1993-04-30,0.0
1993-05-31,0.0
1993-06-30,0.0
1993-07-31,0.0
1993-08-31,0.0
1993-09-30,0.0
1993-10-31,0.0
1993-11-30,0.0
1993-12-31,0.0
1994-01-31,0.0
1994-02-28,0.0
1994-03-31,0.0
1994-04-30,0.0
1994-05-31,0.0
1994-06-30,0.0
1994-07-31,0.0
1994-08-31,0.0
1994-09-30,0.0
1994-10-31,0.0
1994-11-30,0.0
1994-12-31,0.0
1995-01-31,0.0
1995-02-28,0.0
1995-03-31,0.0
1995-04-30,0.0
1995-05-31,0.0
1995-06-30,0.0
1995-07-31,0.0
1995-08-31,0.0
1995-09-30,0.0
1995-10-31,0.0
1995-11-30,0.0
1995-12-31,0.0
1996-01-31,0.0
1996-02-29,0.0
1996-03-31,0.0
1996-04-30,0.0
1996-05-31,0.0
1996-06-30,0.0
1996-07-31,0.0
1996-08-31,0.0
1996-09-30,0.0
1996-10-31,0.0
1996-11-30,0.0
1996-12-31,0.0
1997-01-31,0.0
1997-02-28,0.0
1997-03-31,0.0
1997-04-30,0.0
1997-05-31,0.0
1997-06-30,0.0
1997-07-31,0.0
1997-08-31,0.0
1997-09-30,0.0
1997-10-31,0.0
1997-11-30,0.0
1997-12-31,0.0
1998-01-31,0.0
1998-02-28,0.0
1998-03-31,0.0
1998-04-30,0.0
1998-05-31,0.0
1998-06-30,0.0
1998-07-31,0.0
1998-08-31,0.0
1998-09-30,0.0
1998-10-31,0.0
1998-11-30,0.0
1998-12-31,0.0
1999-01-31,0.0
1999-02-28,0.0
1999-03-31,0.0
1999-04-30,0.0
1999-05-31,0.0
1999-06-30,0.0
1999-07-31,0.0
1999-08-31,0.0
1999-09-30,0.0
1999-10-31,0.0
1999-11-30,0.0
1999-12-31,0.0
2000-01-31,-0.013266130488405588
2000-02-29,-0.02320945600263615
2000-03-31,0.02674167097537751
2000-04-30,-0.017455132064612744
2000-05-31,-0.01903900698368244
2000-06-30,-0.02260768437985941
2000-07-31,0.03281918008809184
2000-08-31,0.0034360570823365163
2000-09-30,0.0
2000-10-31,0.010068946386867493
2000-11-30,-0.02199830687365322
2000-12-31,-0.024399067507380703
2001-01-31,0.01654027076472179
2001-02-28,-0.004481694265299731
2001-03-31,0.035284622683347755
2001-04-30,0.009101673931211288
2001-05-31,0.010069252677314906
2001-06-30,-0.020828026869895575
2001-07-31,-0.0009175115590249411
2001-08-31,-0.03354040101230897
2001-09-30,-0.04651367665484795
2001-10-31,0.030654643653946184
2001-11-30,0.008091865368155066
2001-12-31,-0.021893422960664453
2002-01-31,-0.003091163360202696
2002-02-28,-0.0008686948588694625
2002-03-31,0.005670111548275797
2002-04-30,0.03060394301648508
2002-05-31,-0.01821785418186591
2002-06-30,-0.002570371493953211
2002-07-31,0.027686519856003938
2002-08-31,0.010825015974380554
2002-09-30,-0.023439855278039497
2002-10-31,-0.01524955864073601
2002-11-30,-0.006040120656197875
2002-12-31,0.008603046258130022
2003-01-31,-0.039468986932109144
2003-02-28,-0.03059288324137993
2003-03-31,0.009198298287331368
2003-04-30,0.00233704109035104
2003-05-31,-0.037723867572227135
