ticker,ib_symbol,exchange,currency,con_id,signal_date,ib_close,next_date,ib_next_open,ib_next_close,status,note
AAPL,AAPL,SMART,USD,265598,2026-09-21,338.98,2026-09-22,340.14,339.75,ok,
ABCL,ABCL,SMART,USD,459919952,2026-09-21,12.66,2026-09-22,12.56,12.65,ok,
ACA,ACA,SMART,USD,336517320,2026-09-21,146.22,2026-09-22,146.44,146.6,ok,
ADI,ADI,SMART,USD,4157,2026-09-21,383.0,2026-09-22,382.19,390.37,ok,
ADM,ADM,SMART,USD,4165,2026-09-21,83.38,2026-09-22,82.88,82.34,ok,
ADPT,ADPT,SMART,USD,372849716,2026-09-21,27.86,2026-09-22,27.39,28.06,ok,
AMD,AMD,SMART,USD,4391,2026-09-21,615.52,2026-09-22,606.57,623.77,ok,
AMG,AMG,SMART,USD,6607470,2026-09-21,364.66,2026-09-22,366.04,360.28,ok,
AMLX,AMLX,SMART,USD,536581807,2026-09-21,32.39,2026-09-22,32.52,33.0,ok,
ANET,ANET,SMART,USD,740948854,2026-09-21,205.42,2026-09-22,204.35,205.19,ok,
APA,APA,SMART,USD,474515500,2026-09-21,43.81,2026-09-22,42.95,42.3,ok,
APH,APH,SMART,USD,4493,2026-09-21,80.72,2026-09-22,80.19,82.84,ok,
ARW,ARW,SMART,USD,4568,2026-09-21,219.1,2026-09-22,219.0,221.83,ok,
ATKR,ATKR,SMART,USD,236205569,2026-09-21,94.47,2026-09-22,94.5,94.5,ok,
AU,AU,SMART,USD,655276604,2026-09-21,101.93,2026-09-22,101.24,104.6,ok,
AVT,AVT,SMART,USD,4691,2026-09-21,95.48,2026-09-22,95.35,98.25,ok,
BAP,BAP,SMART,USD,2006458,2026-09-21,389.97,2026-09-22,389.43,393.22,ok,
BBY,BBY,SMART,USD,4817,2026-09-21,93.22,2026-09-22,94.42,94.82,ok,
BE,BE,SMART,USD,326398514,2026-09-21,272.89,2026-09-22,274.16,276.53,ok,
BFH,BFH,SMART,USD,12362013,2026-09-21,108.0,2026-09-22,108.92,102.69,ok,
BFLY,BFLY,SMART,USD,470662751,2026-09-21,8.14,2026-09-22,8.85,9.93,ok,
BIIB,BIIB,SMART,USD,26734397,2026-09-21,219.07,2026-09-22,219.22,225.36,ok,
BMO,BMO,SMART,USD,5094,2026-09-21,177.19,2026-09-22,177.63,174.35,ok,
BNS,BNS,SMART,USD,15156975,2026-09-21,95.35,2026-09-22,95.44,94.06,ok,
BRKR,BRKR,SMART,USD,9905742,2026-09-21,61.58,2026-09-22,62.29,61.21,ok,
BTE,BTE,SMART,USD,82487862,2026-09-21,4.67,2026-09-22,4.6,4.58,ok,
C,C,SMART,USD,87335484,2026-09-21,135.05,2026-09-22,134.87,132.47,ok,
CDNA,CDNA,SMART,USD,160758513,2026-09-21,54.33,2026-09-22,54.44,56.49,ok,
CGON,CGON,SMART,USD,680176947,2026-09-21,78.25,2026-09-22,78.31,77.74,ok,
CHEF,CHEF,SMART,USD,91869066,2026-09-21,110.7,2026-09-22,111.9,108.36,ok,
CLBK,CLBK,SMART,USD,902968711,2026-09-21,11.6,2026-09-22,11.65,11.38,ok,
CLMT,CLMT,SMART,USD,715002751,2026-09-21,58.12,2026-09-22,56.64,56.42,ok,
CNK,CNK,SMART,USD,43739720,2026-09-21,36.25,2026-09-22,36.79,35.88,ok,
CNQ,CNQ,SMART,USD,11926119,2026-09-21,48.28,2026-09-22,47.68,47.77,ok,
COHU,COHU,SMART,USD,4728453,2026-09-21,60.62,2026-09-22,59.48,64.54,ok,
COP,COP,SMART,USD,10885,2026-09-21,127.53,2026-09-22,125.98,125.27,ok,
CORT,CORT,SMART,USD,28565190,2026-09-21,113.76,2026-09-22,113.96,117.505,ok,
CRGY,CRGY,SMART,USD,530965685,2026-09-21,13.26,2026-09-22,13.08,13.01,ok,
CRL,CRL,SMART,USD,2730877,2026-09-21,279.01,2026-09-22,280.19,285.11,ok,
CRWD,CRWD,SMART,USD,370757467,2026-09-21,249.35,2026-09-22,248.21,250.06,ok,
CVE,CVE,SMART,USD,70021622,2026-09-21,31.57,2026-09-22,30.81,31.32,ok,
CVX,CVX,SMART,USD,5684,2026-09-21,203.67,2026-09-22,201.87,202.41,ok,
DDOG,DDOG,SMART,USD,383858515,2026-09-21,245.05,2026-09-22,245.67,247.47,ok,
DE,DE,SMART,USD,6393,2026-09-21,684.73,2026-09-22,688.73,703.12,ok,
DELL,DELL,SMART,USD,346218218,2026-09-21,575.31,2026-09-22,569.8,548.92,ok,
DGX,DGX,SMART,USD,2459465,2026-09-21,244.88,2026-09-22,228.59,234.76,ok,
DHT,DHT,SMART,USD,110322264,2026-09-21,22.45,2026-09-22,21.8,21.39,ok,
DINO,DINO,SMART,USD,550324178,2026-09-21,109.29,2026-09-22,107.14,106.69,ok,
DK,DK,SMART,USD,280731752,2026-09-21,74.37,2026-09-22,71.96,73.34,ok,
DOCN,DOCN,SMART,USD,478483393,2026-09-21,146.16,2026-09-22,144.34,146.0,ok,
DVN,DVN,SMART,USD,754442,2026-09-21,47.59,2026-09-22,46.8,46.93,ok,
ELV,ELV,SMART,USD,173962302,2026-09-21,409.31,2026-09-22,412.07,402.43,ok,
ENTG,ENTG,SMART,USD,9653775,2026-09-21,143.14,2026-09-22,141.42,151.11,ok,
EQIX,EQIX,SMART,USD,181764593,2026-09-21,1057.26,2026-09-22,1051.91,1059.26,ok,
EQNR,EQNR,SMART,USD,316805238,2026-09-21,42.49,2026-09-22,41.59,41.81,ok,
EWTX,EWTX,SMART,USD,478811047,2026-09-21,44.64,2026-09-22,45.0,44.51,ok,
EXEL,EXEL,SMART,USD,8088389,2026-09-21,57.22,2026-09-22,57.65,58.15,ok,
EXPD,EXPD,SMART,USD,269082,2026-09-21,192.15,2026-09-22,192.33,187.51,ok,
FCFS,FCFS,SMART,USD,533620436,2026-09-21,216.12,2026-09-22,218.94,220.87,ok,
FCX,FCX,SMART,USD,7089,2026-09-21,72.16,2026-09-22,72.65,74.35,ok,
FFIV,FFIV,SMART,USD,6248713,2026-09-21,450.1,2026-09-22,447.19,453.33,ok,
FIVE,FIVE,SMART,USD,110650558,2026-09-21,236.14,2026-09-22,236.39,232.28,ok,
FIVN,FIVN,SMART,USD,147887136,2026-09-21,37.01,2026-09-22,37.12,38.65,ok,
FRO,FRO,SMART,USD,604736961,2026-09-21,49.81,2026-09-22,48.09,47.92,ok,
FROG,FROG,SMART,USD,445419999,2026-09-21,92.0,2026-09-22,93.12,89.95,ok,
FSLY,FSLY,SMART,USD,366131373,2026-09-21,27.42,2026-09-22,27.87,26.08,ok,
FTNT,FTNT,SMART,USD,70236214,2026-09-21,175.23,2026-09-22,176.14,174.26,ok,
GGB,GGB,SMART,USD,6607990,2026-09-21,5.0,2026-09-22,4.92,5.02,ok,
GH,GH,SMART,USD,335906876,2026-09-21,173.87,2026-09-22,171.82,177.16,ok,
GILD,GILD,SMART,USD,269753,2026-09-21,150.56,2026-09-22,150.5,152.67,ok,
GOOG,GOOG,SMART,USD,208813720,2026-09-21,350.87,2026-09-22,353.24,347.41,ok,
GOOGL,GOOGL,SMART,USD,208813719,2026-09-21,354.97,2026-09-22,357.75,351.16,ok,
GSAT,GSAT,SMART,USD,760229174,2026-09-21,83.04,2026-09-22,82.8,82.52,ok,
HALO,HALO,SMART,USD,30212431,2026-09-21,111.45,2026-09-22,111.67,115.13,ok,
HBM,HBM,SMART,USD,38590542,2026-09-21,26.65,2026-09-22,26.875,27.74,ok,
HNGE,HNGE,SMART,USD,786034490,2026-09-21,94.45,2026-09-22,94.45,94.15,ok,
HP,HP,SMART,USD,8097,2026-09-21,40.29,2026-09-22,39.72,39.79,ok,
HPE,HPE,SMART,USD,209411798,2026-09-21,61.75,2026-09-22,61.75,61.03,ok,
HSBC,HSBC,SMART,USD,4875668,2026-09-21,103.21,2026-09-22,102.45,101.59,ok,
HTFL,HTFL,SMART,USD,805357791,2026-09-21,50.33,2026-09-22,50.92,50.17,ok,
HUT,HUT,SMART,USD,669228291,2026-09-21,103.42,2026-09-22,102.0,106.61,ok,
IBKR,IBKR,SMART,USD,43645865,2026-09-21,93.21,2026-09-22,93.2,91.88,ok,
IFF,IFF,SMART,USD,8385,2026-09-21,83.6,2026-09-22,84.81,85.79,ok,
ILMN,ILMN,SMART,USD,9869443,2026-09-21,238.82,2026-09-22,237.09,247.46,ok,
IMAX,IMAX,SMART,USD,4813359,2026-09-21,54.04,2026-09-22,54.13,53.59,ok,
INCY,INCY,SMART,USD,4369855,2026-09-21,124.65,2026-09-22,124.72,126.93,ok,
ING,ING,SMART,USD,2865956,2026-09-21,36.91,2026-09-22,36.96,36.41,ok,
INSW,INSW,SMART,USD,254791638,2026-09-21,109.1,2026-09-22,105.0,103.95,ok,
INTC,INTC,SMART,USD,270639,2026-09-21,121.78,2026-09-22,120.07,123.86,ok,
IRDM,IRDM,SMART,USD,69195736,2026-09-21,48.21,2026-09-22,48.5,48.65,ok,
IVZ,IVZ,SMART,USD,47550606,2026-09-21,31.38,2026-09-22,30.7,30.85,ok,
JCI,JCI,SMART,USD,244164913,2026-09-21,145.18,2026-09-22,145.0,146.44,ok,
JNJ,JNJ,SMART,USD,8719,2026-09-21,269.47,2026-09-22,268.04,269.19,ok,
JXN,JXN,SMART,USD,510424230,2026-09-21,131.87,2026-09-22,132.34,129.57,ok,
KEYS,KEYS,SMART,USD,170167160,2026-09-21,342.03,2026-09-22,339.89,347.32,ok,
KNSA,KNSA,SMART,USD,712953347,2026-09-21,78.13,2026-09-22,78.09,78.0,ok,
KO,KO,SMART,USD,8894,2026-09-21,87.12,2026-09-22,87.6,88.61,ok,
KYMR,KYMR,SMART,USD,441337440,2026-09-21,117.67,2026-09-22,118.85,122.06,ok,
LFST,LFST,SMART,USD,495923492,2026-09-21,12.67,2026-09-22,12.7,12.55,ok,
LITE,LITE,SMART,USD,201113895,2026-09-21,954.49,2026-09-22,937.17,945.67,ok,
MAN,MAN,SMART,USD,9355,2026-09-21,56.55,2026-09-22,57.5,57.63,ok,
MATX,MATX,SMART,USD,108649896,2026-09-21,234.72,2026-09-22,234.13,226.78,ok,
MEOH,MEOH,SMART,USD,276278,2026-09-21,58.7,2026-09-22,57.81,57.81,ok,
MFC,MFC,SMART,USD,1447100,2026-09-21,44.58,2026-09-22,44.6,44.17,ok,
MPC,MPC,SMART,USD,89495776,2026-09-21,402.38,2026-09-22,391.68,389.68,ok,
MRK,MRK,SMART,USD,70101545,2026-09-21,149.5,2026-09-22,148.69,150.91,ok,
MRVL,MRVL,SMART,USD,483492393,2026-09-21,257.38,2026-09-22,255.46,262.36,ok,
MRX,MRX,SMART,USD,897521541,2026-09-21,75.71,2026-09-22,76.0,72.65,ok,
MSGS,MSGS,SMART,USD,206591285,2026-09-21,400.09,2026-09-22,401.36,396.62,ok,
MT,MT,SMART,USD,276046464,2026-09-21,72.54,2026-09-22,73.26,73.78,ok,
MTRN,MTRN,SMART,USD,84822089,2026-09-21,254.63,2026-09-22,255.39,253.3,ok,
