ticker,ib_symbol,exchange,currency,con_id,signal_date,ib_close,next_date,ib_next_open,ib_next_close,status,note
1F2.SI,1F2,SGX,SGD,282950437,2026-09-23,0.465,2026-09-24,0.465,0.465,ok,
42C.SI,42C,SGX,SGD,200994402,2026-09-23,0.565,2026-09-24,0.575,0.595,ok,
558.SI,558,SGX,SGD,92215034,2026-09-23,2.65,2026-09-24,2.69,2.72,ok,
5VS.SI,5VS,SGX,SGD,131253488,2026-09-23,0.615,2026-09-24,0.62,0.615,ok,
5WA.SI,5WA,SGX,SGD,185914556,2026-09-23,0.049,2026-09-24,0.048,0.049,ok,
A31.SI,A31,SGX,SGD,92215331,2026-09-23,0.19,2026-09-24,0.191,0.185,ok,
AGS.SI,AGS,SGX,SGD,174961850,2026-09-23,2.81,2026-09-24,2.79,2.8,ok,
AWX.SI,AWX,SGX,SGD,258507852,2026-09-23,9.96,2026-09-24,9.89,9.6,ok,
BS6.SI,BS6,SGX,SGD,92214256,2026-09-23,5.18,2026-09-24,5.21,5.17,ok,
D05.SI,D05,SGX,SGD,15785538,2026-09-23,77.69,2026-09-24,77.46,77.48,ok,
DM0.SI,DM0,SGX,SGD,92216410,2026-09-23,0.5,2026-09-24,0.5,0.505,ok,
EB5.SI,EB5,SGX,SGD,92213977,2026-09-23,4.44,2026-09-24,4.54,4.66,ok,
H78.SI,H78,SGX,SGD,,2026-09-23,,,,,no_contract,
O39.SI,O39,SGX,SGD,15785520,2026-09-23,31.65,2026-09-24,31.69,31.59,ok,
P52.SI,P52,SGX,SGD,92216770,2026-09-23,1.68,2026-09-24,1.69,1.69,ok,
P8Z.SI,P8Z,SGX,SGD,208909334,2026-09-23,2.1,2026-09-24,2.16,2.2,ok,
PCT.SI,PCT,SGX,SGD,741464276,2026-09-23,3.13,2026-09-24,3.12,3.09,ok,
QZG.SI,QZG,SGX,SGD,376925064,2026-09-23,0.179,2026-09-24,0.175,0.172,ok,
RE4.SI,RE4,SGX,SGD,134213814,2026-09-23,0.555,2026-09-24,0.56,0.56,ok,
S61.SI,S61,SGX,SGD,92215802,2026-09-23,3.7,2026-09-24,3.7,3.68,ok,
U11.SI,U11,SGX,SGD,15785555,2026-09-23,42.84,2026-09-24,42.61,42.5,ok,
