Date,Shares
2024-01-13,37108700
2024-01-16,37108700
2024-01-19,37108700
2024-01-25,37108700
2024-01-30,37108700
2024-02-01,37108700
2024-02-03,37108700
2024-02-06,37108700
2024-02-08,37108700
2024-02-13,37108700
2024-02-14,37108700
2024-02-15,37119100
2024-02-16,37108700
2024-02-22,37108700
2024-02-24,37108700
2024-02-28,37108700
2024-02-29,37108700
2024-03-07,37108700
2024-03-09,37108700
2024-03-12,37108700
2024-03-13,37017200
2024-03-15,37017200
2024-03-16,37017200
2024-03-19,37017200
2024-03-21,37017200
2024-03-22,37017200
2024-03-26,37358700
2024-03-27,37017200
2024-04-02,37017200
2024-04-03,37017200
2024-04-05,37017200
2024-04-09,37017200
2024-04-11,37017200
2024-04-17,37017200
2024-04-18,37017200
2024-04-23,37017200
2024-04-24,37017200
2024-04-27,37017200
2024-04-30,37017200
2024-05-01,37017200
2024-05-03,37017200
2024-05-04,37017200
2024-05-08,37017200
2024-05-10,37017200
2024-05-11,37017200
2024-05-14,37017200
2024-05-15,37291200
2024-05-16,37017200
2024-05-17,37017200
2024-05-18,37017200
2024-05-21,37017200
2024-05-23,37017200
2024-05-24,37017200
2024-05-25,37017200
2024-05-29,37017200
2024-06-05,37017200
2024-06-06,37017200
2024-06-07,37017200
2024-06-12,37017200
2024-06-15,37017200
2024-06-21,37017200
2024-06-25,36396100
2024-07-03,36716400
2024-07-10,36396100
2024-07-18,37111500
2024-07-19,37111500
2024-07-20,37111500
2024-07-23,37111500
2024-07-24,37111500
2024-07-25,37228900
2024-07-26,37111500
2024-07-31,37111500
2024-08-03,37111500
2024-08-06,37111500
2024-08-09,37111500
2024-08-13,37111500
2024-08-16,37111500
2024-08-17,37111500
2024-08-20,37111500
2024-08-21,37111500
2024-08-23,37111500
2024-08-24,37111500
2024-08-27,37111500
2024-08-29,37111500
2024-08-30,37111500
2024-09-03,37111500
2024-09-06,36400700
2024-09-07,37002100
2024-09-17,36491500
2024-10-24,36766000
2024-10-26,36400700
2024-10-30,36413400
2024-10-31,36418000
2024-11-05,36400700
2024-11-14,36400700
2024-11-30,36408400
2024-12-03,36400700
2024-12-04,36711000
2024-12-11,36509800
2024-12-13,36582700
2024-12-14,36402200
2024-12-19,36402200
2024-12-21,36402200
