ticker,start,end
1332.T,2008-06-30,
1333.T,2015-06-30,2024-06-30
1334.T,2009-06-30,2015-06-30
1605.T,2008-06-30,
1721.T,2008-06-30,
1801.T,2008-06-30,
1802.T,2008-06-30,
1803.T,2008-06-30,
1808.T,2016-06-30,
1812.T,2008-06-30,
1861.T,2008-06-30,2009-06-30
1925.T,2008-06-30,
1928.T,2008-06-30,
1963.T,2008-06-30,
2002.T,2008-06-30,
2202.T,2008-06-30,2009-06-30
2261.T,2008-06-30,2009-06-30
2269.T,2009-06-30,
2282.T,2008-06-30,
2413.T,2021-06-30,
2432.T,2016-06-30,
2501.T,2008-06-30,
2502.T,2008-06-30,
2503.T,2008-06-30,
2531.T,2008-06-30,2026-06-30
2602.T,2008-06-30,2009-06-30
2768.T,2008-06-30,
2779.T,2008-06-30,2009-06-30
2801.T,2008-06-30,
2802.T,2008-06-30,
285A.T,2026-06-30,
2871.T,2008-06-30,
2914.T,2008-06-30,
3086.T,2009-06-30,
3092.T,2026-06-30,
3099.T,2009-06-30,
3101.T,2008-06-30,2024-06-30
3103.T,2008-06-30,2024-06-30
3105.T,2008-06-30,2022-06-30
3110.T,2008-06-30,2016-06-30
3289.T,2016-06-30,
3382.T,2008-06-30,
3401.T,2008-06-30,
3402.T,2008-06-30,
3404.T,2008-06-30,2011-06-30
3405.T,2008-06-30,
3407.T,2008-06-30,
3436.T,2009-06-30,
3659.T,2021-06-30,
3697.T,2026-06-30,
3861.T,2008-06-30,
3863.T,2015-06-30,2026-06-30
3864.T,2008-06-30,2015-06-30
3865.T,2008-06-30,2018-06-30
3893.T,2008-06-30,2015-06-30
4004.T,2008-06-30,
4005.T,2008-06-30,
4021.T,2008-06-30,
4041.T,2008-06-30,2017-06-30
4042.T,2008-06-30,
4043.T,2015-06-30,
4045.T,2008-06-30,2009-06-30
4061.T,2008-06-30,
4063.T,2008-06-30,
4151.T,2008-06-30,
4183.T,2008-06-30,
4188.T,2008-06-30,
4208.T,2008-06-30,
4272.T,2008-06-30,2021-06-30
4307.T,2026-06-30,
4324.T,2008-06-30,
4385.T,2024-06-30,
4452.T,2008-06-30,
4502.T,2008-06-30,
4503.T,2008-06-30,
4506.T,2008-06-30,
4507.T,2008-06-30,
4519.T,2008-06-30,
4523.T,2008-06-30,
4543.T,2008-06-30,
4568.T,2008-06-30,
4578.T,2020-06-30,
4631.T,2020-06-30,2026-06-30
4661.T,2024-06-30,
4689.T,2008-06-30,
4704.T,2008-06-30,
4751.T,2021-06-30,
4755.T,2017-06-30,
4795.T,2008-06-30,2009-06-30
4901.T,2008-06-30,
4902.T,2008-06-30,
4911.T,2008-06-30,
5001.T,2008-06-30,2013-06-30
5002.T,2008-06-30,2020-06-30
5016.T,2008-06-30,2011-06-30
5019.T,2020-06-30,
5020.T,2013-06-30,
5101.T,2008-06-30,
5108.T,2008-06-30,
5201.T,2008-06-30,
5202.T,2008-06-30,2026-06-30
