code,ticker,name,sector
7012,7012.T,"KAWASAKI HEAVY IND., LTD.",Shipbuilding
7013,7013.T,IHI CORP.,Machinery
7186,7186.T,"YOKOHAMA FINANCIAL GROUP, INC.",Banking
7201,7201.T,"NISSAN MOTOR CO., LTD.",Automobiles & Auto parts
7202,7202.T,ISUZU MOTORS LTD.,Automobiles & Auto parts
7203,7203.T,TOYOTA MOTOR CORP.,Automobiles & Auto parts
7211,7211.T,MITSUBISHI MOTORS CORP.,Automobiles & Auto parts
7261,7261.T,MAZDA MOTOR CORP.,Automobiles & Auto parts
7267,7267.T,"HONDA MOTOR CO., LTD.",Automobiles & Auto parts
7269,7269.T,SUZUKI MOTOR CORP.,Automobiles & Auto parts
7270,7270.T,SUBARU CORP.,Automobiles & Auto parts
7272,7272.T,"YAMAHA MOTOR CO., LTD.",Automobiles & Auto parts
7453,7453.T,"RYOHIN KEIKAKU CO., LTD.",Retail
7532,7532.T,PAN PACIFIC INTERNATIONAL HOLDINGS CORP.,Retail
7731,7731.T,NIKON CORP.,Precision Instruments
7733,7733.T,OLYMPUS CORP.,Precision Instruments
7735,7735.T,"SCREEN HOLDINGS CO., LTD.",Electric Machinery
7741,7741.T,HOYA CORP.,Precision Instruments
7751,7751.T,CANON INC.,Electric Machinery
7752,7752.T,"RICOH CO., LTD.",Electric Machinery
7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Other Manufacturing
7911,7911.T,TOPPAN HOLDINGS INC.,Other Manufacturing
7912,7912.T,"DAI NIPPON PRINTING CO., LTD.",Other Manufacturing
7951,7951.T,YAMAHA CORP.,Other Manufacturing
7974,7974.T,"NINTENDO CO., LTD.",Services
8001,8001.T,ITOCHU CORP.,Trading Companies
8002,8002.T,MARUBENI CORP.,Trading Companies
8015,8015.T,TOYOTA TSUSHO CORP.,Trading Companies
8031,8031.T,"MITSUI & CO., LTD.",Trading Companies
8035,8035.T,TOKYO ELECTRON LTD.,Electric Machinery
8053,8053.T,SUMITOMO CORP.,Trading Companies
8058,8058.T,MITSUBISHI CORP.,Trading Companies
8233,8233.T,"TAKASHIMAYA CO., LTD.",Retail
8252,8252.T,"MARUI GROUP CO., LTD.",Retail
8253,8253.T,"CREDIT SAISON CO., LTD.",Other Financial Services
8267,8267.T,"AEON CO., LTD.",Retail
8304,8304.T,"AOZORA BANK, LTD.",Banking
8306,8306.T,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Banking
8308,8308.T,"RESONA HOLDINGS, INC.",Banking
8309,8309.T,"SUMITOMO MITSUI TRUST GROUP, INC.",Banking
8316,8316.T,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",Banking
8331,8331.T,"THE CHIBA BANK, LTD.",Banking
8354,8354.T,"FUKUOKA FINANCIAL GROUP, INC.",Banking
8411,8411.T,"MIZUHO FINANCIAL GROUP, INC.",Banking
8591,8591.T,ORIX CORP.,Other Financial Services
8601,8601.T,DAIWA SECURITIES GROUP INC.,Securities
8604,8604.T,"NOMURA HOLDINGS, INC.",Securities
8630,8630.T,"SOMPO HOLDINGS, INC.",Insurance
8697,8697.T,"JAPAN EXCHANGE GROUP, INC.",Other Financial Services
8725,8725.T,"MS&AD INSURANCE GROUP HOLDINGS, INC.",Insurance
8750,8750.T,"DAIICHI LIFE GROUP, INC.",Insurance
8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Insurance
8795,8795.T,"T&D HOLDINGS, INC.",Insurance
8801,8801.T,"MITSUI FUDOSAN CO., LTD.",Real Estate
8802,8802.T,"MITSUBISHI ESTATE CO., LTD.",Real Estate
8804,8804.T,"TOKYO TATEMONO CO., LTD.",Real Estate
8830,8830.T,"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",Real Estate
9001,9001.T,"TOBU RAILWAY CO., LTD.",Railway & Bus
9005,9005.T,TOKYU CORP.,Railway & Bus
9007,9007.T,"ODAKYU ELECTRIC RAILWAY CO., LTD.",Railway & Bus
9008,9008.T,KEIO CORP.,Railway & Bus
9009,9009.T,"KEISEI ELECTRIC RAILWAY CO., LTD.",Railway & Bus
9020,9020.T,EAST JAPAN RAILWAY CO.,Railway & Bus
9021,9021.T,WEST JAPAN RAILWAY CO.,Railway & Bus
9022,9022.T,"CENTRAL JAPAN RAILWAY CO., LTD.",Railway & Bus
9064,9064.T,"YAMATO HOLDINGS CO., LTD.",Land Transport
9101,9101.T,NIPPON YUSEN K.K.,Marine Transport
9104,9104.T,"MITSUI O.S.K.LINES, LTD.",Marine Transport
9107,9107.T,"KAWASAKI KISEN KAISHA, LTD.",Marine Transport
9147,9147.T,"NIPPON EXPRESS HOLDINGS, INC.",Land Transport
9201,9201.T,"JAPAN AIRLINES CO., LTD.",Air Transport
9202,9202.T,ANA HOLDINGS INC.,Air Transport
9432,9432.T,"NTT, INC.",Communications
9433,9433.T,KDDI CORP.,Communications
9434,9434.T,SOFTBANK CORP.,Communications
9501,9501.T,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, I",Electric Power
9502,9502.T,"CHUBU ELECTRIC POWER CO., INC.",Electric Power
9503,9503.T,"THE KANSAI ELECTRIC POWER CO., INC.",Electric Power
9531,9531.T,"TOKYO GAS CO., LTD.",Gas
9532,9532.T,"OSAKA GAS CO., LTD.",Gas
9602,9602.T,"TOHO CO., LTD",Services
9735,9735.T,"SECOM CO., LTD.",Services
9766,9766.T,KONAMI GROUP CORP.,Services
9843,9843.T,"NITORI HOLDINGS CO., LTD.",Retail
9983,9983.T,"FAST RETAILING CO., LTD.",Retail
9984,9984.T,SOFTBANK GROUP CORP.,Communications
