date,market,market_zh,window_months,sector,ticker,name,close,prior_high,pct_above_ma200,longest_months,streak_window,streak_longest,yahoo_ticker
2026-09-22,us,美股,12,科技,AMD,Advanced Micro Devices,623.77,616.69,73.9,12,2,2,AMD
2026-09-22,us,美股,12,科技,FFIV,F5,453.33,451.02,34.3,12,2,2,FFIV
2026-09-22,us,美股,12,醫療,A,Agilent Technologies,167.26,163.75,27.3,12,1,1,A
2026-09-22,us,美股,12,醫療,MRNA,Moderna,182.56,176.86,195.5,12,1,1,MRNA
2026-09-22,us,美股,9,科技,AMD,Advanced Micro Devices,623.77,616.69,73.9,12,2,2,AMD
2026-09-22,us,美股,9,科技,FFIV,F5,453.33,451.02,34.3,12,2,2,FFIV
2026-09-22,us,美股,9,醫療,A,Agilent Technologies,167.26,163.75,27.3,12,1,1,A
2026-09-22,us,美股,9,醫療,MRNA,Moderna,182.56,176.86,195.5,12,1,1,MRNA
2026-09-22,us,美股,6,醫療,A,Agilent Technologies,167.26,163.75,27.3,12,1,1,A
2026-09-22,us,美股,6,醫療,DHR,Danaher,221.09,220.67,9.8,6,1,1,DHR
2026-09-22,us,美股,6,醫療,MRNA,Moderna,182.56,176.86,195.5,12,1,1,MRNA
2026-09-22,us,美股,6,醫療,MTD,Mettler-Toledo International,1490.76,1474.19,13.4,6,1,1,MTD
2026-09-22,us,美股,6,科技,AMD,Advanced Micro Devices,623.77,616.69,73.9,12,2,2,AMD
2026-09-22,us,美股,6,科技,FFIV,F5,453.33,451.02,34.3,12,2,2,FFIV
2026-09-22,us,美股,3,醫療,A,Agilent Technologies,167.26,163.75,27.3,12,1,1,A
2026-09-22,us,美股,3,醫療,DHR,Danaher,221.09,220.67,9.8,6,1,1,DHR
2026-09-22,us,美股,3,醫療,MRNA,Moderna,182.56,176.86,195.5,12,1,1,MRNA
2026-09-22,us,美股,3,醫療,MTD,Mettler-Toledo International,1490.76,1474.19,13.4,6,1,1,MTD
2026-09-22,us,美股,3,科技,AMD,Advanced Micro Devices,623.77,616.69,73.9,12,2,2,AMD
2026-09-22,us,美股,3,科技,FFIV,F5,453.33,451.02,34.3,12,2,2,FFIV
