date,market,market_zh,window_months,sector,ticker,name,close,prior_high,pct_above_ma200,yahoo_ticker
2026-09-11,jp,日股,12,通訊/互聯網,9434.JP,ソフトバンク,246.9,245,13.6,9434.T
2026-09-11,jp,日股,9,通訊/互聯網,9434.JP,ソフトバンク,246.9,245,13.6,9434.T
2026-09-11,jp,日股,6,通訊/互聯網,9434.JP,ソフトバンク,246.9,245,13.6,9434.T
2026-09-11,jp,日股,3,公用,9532.JP,大阪瓦斯,6039,6003,5.4,9532.T
2026-09-11,jp,日股,3,通訊/互聯網,9434.JP,ソフトバンク,246.9,245,13.6,9434.T
2026-09-11,us,美股,12,科技,DELL,Dell Technologies,567.29,562.99,117.2,DELL
2026-09-11,us,美股,12,科技,HPQ,HP,35.48,33.17,57.4,HPQ
2026-09-11,us,美股,12,工業,EXPD,Expeditors International of Washington,192.6,192.28,21.0,EXPD
2026-09-11,us,美股,9,科技,DELL,Dell Technologies,567.29,562.99,117.2,DELL
2026-09-11,us,美股,9,科技,HPQ,HP,35.48,33.17,57.4,HPQ
2026-09-11,us,美股,9,科技,SWKS,Skyworks Solutions,88.35,85.89,38.7,SWKS
2026-09-11,us,美股,9,工業,EXPD,Expeditors International of Washington,192.6,192.28,21.0,EXPD
2026-09-11,us,美股,6,科技,DELL,Dell Technologies,567.29,562.99,117.2,DELL
2026-09-11,us,美股,6,科技,HPQ,HP,35.48,33.17,57.4,HPQ
2026-09-11,us,美股,6,科技,SWKS,Skyworks Solutions,88.35,85.89,38.7,SWKS
2026-09-11,us,美股,6,工業,EXPD,Expeditors International of Washington,192.6,192.28,21.0,EXPD
2026-09-11,us,美股,3,科技,DELL,Dell Technologies,567.29,562.99,117.2,DELL
2026-09-11,us,美股,3,科技,HPQ,HP,35.48,33.17,57.4,HPQ
2026-09-11,us,美股,3,科技,SWKS,Skyworks Solutions,88.35,85.89,38.7,SWKS
2026-09-11,us,美股,3,工業,EXPD,Expeditors International of Washington,192.6,192.28,21.0,EXPD
2026-09-11,us,美股,3,能源,DVN,Devon Energy,50.23,50.05,15.5,DVN
