date,market,market_zh,window_months,sector,ticker,name,close,prior_high,pct_above_ma200,longest_months,streak_window,streak_longest,yahoo_ticker
2026-09-14,hk,港股,12,金融,0939.HK,建設銀行,9.89,9.88,20.6,12,1,1,0939.HK
2026-09-14,hk,港股,12,金融,2388.HK,中銀香港,53.65,53.1,24.8,12,1,1,2388.HK
2026-09-14,hk,港股,9,金融,0939.HK,建設銀行,9.89,9.88,20.6,12,1,1,0939.HK
2026-09-14,hk,港股,9,金融,2388.HK,中銀香港,53.65,53.1,24.8,12,1,1,2388.HK
2026-09-14,hk,港股,6,金融,0939.HK,建設銀行,9.89,9.88,20.6,12,1,1,0939.HK
2026-09-14,hk,港股,6,金融,2388.HK,中銀香港,53.65,53.1,24.8,12,1,1,2388.HK
2026-09-14,hk,港股,3,金融,0939.HK,建設銀行,9.89,9.88,20.6,12,1,1,0939.HK
2026-09-14,hk,港股,3,金融,2388.HK,中銀香港,53.65,53.1,24.8,12,1,1,2388.HK
2026-09-14,jp,日股,12,通訊/互聯網,9432.JP,ＮＴＴ,178.3,176.4,15.9,12,1,1,9432.T
2026-09-14,jp,日股,12,通訊/互聯網,9434.JP,ソフトバンク,250.8,248.1,15.3,12,3,3,9434.T
2026-09-14,jp,日股,12,工業,8001.JP,伊藤忠商事,2340.5,2326.5,17.7,12,1,1,8001.T
2026-09-14,jp,日股,12,金融,8304.JP,あおぞら銀行,3544,3494,29.9,12,1,1,8304.T
2026-09-14,jp,日股,9,通訊/互聯網,9432.JP,ＮＴＴ,178.3,176.4,15.9,12,1,1,9432.T
2026-09-14,jp,日股,9,通訊/互聯網,9434.JP,ソフトバンク,250.8,248.1,15.3,12,3,3,9434.T
2026-09-14,jp,日股,9,工業,8001.JP,伊藤忠商事,2340.5,2326.5,17.7,12,1,1,8001.T
2026-09-14,jp,日股,9,金融,8304.JP,あおぞら銀行,3544,3494,29.9,12,1,1,8304.T
2026-09-14,jp,日股,6,通訊/互聯網,9432.JP,ＮＴＴ,178.3,176.4,15.9,12,1,1,9432.T
2026-09-14,jp,日股,6,通訊/互聯網,9434.JP,ソフトバンク,250.8,248.1,15.3,12,3,3,9434.T
2026-09-14,jp,日股,6,工業,8001.JP,伊藤忠商事,2340.5,2326.5,17.7,12,1,1,8001.T
2026-09-14,jp,日股,6,科技,6702.JP,富士通,4026,3991,9.5,6,1,1,6702.T
2026-09-14,jp,日股,6,金融,8304.JP,あおぞら銀行,3544,3494,29.9,12,1,1,8304.T
2026-09-14,jp,日股,3,通訊/互聯網,9432.JP,ＮＴＴ,178.3,176.4,15.9,12,1,1,9432.T
2026-09-14,jp,日股,3,通訊/互聯網,9434.JP,ソフトバンク,250.8,248.1,15.3,12,3,3,9434.T
2026-09-14,jp,日股,3,公用,9532.JP,大阪瓦斯,6112,6106,6.6,3,2,2,9532.T
2026-09-14,jp,日股,3,工業,8001.JP,伊藤忠商事,2340.5,2326.5,17.7,12,1,1,8001.T
2026-09-14,jp,日股,3,科技,6702.JP,富士通,4026,3991,9.5,6,1,1,6702.T
2026-09-14,jp,日股,3,金融,8304.JP,あおぞら銀行,3544,3494,29.9,12,1,1,8304.T
2026-09-14,us,美股,12,工業,EXPD,Expeditors International of Washington,193.61,193.15,21.4,12,2,2,EXPD
2026-09-14,us,美股,12,科技,CRWD,CrowdStrike,235.38,233.88,62.7,12,1,1,CRWD
2026-09-14,us,美股,12,醫療,CNC,Centene,69.41,69.36,35.9,12,1,1,CNC
2026-09-14,us,美股,12,非必需消費,BBY,Best Buy Co.,94.83,91.37,34.0,12,1,1,BBY
2026-09-14,us,美股,9,工業,EXPD,Expeditors International of Washington,193.61,193.15,21.4,12,2,2,EXPD
2026-09-14,us,美股,9,科技,CRWD,CrowdStrike,235.38,233.88,62.7,12,1,1,CRWD
2026-09-14,us,美股,9,醫療,CNC,Centene,69.41,69.36,35.9,12,1,1,CNC
2026-09-14,us,美股,9,非必需消費,BBY,Best Buy Co.,94.83,91.37,34.0,12,1,1,BBY
2026-09-14,us,美股,6,工業,EXPD,Expeditors International of Washington,193.61,193.15,21.4,12,2,2,EXPD
2026-09-14,us,美股,6,科技,CRWD,CrowdStrike,235.38,233.88,62.7,12,1,1,CRWD
2026-09-14,us,美股,6,醫療,CNC,Centene,69.41,69.36,35.9,12,1,1,CNC
2026-09-14,us,美股,6,非必需消費,BBY,Best Buy Co.,94.83,91.37,34.0,12,1,1,BBY
2026-09-14,us,美股,3,通訊/互聯網,T,AT&T,26.51,26.44,7.2,3,1,1,T
2026-09-14,us,美股,3,通訊/互聯網,VZ,Verizon Communications,51.29,50.93,14.1,3,1,1,VZ
2026-09-14,us,美股,3,工業,EXPD,Expeditors International of Washington,193.61,193.15,21.4,12,2,2,EXPD
2026-09-14,us,美股,3,科技,CRWD,CrowdStrike,235.38,233.88,62.7,12,1,1,CRWD
2026-09-14,us,美股,3,醫療,CNC,Centene,69.41,69.36,35.9,12,1,1,CNC
2026-09-14,us,美股,3,非必需消費,BBY,Best Buy Co.,94.83,91.37,34.0,12,1,1,BBY
