date,market,market_zh,window_months,sector,ticker,name,close,prior_high,pct_above_ma200,longest_months,streak_window,streak_longest,yahoo_ticker
2026-09-24,jp,日股,12,原材料,5301.JP,東海カーボン,2273,2147,69.2,12,2,2,5301.T
2026-09-24,jp,日股,9,原材料,5301.JP,東海カーボン,2273,2147,69.2,12,2,2,5301.T
2026-09-24,jp,日股,6,原材料,5301.JP,東海カーボン,2273,2147,69.2,12,2,2,5301.T
2026-09-24,jp,日股,3,原材料,5301.JP,東海カーボン,2273,2147,69.2,12,2,2,5301.T
2026-09-24,us,美股,12,醫療,A,Agilent Technologies,172.84,168.94,31.3,12,1,1,A
2026-09-24,us,美股,12,醫療,MRNA,Moderna,194.82,192.31,207.3,12,1,1,MRNA
2026-09-24,us,美股,12,醫療,RVTY,Revvity,150.68,149.52,44.0,12,1,1,RVTY
2026-09-24,us,美股,12,醫療,TMO,Thermo Fisher Scientific,678.39,671.47,25.9,12,2,2,TMO
2026-09-24,us,美股,12,科技,AMD,Advanced Micro Devices,629.26,624.69,73.5,12,1,1,AMD
2026-09-24,us,美股,12,通訊/互聯網,META,Meta Platforms,777.59,763.9,24.4,12,1,1,META
2026-09-24,us,美股,9,醫療,A,Agilent Technologies,172.84,168.94,31.3,12,1,1,A
2026-09-24,us,美股,9,醫療,MRNA,Moderna,194.82,192.31,207.3,12,1,1,MRNA
2026-09-24,us,美股,9,醫療,MTD,Mettler-Toledo International,1519.15,1514.42,15.5,9,1,1,MTD
2026-09-24,us,美股,9,醫療,RVTY,Revvity,150.68,149.52,44.0,12,1,1,RVTY
2026-09-24,us,美股,9,醫療,TMO,Thermo Fisher Scientific,678.39,671.47,25.9,12,2,2,TMO
2026-09-24,us,美股,9,科技,AMD,Advanced Micro Devices,629.26,624.69,73.5,12,1,1,AMD
2026-09-24,us,美股,9,通訊/互聯網,META,Meta Platforms,777.59,763.9,24.4,12,1,1,META
2026-09-24,us,美股,6,醫療,A,Agilent Technologies,172.84,168.94,31.3,12,1,1,A
2026-09-24,us,美股,6,醫療,DHR,Danaher,223.77,223.42,11.1,6,1,1,DHR
2026-09-24,us,美股,6,醫療,MRNA,Moderna,194.82,192.31,207.3,12,1,1,MRNA
2026-09-24,us,美股,6,醫療,MTD,Mettler-Toledo International,1519.15,1512.88,15.5,9,1,1,MTD
2026-09-24,us,美股,6,醫療,RVTY,Revvity,150.68,149.52,44.0,12,1,1,RVTY
2026-09-24,us,美股,6,醫療,TMO,Thermo Fisher Scientific,678.39,671.47,25.9,12,2,2,TMO
2026-09-24,us,美股,6,科技,AMD,Advanced Micro Devices,629.26,624.69,73.5,12,1,1,AMD
2026-09-24,us,美股,6,通訊/互聯網,META,Meta Platforms,777.59,763.9,24.4,12,1,1,META
2026-09-24,us,美股,3,醫療,A,Agilent Technologies,172.84,168.94,31.3,12,1,1,A
2026-09-24,us,美股,3,醫療,DHR,Danaher,223.77,223.42,11.1,6,1,1,DHR
2026-09-24,us,美股,3,醫療,MRNA,Moderna,194.82,192.31,207.3,12,1,1,MRNA
2026-09-24,us,美股,3,醫療,MTD,Mettler-Toledo International,1519.15,1512.88,15.5,9,1,1,MTD
2026-09-24,us,美股,3,醫療,RVTY,Revvity,150.68,149.52,44.0,12,1,1,RVTY
2026-09-24,us,美股,3,醫療,TMO,Thermo Fisher Scientific,678.39,671.47,25.9,12,2,2,TMO
2026-09-24,us,美股,3,科技,AMD,Advanced Micro Devices,629.26,624.69,73.5,12,1,1,AMD
2026-09-24,us,美股,3,通訊/互聯網,META,Meta Platforms,777.59,763.9,24.4,12,1,1,META
