date,market,market_zh,window_months,sector,ticker,name,close,prior_high,pct_above_ma200,longest_months,streak_window,streak_longest,yahoo_ticker
2026-09-25,jp,日股,12,原材料,5301.JP,東海カーボン,2289.5,2283,69.6,12,3,3,5301.T
2026-09-25,jp,日股,9,原材料,5301.JP,東海カーボン,2289.5,2283,69.6,12,3,3,5301.T
2026-09-25,jp,日股,6,原材料,5301.JP,東海カーボン,2289.5,2283,69.6,12,3,3,5301.T
2026-09-25,jp,日股,3,原材料,5301.JP,東海カーボン,2289.5,2283,69.6,12,3,3,5301.T
2026-09-25,us,美股,12,醫療,MRNA,Moderna,198.88,195.709,209.5,12,2,2,MRNA
2026-09-25,us,美股,9,醫療,MRNA,Moderna,198.88,195.709,209.5,12,2,2,MRNA
2026-09-25,us,美股,6,醫療,MRNA,Moderna,198.88,195.709,209.5,12,2,2,MRNA
2026-09-25,us,美股,3,科技,QCOM,QUALCOMM,201.97,199.61,20.5,3,1,1,QCOM
2026-09-25,us,美股,3,科技,SMCI,Super Micro Computer,43.26,42.7,36.1,3,1,1,SMCI
2026-09-25,us,美股,3,醫療,MRNA,Moderna,198.88,195.709,209.5,12,2,2,MRNA
