Date,Dividend,Split
2008-12-26,0.23,
2009-12-23,0.513,
2010-12-23,0.835,
2011-12-23,0.662,
2012-12-24,1.382,
2013-12-23,0.518,
2014-12-22,1.884,
2015-12-21,1.299,
2016-12-19,1.066,
2017-12-18,1.077,
2018-12-20,1.133,
2019-12-23,1.231,
2020-12-21,0.222,
2021-12-20,0.349,
2022-12-19,0.168,
2023-12-18,0.711,
2024-12-23,1.167,
2025-12-22,1.364,
