Date,Shares
2023-05-23,142264000
2023-05-25,142264000
2023-05-26,142264000
2023-06-04,142264000
2023-06-07,142264000
2023-06-10,143888000
2023-06-11,142264000
2023-06-23,142850000
2023-06-24,142264000
2023-07-06,141503008
2023-07-07,142264000
2023-07-08,142264000
2023-07-12,144584992
2023-07-13,142264000
2023-07-21,218423008
2023-07-22,218423008
2023-08-22,218491008
2023-08-24,218183008
2023-10-25,221898000
2023-11-04,215223008
2023-11-08,215678000
2023-11-09,211276000
2023-11-11,218492000
2023-12-06,219936992
2023-12-15,211278000
2023-12-16,218492000
2023-12-22,218492000
2023-12-23,217878000
2023-12-26,218492000
2024-01-05,221068000
2024-01-06,218492000
2024-01-30,218492000
2024-02-02,216054000
2024-02-09,218492000
2024-02-10,218630000
2024-02-13,218492000
2024-02-29,218492992
2024-03-05,212390000
2024-03-08,218788992
2024-03-12,220532000
2024-03-16,223468992
2024-03-22,215946000
2024-03-26,218852000
2024-03-27,218788992
2024-04-12,218835008
2024-04-13,218835008
2024-04-16,223538000
2024-04-17,218835008
2024-04-18,218835008
2024-04-19,218835008
2024-04-23,218835008
2024-04-24,218835008
2024-04-25,216624992
2024-04-26,218835008
2024-04-27,218835008
2024-04-30,218835008
2024-05-01,218872992
2024-05-02,218872992
2024-05-04,218872992
2024-05-06,217631008
2024-05-07,220456992
2024-05-09,220456992
2024-05-10,212511008
2024-05-11,220456992
2024-05-14,220456992
2024-05-15,219330000
2024-05-16,220456992
2024-05-17,220456992
2024-05-18,220456992
2024-05-21,220456992
2024-05-22,220456992
2024-05-23,220020000
2024-05-24,226238000
2024-05-25,220534000
2024-05-30,220456992
2024-05-31,220456992
2024-06-04,220456992
2024-06-05,220456992
2024-06-07,220456992
2024-06-08,220456992
2024-06-11,220456992
2024-06-12,220456992
2024-06-13,215500000
2024-06-15,223216992
2024-06-21,222243008
2024-06-22,220456992
2024-06-25,220456992
2024-06-28,222226000
2024-06-29,220456992
2024-07-02,220456992
2024-07-03,220456992
2024-07-04,220456992
2024-07-10,221950000
2024-07-11,220184000
2024-07-12,220456992
2024-07-13,220456992
2024-07-18,220456992
2024-07-20,220456992
2024-07-23,220456992
2024-07-24,219516992
2024-07-26,220456992
2024-07-27,220456992
2024-07-30,220456992
2024-08-01,220659008
2024-08-03,220660000
2024-08-06,220550000
2024-08-10,220550000
2024-08-13,220550000
2024-08-17,220550000
2024-08-20,220550000
2024-08-27,220550000
2024-08-29,220550000
2024-08-30,218731008
2024-08-31,220550000
2024-09-04,220550000
2024-09-05,220550000
2024-09-06,220550000
2024-09-07,220550000
2024-09-11,220550000
2024-09-12,222342000
2024-09-16,220884992
2024-09-17,220550000
2024-09-18,220550000
2024-09-20,220550000
2024-09-21,220550000
2024-09-28,220550000
2024-10-04,220550000
2024-10-05,220550000
2024-10-12,220550000
2024-10-15,220550000
2024-10-18,220550000
2024-10-25,224076000
2024-10-29,220550000
2024-10-30,220550000
2024-10-31,220603008
2024-11-01,222548000
2024-11-06,220560992
2024-11-07,220560992
2024-11-08,220560992
2024-11-16,220560992
2024-11-19,220106000
2024-11-20,220560992
2024-12-04,220560992
2024-12-06,221046000
2024-12-11,220560992
2024-12-13,221394000
2024-12-14,220560992
2024-12-17,220560992
2024-12-21,220560992
2025-01-07,220560992
2025-01-11,220560992
2025-01-14,220560992
2025-01-18,220560992
2025-02-04,220560992
2025-02-08,220560992
2025-02-15,220560992
2025-02-27,220572992
2025-03-04,221352000
2025-03-10,223498000
2025-03-11,221352000
2025-03-22,221352000
2025-03-26,223495008
2025-03-27,219847008
2025-03-28,221352000
2025-04-01,216835008
2025-04-03,221579008
2025-04-10,228050000
2025-04-11,221579008
2025-04-18,216934000
2025-04-22,226356992
2025-04-23,220564000
2025-04-24,221579008
2025-04-26,222852000
2025-04-29,221579008
2025-04-30,221579008
2025-05-04,221579008
2025-05-06,221564992
2025-05-07,221564992
2025-05-10,220087008
2025-05-27,218284000
2025-05-28,221564992
2025-05-29,218156000
2025-05-30,221564992
2025-05-31,221564992
2025-06-04,226087008
2025-06-05,221564992
2025-06-06,221920992
2025-06-10,221564992
2025-06-11,221564992
2025-06-14,222912992
2025-06-16,222502000
2025-06-17,221564992
2025-06-18,221564992
2025-06-19,221564992
2025-06-26,221564992
2025-06-27,221244992
2025-06-28,221564992
2025-07-08,227350000
2025-07-09,221564992
2025-07-10,223234000
2025-07-11,221728992
2025-07-12,221564992
2025-08-01,221606000
2025-08-02,221606000
2025-08-03,221608000
2025-08-04,221608000
