month_end,n,k,longs,shorts,ratemom_EUR,ratemom_GBP,ratemom_AUD,ratemom_NZD,ratemom_JPY,ratemom_CHF,ratemom_CAD
2003-05-30,7,3,"['AUD', 'JPY', 'CAD']","['EUR', 'GBP', 'CHF']",-0.4111,-0.3627,-0.07,-0.11,-0.02,-0.3102,0.36
2003-06-30,7,3,"['JPY', 'AUD', 'CAD']","['NZD', 'CHF', 'EUR']",-0.2869,-0.1217,0.03,-0.44,-0.01,-0.3307,0.365
2003-07-31,7,3,"['GBP', 'JPY', 'CAD']","['NZD', 'EUR', 'AUD']",-0.3781,-0.0154,-0.09,-0.58,0.01,-0.0748,0.06
2003-08-29,7,3,"['GBP', 'JPY', 'CAD']","['NZD', 'EUR', 'AUD']",-0.3781,-0.0154,-0.09,-0.58,0.01,-0.0748,0.06
2003-09-30,7,3,"['CHF', 'JPY', 'AUD']","['CAD', 'NZD', 'EUR']",-0.2601,-0.11,0.04,-0.27,0.01,-0.0076,-0.4
2003-10-31,7,3,"['JPY', 'GBP', 'AUD']","['CAD', 'NZD', 'CHF']",-0.0045,0.057,0.24,-0.08,0.0,-0.0197,-0.465
2003-11-28,7,3,"['JPY', 'GBP', 'AUD']","['CAD', 'NZD', 'CHF']",-0.0045,0.057,0.24,-0.08,0.0,-0.0197,-0.465
2003-12-31,7,3,"['NZD', 'GBP', 'AUD']","['CAD', 'JPY', 'CHF']",0.0186,0.4579,0.49,0.26,-0.01,-0.008,-0.0775
2004-01-30,7,3,"['NZD', 'GBP', 'AUD']","['CAD', 'JPY', 'CHF']",0.0186,0.4579,0.49,0.26,-0.01,-0.008,-0.0775
2004-02-27,7,3,"['NZD', 'GBP', 'AUD']","['CAD', 'CHF', 'EUR']",-0.001,0.3219,0.56,0.17,0.01,-0.0019,-0.0085
2004-03-31,7,3,"['GBP', 'NZD', 'AUD']","['CAD', 'EUR', 'CHF']",-0.0885,0.1861,0.26,0.22,0.01,0.0052,-0.505
2004-04-30,7,3,"['AUD', 'NZD', 'GBP']","['CAD', 'EUR', 'JPY']",-0.1175,0.2781,0.04,0.22,-0.02,0.0215,-0.586
2004-05-31,7,3,"['CHF', 'NZD', 'GBP']","['CAD', 'EUR', 'JPY']",-0.0407,0.3394,-0.01,0.24,-0.01,0.0583,-0.41
2004-06-30,7,3,"['CHF', 'NZD', 'GBP']","['CAD', 'AUD', 'JPY']",0.0153,0.3622,-0.06,0.31,-0.01,0.0343,-0.225
2004-07-30,7,3,"['CHF', 'NZD', 'GBP']","['CAD', 'AUD', 'JPY']",0.0153,0.3622,-0.06,0.31,-0.01,0.0343,-0.225
2004-08-31,7,3,"['CHF', 'GBP', 'NZD']","['AUD', 'JPY', 'EUR']",0.0673,0.4623,-0.08,0.66,0.01,0.2357,0.0725
2004-09-30,7,3,"['CHF', 'GBP', 'NZD']","['AUD', 'JPY', 'EUR']",0.0284,0.4341,-0.07,0.54,0.01,0.2896,0.0925
2004-10-29,7,3,"['CHF', 'GBP', 'NZD']","['AUD', 'JPY', 'EUR']",0.0284,0.4341,-0.07,0.54,0.01,0.2896,0.0925
2004-11-30,7,3,"['CHF', 'CAD', 'NZD']","['AUD', 'JPY', 'EUR']",0.0313,0.0437,-0.05,0.5,0.0,0.1984,0.4975
2004-12-31,7,3,"['CHF', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.056,-0.0793,-0.01,0.28,0.0,0.1766,0.5775
2005-01-31,7,3,"['CHF', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.0546,-0.0759,-0.01,0.07,0.01,0.065,0.12
2005-02-28,7,3,"['NZD', 'JPY', 'CHF']","['CAD', 'GBP', 'EUR']",-0.0019,-0.0275,0.01,0.01,0.01,0.0303,-0.0775
2005-03-31,7,3,"['CHF', 'NZD', 'AUD']","['CAD', 'EUR', 'GBP']",-0.032,0.0071,0.2,0.11,0.01,0.0287,-0.195
2005-04-29,7,3,"['CHF', 'NZD', 'AUD']","['CAD', 'EUR', 'GBP']",-0.032,0.0071,0.2,0.11,0.01,0.0287,-0.195
2005-05-31,7,3,"['GBP', 'NZD', 'AUD']","['JPY', 'EUR', 'CAD']",-0.0082,0.0702,0.33,0.29,-0.02,0.0219,0.015
2005-06-30,7,3,"['CAD', 'AUD', 'NZD']","['JPY', 'EUR', 'CHF']",-0.0127,0.0031,0.05,0.22,-0.02,-0.0065,0.015
2005-07-29,7,3,"['CAD', 'AUD', 'NZD']","['JPY', 'EUR', 'CHF']",-0.0127,0.0031,0.05,0.22,-0.02,-0.0065,0.015
2005-08-31,7,3,"['CHF', 'JPY', 'CAD']","['GBP', 'AUD', 'NZD']",-0.0178,-0.2854,-0.1,-0.02,0.01,-0.0067,0.085
2005-09-30,7,3,"['EUR', 'JPY', 'CAD']","['GBP', 'AUD', 'NZD']",0.0068,-0.2991,-0.06,-0.02,0.01,0.0052,0.22
2005-10-31,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.0281,-0.2446,-0.04,0.06,0.0,0.0027,0.347
2005-11-30,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.0772,-0.0709,-0.02,0.25,0.0,0.0559,0.425
2005-12-30,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.0772,-0.0709,-0.02,0.25,0.0,0.0559,0.425
2006-01-31,7,3,"['EUR', 'CAD', 'NZD']","['AUD', 'JPY', 'GBP']",0.3337,0.0405,0.01,0.57,0.01,0.2582,0.555
2006-02-28,7,3,"['EUR', 'NZD', 'CAD']","['AUD', 'JPY', 'GBP']",0.3151,0.0167,0.0,0.36,0.0136,0.2023,0.44
2006-03-31,7,3,"['CHF', 'EUR', 'CAD']","['GBP', 'AUD', 'NZD']",0.2395,-0.0365,-0.02,-0.01,0.02,0.1312,0.424
2006-04-28,7,3,"['CHF', 'EUR', 'CAD']","['GBP', 'AUD', 'NZD']",0.2395,-0.0365,-0.02,-0.01,0.02,0.1312,0.424
2006-05-31,7,3,"['CHF', 'EUR', 'CAD']","['NZD', 'GBP', 'JPY']",0.2821,0.0259,0.06,-0.17,0.0364,0.251,0.54
2006-06-30,7,3,"['EUR', 'CHF', 'CAD']","['NZD', 'GBP', 'JPY']",0.2886,0.1195,0.26,-0.04,0.16,0.3052,0.496
2006-07-31,7,3,"['EUR', 'AUD', 'CAD']","['NZD', 'GBP', 'JPY']",0.2631,0.1476,0.35,-0.02,0.2245,0.2595,0.48
2006-08-31,7,3,"['JPY', 'EUR', 'AUD']","['NZD', 'GBP', 'CAD']",0.3084,0.1036,0.36,0.01,0.3,0.2522,0.24
2006-09-29,7,3,"['JPY', 'EUR', 'AUD']","['NZD', 'GBP', 'CAD']",0.3084,0.1036,0.36,0.01,0.3,0.2522,0.24
2006-10-31,7,3,"['CHF', 'GBP', 'EUR']","['CAD', 'JPY', 'NZD']",0.3497,0.29,0.25,0.09,0.086,0.2707,-0.09
