month_end,n,k,longs,shorts,ratemom_EUR,ratemom_GBP,ratemom_AUD,ratemom_NZD,ratemom_JPY,ratemom_CHF,ratemom_CAD
2007-06-29,7,3,"['GBP', 'CHF', 'EUR']","['CAD', 'JPY', 'NZD']",1.1815,1.0194,0.79,0.51,0.51,1.0484,0.2025
2007-07-31,7,3,"['CHF', 'GBP', 'EUR']","['CAD', 'JPY', 'AUD']",1.1621,1.1452,0.46,0.85,0.38,1.071,0.12
2007-08-31,7,3,"['EUR', 'CHF', 'GBP']","['CAD', 'JPY', 'AUD']",1.114,1.2907,0.42,0.96,0.33,1.184,0.2975
2007-09-28,7,3,"['EUR', 'CHF', 'GBP']","['CAD', 'JPY', 'AUD']",1.114,1.2907,0.42,0.96,0.33,1.184,0.2975
2007-10-31,7,3,"['NZD', 'EUR', 'GBP']","['CAD', 'JPY', 'AUD']",1.4063,1.6219,0.73,1.25,0.414,0.8501,-0.1525
2007-11-30,7,3,"['NZD', 'GBP', 'EUR']","['CAD', 'JPY', 'AUD']",1.1854,1.1384,0.63,1.02,0.403,0.7093,-0.2215
2007-12-31,7,3,"['EUR', 'NZD', 'GBP']","['CAD', 'JPY', 'CHF']",1.0414,1.1831,0.78,1.12,0.368,0.4891,-0.2155
2008-01-31,7,3,"['GBP', 'EUR', 'NZD']","['CAD', 'JPY', 'CHF']",1.1642,1.0678,0.9,1.24,0.32,0.4359,-0.3275
2008-02-29,7,3,"['EUR', 'AUD', 'NZD']","['CAD', 'GBP', 'CHF']",0.7297,0.1734,0.75,1.05,0.31,0.237,-0.574
2008-03-31,7,3,"['EUR', 'NZD', 'AUD']","['CAD', 'GBP', 'JPY']",0.5439,0.0763,1.32,1.07,0.19,0.3061,-0.915
2008-04-30,7,3,"['EUR', 'NZD', 'AUD']","['CAD', 'CHF', 'JPY']",0.7055,0.3498,1.47,1.03,0.18,0.1283,-1.9825
2008-05-30,7,3,"['EUR', 'NZD', 'AUD']","['CAD', 'CHF', 'JPY']",0.7055,0.3498,1.47,1.03,0.18,0.1283,-1.9825
2008-06-30,7,3,"['NZD', 'EUR', 'AUD']","['CAD', 'CHF', 'GBP']",0.786,0.059,1.38,0.62,0.17,-0.274,-1.54
2008-07-31,7,3,"['NZD', 'EUR', 'AUD']","['CAD', 'CHF', 'GBP']",0.7928,0.0493,1.39,0.36,0.13,-0.3,-1.7475
2008-08-29,7,3,"['NZD', 'EUR', 'AUD']","['CAD', 'CHF', 'GBP']",0.7928,0.0493,1.39,0.36,0.13,-0.3,-1.7475
2008-09-30,7,3,"['JPY', 'EUR', 'AUD']","['CAD', 'GBP', 'NZD']",0.4216,-0.6533,0.56,-0.52,0.01,-0.4233,-1.792
2008-10-31,7,3,"['JPY', 'EUR', 'AUD']","['CAD', 'NZD', 'GBP']",0.2775,-0.7363,0.33,-0.86,0.02,-0.3688,-1.88
2008-11-28,7,3,"['JPY', 'EUR', 'AUD']","['CAD', 'NZD', 'GBP']",0.2775,-0.7363,0.33,-0.86,0.02,-0.3688,-1.88
2008-12-31,7,3,"['CHF', 'EUR', 'JPY']","['NZD', 'AUD', 'CAD']",-0.4002,-1.9617,-2.39,-2.48,0.01,-1.5947,-2.18
2009-01-30,7,3,"['CHF', 'EUR', 'JPY']","['NZD', 'AUD', 'CAD']",-0.4002,-1.9617,-2.39,-2.48,0.01,-1.5947,-2.18
2009-02-27,7,3,"['CHF', 'EUR', 'JPY']","['NZD', 'GBP', 'AUD']",-1.5557,-3.187,-2.9,-3.67,-0.12,-2.2368,-2.7825
2009-03-31,7,3,"['EUR', 'CHF', 'JPY']","['NZD', 'AUD', 'GBP']",-2.419,-3.5516,-4.53,-5.42,-0.14,-2.3075,-2.5375
2009-04-30,7,3,"['CHF', 'CAD', 'JPY']","['NZD', 'AUD', 'GBP']",-2.9609,-4.0679,-4.74,-5.67,-0.19,-2.1751,-1.7775
2009-05-29,7,3,"['CHF', 'CAD', 'JPY']","['NZD', 'AUD', 'GBP']",-2.9609,-4.0679,-4.74,-5.67,-0.19,-2.1751,-1.7775
2009-06-30,7,3,"['CAD', 'CHF', 'JPY']","['NZD', 'AUD', 'GBP']",-3.5757,-4.4684,-4.62,-5.89,-0.27,-1.9515,-2.47
2009-07-31,7,3,"['CAD', 'CHF', 'JPY']","['NZD', 'GBP', 'AUD']",-3.7126,-4.6883,-4.56,-5.9,-0.3,-2.0566,-2.3875
2009-08-31,7,3,"['CHF', 'CAD', 'JPY']","['NZD', 'GBP', 'AUD']",-3.986,-4.8311,-4.61,-5.67,-0.3,-2.1351,-2.134
2009-09-30,7,3,"['CAD', 'CHF', 'JPY']","['NZD', 'GBP', 'EUR']",-4.1047,-4.9925,-4.01,-5.44,-0.31,-2.1095,-2.24
2009-10-30,7,3,"['CAD', 'CHF', 'JPY']","['NZD', 'GBP', 'EUR']",-4.1047,-4.9925,-4.01,-5.44,-0.31,-2.1095,-2.24
2009-11-30,7,3,"['CAD', 'CHF', 'JPY']","['GBP', 'NZD', 'EUR']",-4.3756,-5.5622,-2.25,-4.64,-0.36,-1.3258,-1.341
2009-12-31,7,3,"['AUD', 'CHF', 'JPY']","['GBP', 'EUR', 'NZD']",-3.5221,-3.8375,-0.81,-3.45,-0.37,-0.5818,-1.5675
2010-01-29,7,3,"['AUD', 'CHF', 'JPY']","['GBP', 'EUR', 'NZD']",-3.5221,-3.8375,-0.81,-3.45,-0.37,-0.5818,-1.5675
2010-02-26,7,3,"['JPY', 'AUD', 'CHF']","['EUR', 'GBP', 'NZD']",-2.5806,-2.5671,-0.261,-2.45,-0.28,0.0081,-0.852
2010-03-31,7,3,"['JPY', 'CHF', 'AUD']","['GBP', 'EUR', 'NZD']",-1.2813,-1.4573,1.0,-0.67,-0.27,-0.0113,-0.5625
2010-04-30,7,3,"['CAD', 'CHF', 'AUD']","['GBP', 'EUR', 'NZD']",-0.9905,-1.1859,1.1675,-0.57,-0.22,-0.0172,-0.1795
2010-05-31,7,3,"['CHF', 'CAD', 'AUD']","['GBP', 'EUR', 'NZD']",-0.7776,-0.8782,1.445,-0.43,-0.2,-0.0023,0.0135
2010-06-30,7,3,"['NZD', 'CAD', 'AUD']","['GBP', 'EUR', 'JPY']",-0.5952,-0.6608,1.675,0.07,-0.18,-0.0094,0.21
2010-07-30,7,3,"['NZD', 'CAD', 'AUD']","['GBP', 'EUR', 'JPY']",-0.5952,-0.6608,1.675,0.07,-0.18,-0.0094,0.21
2010-08-31,7,3,"['CAD', 'NZD', 'AUD']","['GBP', 'JPY', 'EUR']",-0.1261,-0.2651,1.7,0.44,-0.18,0.1111,0.341
2010-09-30,7,3,"['CAD', 'NZD', 'AUD']","['JPY', 'GBP', 'EUR']",0.035,-0.0407,1.4425,0.49,-0.18,0.1327,0.43
2010-10-29,7,3,"['CAD', 'NZD', 'AUD']","['JPY', 'GBP', 'EUR']",0.035,-0.0407,1.4425,0.49,-0.18,0.1327,0.43
2010-11-30,7,3,"['NZD', 'CAD', 'AUD']","['JPY', 'CHF', 'GBP']",0.2602,0.1675,1.03,0.39,-0.19,0.1629,0.68
2010-12-31,7,3,"['NZD', 'CAD', 'AUD']","['JPY', 'CHF', 'GBP']",0.3259,0.1296,1.065,0.37,-0.17,0.0675,0.7375
2011-01-31,7,3,"['NZD', 'CAD', 'AUD']","['JPY', 'CHF', 'GBP']",0.3097,0.1442,0.896,0.39,-0.12,0.0757,0.796
2011-02-28,7,3,"['NZD', 'AUD', 'CAD']","['JPY', 'CHF', 'GBP']",0.3375,0.156,0.7525,0.41,-0.11,0.0605,0.79
2011-03-31,7,3,"['EUR', 'AUD', 'CAD']","['JPY', 'CHF', 'GBP']",0.4251,0.1665,0.7575,0.4,-0.1,0.0408,0.7875
2011-04-29,7,3,"['EUR', 'AUD', 'CAD']","['JPY', 'CHF', 'GBP']",0.4251,0.1665,0.7575,0.4,-0.1,0.0408,0.7875
2011-05-31,7,3,"['AUD', 'CAD', 'EUR']","['JPY', 'NZD', 'CHF']",0.6765,0.165,0.355,-0.04,-0.0671,0.0515,0.6275
2011-06-30,7,3,"['AUD', 'CAD', 'EUR']","['NZD', 'JPY', 'CHF']",0.7386,0.1263,0.1975,-0.23,-0.0579,0.0375,0.5725
2011-07-29,7,3,"['AUD', 'CAD', 'EUR']","['NZD', 'JPY', 'CHF']",0.7386,0.1263,0.1975,-0.23,-0.0579,0.0375,0.5725
2011-08-31,7,3,"['AUD', 'CAD', 'EUR']","['NZD', 'CHF', 'JPY']",0.7488,0.0929,0.115,-0.52,-0.0379,-0.0919,0.3475
2011-09-30,7,3,"['GBP', 'CAD', 'EUR']","['NZD', 'CHF', 'JPY']",0.6566,0.1249,0.115,-0.35,-0.0314,-0.2742,0.214
2011-10-31,7,3,"['CAD', 'GBP', 'EUR']","['NZD', 'CHF', 'JPY']",0.656,0.1895,-0.005,-0.3,-0.0307,-0.2749,0.0225
2011-11-30,7,3,"['JPY', 'GBP', 'EUR']","['NZD', 'CHF', 'AUD']",0.5782,0.2315,-0.085,-0.42,-0.0107,-0.3413,-0.0325
2011-12-30,7,3,"['JPY', 'GBP', 'EUR']","['NZD', 'CHF', 'AUD']",0.5782,0.2315,-0.085,-0.42,-0.0107,-0.3413,-0.0325
2012-01-31,7,3,"['JPY', 'GBP', 'EUR']","['AUD', 'NZD', 'CAD']",0.4044,0.3119,-0.5175,-0.48,-0.0107,-0.1114,-0.164
2012-02-29,7,3,"['JPY', 'EUR', 'GBP']","['AUD', 'NZD', 'CAD']",0.205,0.3184,-0.545,-0.45,-0.0092,-0.1105,-0.1375
2012-03-30,7,3,"['JPY', 'EUR', 'GBP']","['AUD', 'NZD', 'CAD']",0.205,0.3184,-0.545,-0.45,-0.0092,-0.1105,-0.1375
2012-04-30,7,3,"['JPY', 'NZD', 'GBP']","['AUD', 'EUR', 'CHF']",-0.3171,0.2284,-0.4775,0.05,-0.0045,-0.1038,-0.011
2012-05-31,7,3,"['CAD', 'NZD', 'GBP']","['AUD', 'EUR', 'CHF']",-0.5769,0.197,-0.6975,0.09,-0.0012,-0.1258,0.0175
2012-06-29,7,3,"['CAD', 'NZD', 'GBP']","['AUD', 'EUR', 'CHF']",-0.5769,0.197,-0.6975,0.09,-0.0012,-0.1258,0.0175
2012-07-31,7,3,"['NZD', 'JPY', 'GBP']","['AUD', 'EUR', 'CHF']",-0.8297,0.1247,-1.5,-0.04,0.0024,-0.1594,-0.0455
2012-08-31,7,3,"['CAD', 'GBP', 'JPY']","['AUD', 'EUR', 'CHF']",-1.1006,-0.0115,-1.41,-0.04,-0.0049,-0.2644,-0.035
2012-09-28,7,3,"['CAD', 'GBP', 'JPY']","['AUD', 'EUR', 'CHF']",-1.1006,-0.0115,-1.41,-0.04,-0.0049,-0.2644,-0.035
2012-10-31,7,3,"['CHF', 'JPY', 'CAD']","['AUD', 'EUR', 'GBP']",-1.2902,-0.2701,-1.32,-0.24,-0.002,-0.0896,0.135
2012-11-30,7,3,"['JPY', 'CHF', 'CAD']","['AUD', 'EUR', 'GBP']",-1.3679,-0.4259,-1.5625,-0.11,-0.0029,0.03,0.1135
2012-12-31,7,3,"['NZD', 'JPY', 'CAD']","['AUD', 'EUR', 'GBP']",-1.2927,-0.4873,-1.38,-0.05,-0.0111,-0.0797,0.088
2013-01-31,7,3,"['NZD', 'JPY', 'CAD']","['AUD', 'EUR', 'GBP']",-1.2406,-0.543,-1.395,-0.04,-0.0211,-0.1313,0.115
2013-02-28,7,3,"['NZD', 'JPY', 'CAD']","['AUD', 'EUR', 'GBP']",-1.0173,-0.5748,-1.41,-0.08,-0.0389,-0.1484,0.095
2013-03-29,7,3,"['NZD', 'JPY', 'CAD']","['AUD', 'EUR', 'GBP']",-1.0173,-0.5748,-1.41,-0.08,-0.0389,-0.1484,0.095
2013-04-30,7,3,"['NZD', 'JPY', 'CAD']","['AUD', 'EUR', 'GBP']",-0.6524,-0.5307,-1.3925,-0.1,-0.0817,-0.1109,0.0475
2013-05-31,7,3,"['NZD', 'CHF', 'CAD']","['AUD', 'EUR', 'GBP']",-0.5354,-0.5123,-1.1825,-0.09,-0.1035,-0.0784,0.0
2013-06-28,7,3,"['NZD', 'CHF', 'CAD']","['AUD', 'EUR', 'GBP']",-0.5354,-0.5123,-1.1825,-0.09,-0.1035,-0.0784,0.0
2013-07-31,7,3,"['CHF', 'NZD', 'CAD']","['AUD', 'EUR', 'GBP']",-0.4486,-0.4418,-0.6925,0.03,-0.1064,-0.0029,0.1425
2013-08-30,7,3,"['CHF', 'NZD', 'CAD']","['AUD', 'EUR', 'GBP']",-0.4486,-0.4418,-0.6925,0.03,-0.1064,-0.0029,0.1425
