month_end,n,k,longs,shorts,ratemom_EUR,ratemom_GBP,ratemom_AUD,ratemom_NZD,ratemom_JPY,ratemom_CHF,ratemom_CAD
2003-05-30,7,3,"['NZD', 'JPY', 'CAD']","['EUR', 'CHF', 'GBP']",-0.7802,-0.3337,-0.16,-0.05,0.0,-0.3798,0.2325
2003-06-30,7,3,"['AUD', 'JPY', 'CAD']","['EUR', 'NZD', 'CHF']",-0.7236,-0.3389,-0.06,-0.52,0.0,-0.434,0.4775
2003-07-31,7,3,"['AUD', 'JPY', 'CAD']","['EUR', 'NZD', 'CHF']",-0.7892,-0.3781,-0.16,-0.69,-0.01,-0.385,0.42
2003-08-29,7,3,"['AUD', 'JPY', 'CAD']","['EUR', 'NZD', 'CHF']",-0.7892,-0.3781,-0.16,-0.69,-0.01,-0.385,0.42
2003-09-30,7,3,"['CAD', 'JPY', 'AUD']","['NZD', 'EUR', 'CHF']",-0.547,-0.2318,0.07,-0.71,0.0,-0.3384,-0.035
2003-10-31,7,3,"['JPY', 'GBP', 'AUD']","['NZD', 'CAD', 'EUR']",-0.3826,0.0417,0.15,-0.66,0.01,-0.0945,-0.405
2003-11-28,7,3,"['JPY', 'GBP', 'AUD']","['NZD', 'CAD', 'EUR']",-0.3826,0.0417,0.15,-0.66,0.01,-0.0945,-0.405
2003-12-31,7,3,"['JPY', 'GBP', 'AUD']","['CAD', 'EUR', 'CHF']",-0.2415,0.3479,0.53,-0.01,0.0,-0.0157,-0.4775
2004-01-30,7,3,"['JPY', 'GBP', 'AUD']","['CAD', 'EUR', 'CHF']",-0.2415,0.3479,0.53,-0.01,0.0,-0.0157,-0.4775
2004-02-27,7,3,"['NZD', 'GBP', 'AUD']","['CAD', 'CHF', 'EUR']",-0.0055,0.379,0.8,0.09,0.01,-0.0216,-0.4735
2004-03-31,7,3,"['NZD', 'GBP', 'AUD']","['CAD', 'EUR', 'CHF']",-0.0699,0.6441,0.75,0.48,0.0,-0.0028,-0.5825
2004-04-30,7,3,"['NZD', 'AUD', 'GBP']","['CAD', 'EUR', 'JPY']",-0.1185,0.6,0.6,0.39,-0.01,0.0196,-0.5945
2004-05-31,7,3,"['NZD', 'AUD', 'GBP']","['CAD', 'EUR', 'JPY']",-0.0948,0.5913,0.57,0.4,-0.01,0.0576,-0.6555
2004-06-30,7,3,"['AUD', 'NZD', 'GBP']","['CAD', 'EUR', 'JPY']",-0.0732,0.5483,0.2,0.53,0.0,0.0395,-0.73
2004-07-30,7,3,"['AUD', 'NZD', 'GBP']","['CAD', 'EUR', 'JPY']",-0.0732,0.5483,0.2,0.53,0.0,0.0395,-0.73
2004-08-31,7,3,"['CHF', 'GBP', 'NZD']","['CAD', 'AUD', 'JPY']",0.0266,0.8017,-0.09,0.9,0.0,0.2939,-0.3375
2004-09-30,7,3,"['CHF', 'GBP', 'NZD']","['CAD', 'AUD', 'JPY']",0.0437,0.7963,-0.13,0.85,0.0,0.3239,-0.1325
2004-10-29,7,3,"['CHF', 'GBP', 'NZD']","['CAD', 'AUD', 'JPY']",0.0437,0.7963,-0.13,0.85,0.0,0.3239,-0.1325
2004-11-30,7,3,"['GBP', 'CAD', 'NZD']","['AUD', 'JPY', 'EUR']",0.0986,0.506,-0.13,1.16,0.01,0.434,0.57
2004-12-31,7,3,"['CHF', 'CAD', 'NZD']","['AUD', 'JPY', 'EUR']",0.0845,0.3549,-0.08,0.82,0.01,0.4662,0.67
2005-01-31,7,3,"['CHF', 'CAD', 'NZD']","['AUD', 'JPY', 'EUR']",0.0605,0.0813,-0.08,0.64,0.01,0.3209,0.458
2005-02-28,7,3,"['CHF', 'CAD', 'NZD']","['AUD', 'JPY', 'GBP']",0.0294,0.0161,-0.04,0.51,0.01,0.2287,0.42
2005-03-31,7,3,"['CHF', 'CAD', 'NZD']","['GBP', 'JPY', 'EUR']",0.0241,-0.0721,0.19,0.39,0.01,0.2053,0.3825
2005-04-29,7,3,"['CHF', 'CAD', 'NZD']","['GBP', 'JPY', 'EUR']",0.0241,-0.0721,0.19,0.39,0.01,0.2053,0.3825
2005-05-31,7,3,"['CHF', 'NZD', 'AUD']","['CAD', 'EUR', 'JPY']",-0.0101,0.0427,0.34,0.3,-0.01,0.0522,-0.0625
2005-06-30,7,3,"['CHF', 'AUD', 'NZD']","['CAD', 'EUR', 'JPY']",-0.0447,0.0102,0.25,0.33,-0.01,0.0222,-0.18
2005-07-29,7,3,"['CHF', 'AUD', 'NZD']","['CAD', 'EUR', 'JPY']",-0.0447,0.0102,0.25,0.33,-0.01,0.0222,-0.18
2005-08-31,7,3,"['CAD', 'AUD', 'NZD']","['GBP', 'EUR', 'JPY']",-0.026,-0.2152,0.23,0.27,-0.01,0.0152,0.1
2005-09-30,7,3,"['CHF', 'NZD', 'CAD']","['GBP', 'JPY', 'AUD']",-0.0059,-0.296,-0.01,0.2,-0.01,-0.0013,0.235
2005-10-31,7,3,"['JPY', 'NZD', 'CAD']","['GBP', 'AUD', 'EUR']",0.0019,-0.3905,-0.19,0.1,0.01,0.0086,0.297
2005-11-30,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.0594,-0.3563,-0.12,0.23,0.01,0.0492,0.51
2005-12-30,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.0594,-0.3563,-0.12,0.23,0.01,0.0492,0.51
2006-01-31,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.3618,-0.2041,-0.03,0.63,0.01,0.2609,0.902
2006-02-28,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.3923,-0.0543,-0.02,0.61,0.0136,0.2582,0.865
2006-03-31,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.4679,-0.0127,-0.01,0.5,0.02,0.3209,0.95
2006-04-28,7,3,"['EUR', 'NZD', 'CAD']","['GBP', 'AUD', 'JPY']",0.4679,-0.0127,-0.01,0.5,0.02,0.3209,0.95
2006-05-31,7,3,"['CHF', 'EUR', 'CAD']","['GBP', 'JPY', 'AUD']",0.5972,0.0426,0.06,0.19,0.05,0.4533,0.98
2006-06-30,7,3,"['CHF', 'EUR', 'CAD']","['NZD', 'GBP', 'JPY']",0.5281,0.083,0.24,-0.05,0.18,0.4364,0.92
2006-07-31,7,3,"['CHF', 'EUR', 'CAD']","['NZD', 'GBP', 'JPY']",0.5128,0.0977,0.33,-0.19,0.25,0.4396,0.89
2006-08-31,7,3,"['CHF', 'EUR', 'CAD']","['NZD', 'GBP', 'JPY']",0.5905,0.1295,0.42,-0.16,0.3364,0.5032,0.78
2006-09-29,7,3,"['CHF', 'EUR', 'CAD']","['NZD', 'GBP', 'JPY']",0.5905,0.1295,0.42,-0.16,0.3364,0.5032,0.78
2006-10-31,7,3,"['CHF', 'AUD', 'EUR']","['NZD', 'JPY', 'CAD']",0.6128,0.4376,0.6,0.07,0.3105,0.5302,0.39
2006-11-30,7,3,"['CHF', 'AUD', 'EUR']","['NZD', 'CAD', 'JPY']",0.7082,0.5022,0.59,0.19,0.307,0.5719,0.1975
2006-12-29,7,3,"['CHF', 'AUD', 'EUR']","['NZD', 'CAD', 'JPY']",0.7082,0.5022,0.59,0.19,0.307,0.5719,0.1975
2007-01-31,7,3,"['CHF', 'GBP', 'EUR']","['CAD', 'JPY', 'NZD']",0.6985,0.5567,0.43,0.19,0.19,0.5357,-0.08
2007-02-28,7,3,"['CHF', 'EUR', 'GBP']","['CAD', 'JPY', 'NZD']",0.6497,0.753,0.38,0.22,0.1,0.6228,-0.044
2007-03-30,7,3,"['CHF', 'EUR', 'GBP']","['CAD', 'JPY', 'NZD']",0.6497,0.753,0.38,0.22,0.1,0.6228,-0.044
2007-04-30,7,3,"['CHF', 'GBP', 'EUR']","['CAD', 'AUD', 'JPY']",0.5555,0.5244,0.22,0.32,0.224,0.5165,0.0175
2007-05-31,7,3,"['EUR', 'CHF', 'GBP']","['CAD', 'AUD', 'JPY']",0.4733,0.5172,0.2,0.32,0.203,0.4765,0.005
2007-06-29,7,3,"['EUR', 'CHF', 'GBP']","['CAD', 'AUD', 'JPY']",0.4733,0.5172,0.2,0.32,0.203,0.4765,0.005
2007-07-31,7,3,"['CHF', 'GBP', 'NZD']","['AUD', 'JPY', 'CAD']",0.4636,0.5885,0.03,0.66,0.19,0.5353,0.2
2007-08-31,7,3,"['GBP', 'CHF', 'NZD']","['AUD', 'JPY', 'CAD']",0.4643,0.5377,0.04,0.74,0.23,0.5613,0.3415
2007-09-28,7,3,"['GBP', 'CHF', 'NZD']","['AUD', 'JPY', 'CAD']",0.4643,0.5377,0.04,0.74,0.23,0.5613,0.3415
2007-10-31,7,3,"['EUR', 'NZD', 'GBP']","['CAD', 'JPY', 'CHF']",0.8508,1.0975,0.51,0.93,0.19,0.3336,-0.17
2007-11-30,7,3,"['GBP', 'NZD', 'EUR']","['CAD', 'JPY', 'CHF']",0.7121,0.6211,0.43,0.7,0.2,0.2328,-0.2265
2007-12-31,7,3,"['NZD', 'GBP', 'AUD']","['CAD', 'CHF', 'JPY']",0.5672,0.6412,0.78,0.64,0.2,-0.0218,-0.2275
2008-01-31,7,3,"['NZD', 'EUR', 'AUD']","['CAD', 'CHF', 'JPY']",0.7006,0.4792,0.87,0.58,0.13,-0.0994,-0.5275
2008-02-29,7,3,"['EUR', 'NZD', 'AUD']","['CAD', 'GBP', 'CHF']",0.2654,-0.3643,0.71,0.31,0.08,-0.3242,-0.9155
2008-03-31,7,3,"['JPY', 'NZD', 'AUD']","['CAD', 'GBP', 'CHF']",-0.1815,-0.7774,0.94,0.1,0.01,-0.1893,-0.997
2008-04-30,7,3,"['JPY', 'NZD', 'AUD']","['CAD', 'GBP', 'CHF']",-0.1453,-0.7477,0.96,0.1,-0.01,-0.2053,-1.8125
2008-05-30,7,3,"['JPY', 'NZD', 'AUD']","['CAD', 'GBP', 'CHF']",-0.1453,-0.7477,0.96,0.1,-0.01,-0.2053,-1.8125
2008-06-30,7,3,"['NZD', 'EUR', 'AUD']","['CAD', 'GBP', 'CHF']",0.2188,-0.5822,0.6,-0.02,-0.03,-0.2522,-1.3125
2008-07-31,7,3,"['JPY', 'EUR', 'AUD']","['CAD', 'GBP', 'NZD']",0.0922,-0.43,0.52,-0.22,0.0,-0.2006,-1.22
2008-08-29,7,3,"['JPY', 'EUR', 'AUD']","['CAD', 'GBP', 'NZD']",0.0922,-0.43,0.52,-0.22,0.0,-0.2006,-1.22
2008-09-30,7,3,"['JPY', 'GBP', 'EUR']","['CAD', 'NZD', 'AUD']",0.6031,0.1242,-0.38,-0.62,0.0,-0.2341,-0.795
