month_end,n,k,longs,shorts,cot_EUR,cot_AUD,cot_NZD,cot_JPY,cot_CHF,cot_CAD,cot_GBP
2003-11-28,6,3,"['AUD', 'NZD', 'JPY']","['CHF', 'EUR', 'CAD']",0.8648,1.3563,1.3649,1.5289,0.1069,1.2102,
2004-01-30,6,3,"['AUD', 'GBP', 'JPY']","['CAD', 'CHF', 'EUR']",0.9768,1.2319,,1.5821,0.9749,0.6023,1.2646
2004-02-27,6,3,"['CHF', 'AUD', 'GBP']","['CAD', 'JPY', 'EUR']",0.2655,0.8847,,-0.7103,0.2904,-0.7426,1.3226
2004-03-31,6,3,"['CHF', 'CAD', 'GBP']","['JPY', 'EUR', 'AUD']",-0.789,-0.5755,,-1.1041,-0.5107,0.3211,0.5309
2004-04-30,6,3,"['AUD', 'JPY', 'GBP']","['EUR', 'CHF', 'CAD']",-1.4846,-0.6147,,-0.2857,-1.3315,-0.9703,0.2835
2004-05-31,6,3,"['CHF', 'EUR', 'GBP']","['AUD', 'CAD', 'JPY']",-0.62,-1.7573,,-0.8731,-0.6323,-1.3749,0.4824
2004-06-30,6,3,"['JPY', 'CHF', 'GBP']","['CAD', 'AUD', 'EUR']",-0.6535,-1.398,,-0.024,1.3306,-1.4755,1.4522
2004-07-30,6,3,"['CHF', 'CAD', 'GBP']","['EUR', 'AUD', 'JPY']",-0.7891,-0.6866,,-0.4989,-0.4882,1.0553,1.4765
2004-08-31,6,3,"['AUD', 'GBP', 'CAD']","['CHF', 'EUR', 'JPY']",-0.4027,-0.0403,,-0.3988,-1.0174,1.1214,0.224
2004-10-29,7,3,"['AUD', 'CHF', 'EUR']","['GBP', 'JPY', 'CAD']",1.497,1.4875,1.1795,0.7569,1.4915,0.8462,0.3412
2004-11-30,7,3,"['NZD', 'GBP', 'CHF']","['EUR', 'CAD', 'JPY']",-0.6684,1.1765,1.1913,0.6093,1.6892,0.5752,1.3206
2004-12-31,6,3,"['GBP', 'CHF', 'AUD']","['EUR', 'CAD', 'JPY']",-0.8705,1.4741,,0.6304,1.2763,-0.371,0.8466
2005-01-31,6,3,"['JPY', 'GBP', 'AUD']","['EUR', 'CHF', 'CAD']",-2.1281,1.0209,,-0.4001,-0.7699,-0.7481,0.7599
2005-02-28,6,3,"['CHF', 'GBP', 'AUD']","['EUR', 'JPY', 'CAD']",-1.8665,1.3058,,-1.3809,-0.6401,-1.1706,1.0402
