month_end,n,k,longs,shorts,value_EUR,value_GBP,value_JPY,value_CHF,value_AUD,value_CAD,value_SEK,value_NOK,value_ZAR,value_NZD,value_MXN,value_TRY,value_PLN,value_HUF
2003-05-30,4,2,"['JPY', 'GBP']","['CHF', 'EUR']",-0.0271,0.0745,0.0274,-0.0597,,,,,,,,,,
2003-06-30,4,2,"['JPY', 'GBP']","['CHF', 'EUR']",-0.0408,0.0764,-0.015,-0.0565,,,,,,,,,,
2003-07-31,4,2,"['JPY', 'GBP']","['EUR', 'CHF']",-0.0408,0.078,-0.0279,-0.0405,,,,,,,,,,
2003-08-29,8,2,"['SEK', 'GBP']","['AUD', 'CAD']",-0.0408,0.078,-0.0279,-0.0405,-0.1277,-0.0742,0.0526,-0.0652,,,,,,
2003-09-30,8,2,"['SEK', 'GBP']","['AUD', 'CAD']",-0.0005,0.0816,-0.0747,-0.0136,-0.1406,-0.0943,0.0527,-0.0565,,,,,,
2003-10-31,8,2,"['SEK', 'GBP']","['AUD', 'CAD']",0.0275,0.0794,-0.0312,0.026,-0.1815,-0.1187,0.0316,-0.0684,,,,,,
2003-11-28,8,2,"['SEK', 'GBP']","['AUD', 'CAD']",0.0275,0.0794,-0.0312,0.026,-0.1815,-0.1187,0.0316,-0.0684,,,,,,
2003-12-31,8,2,"['JPY', 'GBP']","['AUD', 'CAD']",-0.0062,0.0348,0.0319,0.0165,-0.2019,-0.1819,-0.0114,-0.0698,,,,,,
2004-01-30,8,2,"['JPY', 'GBP']","['AUD', 'CAD']",-0.0062,0.0348,0.0319,0.0165,-0.2019,-0.1819,-0.0114,-0.0698,,,,,,
2004-02-27,8,2,"['GBP', 'JPY']","['AUD', 'CAD']",-0.032,0.0324,0.0493,0.0133,-0.2592,-0.1841,-0.0369,-0.1022,,,,,,
2004-03-31,8,2,"['SEK', 'JPY']","['AUD', 'CAD']",-0.0605,-0.0117,0.0618,0.0144,-0.2543,-0.1158,0.0257,-0.0234,,,,,,
2004-04-30,8,2,"['SEK', 'JPY']","['AUD', 'CAD']",-0.0586,0.0158,0.0611,0.0147,-0.2232,-0.1264,0.0283,-0.0284,,,,,,
2004-05-31,8,2,"['SEK', 'JPY']","['AUD', 'CAD']",-0.0585,0.0182,0.0549,-0.0023,-0.1959,-0.0996,0.027,-0.033,,,,,,
