Date,Shares
2024-04-30,313855008
2024-05-09,313363008
2024-05-10,313363008
2024-05-11,313363008
2024-05-14,313363008
2024-05-16,313363008
2024-05-17,313363008
2024-05-18,313363008
2024-05-21,315736000
2024-05-22,313363008
2024-05-23,313848000
2024-05-24,329040992
2024-05-25,313363008
2024-05-29,313363008
2024-05-30,313363008
2024-05-31,313363008
2024-06-04,313363008
2024-06-05,313363008
2024-06-07,313363008
2024-06-08,313363008
2024-06-11,313363008
2024-06-12,313363008
2024-06-13,313363008
2024-06-14,313363008
2024-06-21,313500992
2024-06-22,313363008
2024-06-25,313363008
2024-06-27,313363008
2024-06-28,313363008
2024-06-29,313363008
2024-07-03,313363008
2024-07-10,317920992
2024-07-11,313363008
2024-07-12,313363008
2024-07-16,313363008
2024-07-17,313363008
2024-07-18,333420992
2024-07-19,313363008
2024-07-26,313363008
2024-07-27,313363008
2024-07-31,322550016
2024-08-01,314152992
2024-08-03,314152992
2024-08-10,314152992
2024-08-13,314152992
2024-08-14,314152992
2024-08-15,314152992
2024-08-16,314152992
2024-08-17,314152992
2024-08-20,314152992
2024-08-21,314152992
2024-08-22,314152992
2024-08-27,314152992
2024-08-29,314152992
2024-08-31,314152992
2024-09-04,314152992
2024-09-05,314798016
2024-09-06,314152992
2024-09-07,314152992
2024-09-10,314152992
2024-09-11,314152992
2024-09-12,314152992
2024-09-13,314152992
2024-09-16,314678016
2024-09-17,314152992
2024-09-21,314152992
2024-09-25,314152992
2024-09-26,314152992
2024-09-28,319143008
2024-10-04,314152992
2024-10-05,314152992
2024-10-08,316897984
2024-10-09,314152992
2024-10-11,314152992
2024-10-12,314152992
2024-10-14,316782016
2024-10-15,314152992
2024-10-18,315166016
2024-10-22,314152992
2024-10-23,314152992
2024-10-29,314152992
2024-10-30,318572000
2024-10-31,314152992
2024-11-01,314152992
2024-11-02,314152992
2024-11-05,314152992
2024-11-08,314152992
2024-11-09,314940000
2024-11-12,314940000
2024-11-14,314940000
2024-11-15,314940000
2024-11-16,314940000
2024-11-19,318272000
