Date,Value
1994-01-01,90.81
1994-02-01,90.76
1994-03-01,90.69
1994-04-01,91.78
1994-05-01,90.94
1994-06-01,90.11
1994-07-01,89.84
1994-08-01,90.19
1994-09-01,90.62
1994-10-01,90.88
1994-11-01,92.52
1994-12-01,94.05
1995-01-01,93.42
1995-02-01,92.55
1995-03-01,90.63
1995-04-01,90.08
1995-05-01,90.1
1995-06-01,90.42
1995-07-01,91.22
1995-08-01,91.82
1995-09-01,93.16
1995-10-01,93.54
1995-11-01,93.31
1995-12-01,92.74
1996-01-01,93.66
1996-02-01,94.84
1996-03-01,96.04
1996-04-01,95.91
1996-05-01,95.3
1996-06-01,95.76
1996-07-01,97.81
1996-08-01,98.54
1996-09-01,98.56
1996-10-01,97.77
1996-11-01,96.91
1996-12-01,97.66
1997-01-01,99.37
1997-02-01,100.75
1997-03-01,101.39
1997-04-01,101.38
1997-05-01,100.85
1997-06-01,100.37
1997-07-01,100.13
1997-08-01,102.66
1997-09-01,102.2
1997-10-01,102.16
1997-11-01,101.27
1997-12-01,103.42
1998-01-01,104.25
1998-02-01,102.73
1998-03-01,102.54
1998-04-01,100.12
1998-05-01,101.14
1998-06-01,102.44
1998-07-01,102.69
1998-08-01,102.17
1998-09-01,97.37
1998-10-01,89.49
1998-11-01,90.8
1998-12-01,91.53
1999-01-01,93.57
1999-02-01,94.67
1999-03-01,96.6
1999-04-01,96.19
1999-05-01,95.52
1999-06-01,97.28
1999-07-01,97.48
1999-08-01,94.08
1999-09-01,93.21
1999-10-01,92.37
1999-11-01,94.2
1999-12-01,95.45
2000-01-01,96.69
2000-02-01,98.58
2000-03-01,99.76
2000-04-01,99.76
2000-05-01,100.47
2000-06-01,99.39
2000-07-01,100.5
2000-08-01,102.51
2000-09-01,103.27
2000-10-01,103.14
2000-11-01,102.99
2000-12-01,101.75
2001-01-01,98.67
2001-02-01,99.27
2001-03-01,99.53
2001-04-01,100.91
2001-05-01,102.23
2001-06-01,103.03
2001-07-01,102.77
2001-08-01,100.22
2001-09-01,97.28
2001-10-01,98.22
2001-11-01,100.18
2001-12-01,99.41
2002-01-01,94.77
2002-02-01,93.4
2002-03-01,92.85
2002-04-01,90.57
2002-05-01,88.33
2002-06-01,87.3
2002-07-01,90.42
2002-08-01,91.48
2002-09-01,89.67
2002-10-01,89.69
2002-11-01,89.89
2002-12-01,88.74
2003-01-01,84.38
2003-02-01,83.41
2003-03-01,84.67
2003-04-01,87.23
