ticker,start,end
DISH,2014-06-30,2019-06-30
DLTR,2011-06-30,2025-06-30
DOCU,2021-06-30,2023-06-30
DTV,2008-06-30,2016-06-30
DXCM,2020-06-30,
EA,2012-06-30,2013-06-30
EA,2015-06-30,
EBAY,2008-06-30,2024-06-30
ENDP,2016-06-30,2017-06-30
ENPH,2023-06-30,2024-06-30
EQIX,2013-06-30,2015-06-30
ERTS,2008-06-30,2012-06-30
ESRX,2008-06-30,2019-06-30
EXC,2020-06-30,
EXPD,2008-06-30,2016-06-30
EXPE,2008-06-30,2015-06-30
EXPE,2016-06-30,2021-06-30
FANG,2023-06-30,
FAST,2008-06-30,
FB,2013-06-30,2022-06-30
FER,2026-06-30,
FFIV,2011-06-30,2015-06-30
FISV,2008-06-30,2023-06-30
FLEX,2008-06-30,2013-06-30
FLIR,2009-06-30,2012-06-30
FMCN,2008-06-30,2009-06-30
FOSL,2012-06-30,2014-06-30
FOX,2015-06-30,2022-06-30
FOXA,2014-06-30,2022-06-30
FSLR,2009-06-30,2012-06-30
FTNT,2022-06-30,
FWLT,2008-06-30,2011-06-30
GEHC,2023-06-30,
GENZ,2008-06-30,2011-06-30
GFS,2023-06-30,2026-06-30
GILD,2008-06-30,
GMCR,2011-06-30,2013-06-30
GMCR,2014-06-30,2016-06-30
GOLD,2012-06-30,2014-06-30
GOOG,2008-06-30,
GOOGL,2014-06-30,
GRMN,2008-06-30,2016-06-30
HANS,2008-06-30,2010-06-30
HAS,2017-06-30,2020-06-30
HOLX,2008-06-30,2011-06-30
HOLX,2017-06-30,2019-06-30
HON,2022-06-30,
HSIC,2008-06-30,2020-06-30
IACI,2008-06-30,2010-06-30
IDXX,2017-06-30,
ILMN,2009-06-30,2012-06-30
ILMN,2014-06-30,2025-06-30
INCY,2016-06-30,2022-06-30
INFY,2008-06-30,2013-06-30
INTC,2008-06-30,
INTU,2008-06-30,
ISRG,2008-06-30,
JAVA,2008-06-30,2010-06-30
JBHT,2009-06-30,2011-06-30
JBHT,2017-06-30,2020-06-30
JD,2016-06-30,2024-06-30
JNPR,2008-06-30,2010-06-30
JOYG,2008-06-30,2012-06-30
KDP,2021-06-30,
KHC,2016-06-30,
KLAC,2008-06-30,2016-06-30
KLAC,2017-06-30,
KRFT,2013-06-30,2016-06-30
LAMR,2008-06-30,2009-06-30
LBTYA,2008-06-30,2010-06-30
LBTYA,2013-06-30,2021-06-30
LBTYK,2015-06-30,2021-06-30
LCID,2022-06-30,2024-06-30
LEAP,2008-06-30,2009-06-30
LIFE,2009-06-30,2014-06-30
LILA,2017-06-30,2018-06-30
LILAK,2017-06-30,2018-06-30
LIN,2024-06-30,
LINTA,2008-06-30,2015-06-30
LITE,2026-06-30,
LLTC,2008-06-30,2017-06-30
LMCA,2014-06-30,2017-06-30
LMCK,2015-06-30,2017-06-30
LOGI,2008-06-30,2011-06-30
LRCX,2008-06-30,2013-06-30
LRCX,2015-06-30,
LULU,2019-06-30,2026-06-30
LVLT,2008-06-30,2009-06-30
LVNTA,2015-06-30,2018-06-30
MAR,2014-06-30,
MAT,2010-06-30,2018-06-30
